,Concept_ID,uk,lt
113,Quelle::N,джерело,šaltinis
114,Bach::N,струмок,upelis
115,Fluss::N,річка,upė
116,Ufer::N,берег,krantas
117,Küste::N,узбережжя,pajūris
118,Festland::N,суша,sausuma
119,Meer::N,море,jūra
120,Bucht::N,бухта,įlanka
121,Bucht::N,бухта,užutekis
122,Bucht::N,затока,įlanka
123,Bucht::N,затока,užutekis
124,Insel::N,острів,sala
125,Blume::N,квітка,gėlė
126,Gras::N,трава,žolė
127,Wurzel::N,корінь,šaknis
128,Baum::N,дерево,medis
129,Stamm::N,стовбур,kamienas
130,Rinde::N,кора,žievė
131,Ast::N,гілка,šaka
132,Zweig::N,галузь,šakelė
133,Blatt::N,лист,lapas
134,Birke::N,береза,beržas
135,Kiefer[Baum]::N,сосна,pušis
136,Weide[Baum]::N,верба,karklas
137,Tanne::N,ялиця,eglė
138,Tanne::N,ялиця,kėnis
139,Horn::N,ріг,ragas
140,Feder::N,перо,plunksna
141,Fell::N,хутро,kailis
142,Flügel::N,крило,sparnas
143,Klaue::N,кіготь,kanopa
144,Kralle::N,лапа,nagas
145,Schwanz::N,хвіст,uodega
146,Ei::N,яйце,kiaušinis
147,Nest::N,гніздо,gūžta
148,Nest::N,гніздо,lizdas
149,Bau::N,лігво,ola
150,Tier::N,тварина,gyvūnas
151,Herde::N,стадо,banda
152,Herde::N,стадо,kaimenė
153,Kuh::N,корова,karvė
154,Bulle::N,бик,bulius
155,Bulle::N,бугай,bulius
156,Pferd::N,кінь,arklys
157,Schaf::N,вівця,avis
158,Schwein::N,свиня,kiaulė
159,Hund::N,собака,šuo
160,Katze::N,кішка,katė
161,Bär::N,ведмідь,lokys
162,Eichhörnchen::N,білка,voveraitė
163,Elch::N,лось,briedis
164,Fuchs::N,лисиця,lapė
165,Hase::N,заєць,kiškas
166,Maus::N,миша,pelė
167,Wolf::N,вовк,vilkas
168,Vogel::N,птах,paukštis
169,Schwarm::N,зграя,spiečius
170,Huhn::N,курка,višta
171,Hahn::N,півень,gaidys
172,Gans::N,гуска,žąsis
173,Adler::N,орел,erelis
