,Concept_ID,bn,xal
269,Spiel::N,খেলা,наадн
270,Gesellschaft::N,সঙ্গিগণ,олн
271,Hilfe::N,সাহায্য,нөкд
272,Freund::N,বন্ধু,иньг
273,Kamerad::N,সঙ্গী,үр
274,Angelegenheit::N,বিষয়,керг
275,Anzahl::N,পরিমাণ,то
276,Art::N,রকম,зүүл
277,Stück::N,টুকরো,хусг
278,Teil::N,অংশ,хүв
279,Hälfte::N,অর্ধেক,өрәл
280,Kreis::N,বৃত্ত,төгрг
281,Kreuz::N,ক্রুশ,кирс
282,Linie::N,রেখা,зурасн
283,Strich::N,কষি,татасн
284,Abstand::N,ফাঁক,зә
285,Entfernung::N,ব্যবধান,һазр
286,Gegend::N,ক্ষেত্র,һазр
287,Platz::N,জায়গা,зә
288,Ort::N,স্থান,бәәрн
289,Seite::N,পার্শ্ব,тал
290,Seite::N,পার্শ্ব,хаҗу
291,Seite::N,পার্শ্ব,хәврһ
292,Mitte::N,মধ্য,дунд
293,Gegenstand::N,জিনিস,юмн
294,Sache::N,বস্তু,юмн
295,Rand::N,কানা,зах
296,Kante::N,ধার,ирмәг
297,Ecke::N,কোণ,өнцг
298,Spitze::N,ডগা,үзүр
299,Ende::N,প্রান্ত,үзүр
300,Loch::N,গর্ত,хаһрха
301,Winkel::N,কোণ,булң
302,Muster::N,নমুন্,намч
303,Größe::N,আয়তন,кемҗән
304,Länge::N,দৈর্ঘ্য,ут
305,Höhe::N,উচ্চতা,өндр
306,Gewicht::N,ওজন,күнд
307,Gewicht::N,ওজন,чиңнүр
308,Menge::N,পরিমাণ,ик
309,Haufen::N,পুঞ্জ,ова
310,Reihe::N,শ্রেণী,зерг
311,Reihe::N,শ্রেণী,зерглән
312,Boot::N,নৌকা,оңһц
313,Ruder::N,দাঁড়,хәәв
314,Schlitten::N,স্নেজ্-গাড়ি,цан
315,Ski::N,শী,лыҗ
316,Lagerfeuer::N,অগ্নি,костёр
317,Last::N,বোঝা,күнд
318,Gang::N,হণ্টন,йовлһн
319,Schritt::N,পদ,ишкм
320,Norden::N,উত্তরদিক্,ар үзг
321,Süden::N,দক্ষিণদিক,өмн
322,Süden::N,দক্ষিণদিক,өмн үзг
323,Westen::N,পশ্চিমদিক্,барун
324,Westen::N,পশ্চিমদিক্,барун үзг
325,Osten::N,পূর্বদিক,зүн
326,Osten::N,পূর্বদিক,зүн үзг
327,Holz::N,কাঠ,модн
328,Brett::N,তক্তা,харһа
329,Platte::N,ফলক,хавтха чолун
330,Stütze::N,নাগদণ্ড,тулг
331,Stange::N,দণ্ড,уньн
332,Stock::N,ছড়ি,модн
333,Stab::N,যষ্টি,шуург
334,Rohr::N,নল,турва
335,Haus::N,ঘর,гер
336,Heim::N,বাসা,гер-бул
337,Ofen::N,স্টোভ্,беш
338,Fußboden::N,গহতল,девскр
339,Tisch::N,মেজ,ширә
340,Tisch::N,টেবিল,ширә
341,Stuhl::N,চেয়ার,стул
342,Stuhl::N,কেদারা,стул
343,Wiege::N,দোলনা,өлгә
344,Wiege::N,দোলনা,дүүҗң
345,Bett::N,শয্যা,орн
346,Bett::N,শয্যা,орндг
347,Regal::N,তাক,таг
348,Regal::N,তাক,тәвц
349,Kiste::N,বাক্স,яршг
350,Fenster::N,জানালা,терз
351,Tür::N,দ্বার,үүдн
352,Tor::N,দ্বার,үүдн
353,Tor::N,দ্বার,өргн үүдн
354,Tor::N,দ্বার,хашан үүдн
355,Zaun::N,বেড়া,хаша
356,Dach::N,ছাদ,деевр
357,Leiter::N,মই,шат
358,Leiter::N,মই,давшур
359,Besen::N,গুল্মবিশেষ,сәвүр
360,Spaten::N,কোদাল,күрз
361,Schaufel::N,বেলচা,совг
362,Gabel::N,কাঁটা,серә
363,Löffel::N,চামচ,ухр
364,Messer::N,ছুরি,утх
365,Nagel::N,পেরেক,хадасн
366,Netz::N,জাল,гөлм
367,Haken::N,কাচি,дегә
368,Griff::N,হাতল,иш
369,Griff::N,হাতল,бәрүл
370,Schloss::N,তালা,оньс
371,Bild::N,ছবি,зург
372,Bild::N,চিত্র,зург
373,Figur::N,আকার,фигур
374,Puppe::N,পুতুল,наадһа
375,Beutel::N,বটুয়া,мишг
376,Bündel::N,আঁটি,багла
377,Bündel::N,আঁটি,боодһа
378,Tasche::N,থলি,сумк
379,Eimer::N,বাল্তি,суулһ
380,Deckel::N,আবরণ,бүркәсн
381,Geschirr::N,থালা-বাসন,сав
382,Geschirr::N,থালা-বাসন,сав-сарх
383,Sack::N,বস্তা,мишг
384,Tasse::N,কাপ,ааһ
385,Topf::N,পাত্র,кастрюль
