,Concept_ID,be,sk
401,Zaun::N,агароджа,ohrada
402,Dach::N,дах,krov
403,Dach::N,дах,strecha
404,Leiter::N,лесвіца,rebrík
405,Leiter::N,лесвіца,rebrina
406,Besen::N,мятла,metla
407,Spaten::N,лапата,rýľ
408,Spaten::N,жалязняк,rýľ
409,Schaufel::N,шуфлік,lopata
410,Schaufel::N,лапатка,lopata
411,Gabel::N,відэлец,vidlička
412,Löffel::N,лыжка,lyžica
413,Messer::N,нож,nôž
414,Nagel::N,цвік,klinec
415,Netz::N,сетка,sieť
416,Haken::N,крук,hák
417,Haken::N,крук,háčik
418,Griff::N,ручка,rukoväť
419,Schloss::N,замок,zámka
420,Bild::N,карціна,obraz
421,Figur::N,фігура,figúra
422,Puppe::N,лялька,bábka
423,Puppe::N,лялька,bábika
424,Beutel::N,мяшок,vrece
425,Beutel::N,мяшок,vrecko
426,Bündel::N,вязка,uzlík
427,Bündel::N,вязка,zväzok
428,Tasche::N,торба,taška
429,Tasche::N,торба,kabelka
430,Eimer::N,вядро,vedro
431,Deckel::N,накрыўка,vrchnák
432,Deckel::N,накрыўка,pokrývka
433,Geschirr::N,пасуда,nádoba
434,Sack::N,мех,mech
435,Sack::N,мех,vrece
436,Tasse::N,кубак,šálka
437,Topf::N,каструля,hrniec
438,Kessel::N,кацёл,kotol
439,Essen::N,ежа,jedlo
440,Nahrung::N,харч,strava
441,Nahrung::N,харч,potrava
442,Speise::N,страва,jedlo
443,Fleisch::N,мяса,mäso
444,Getreide::N,збожжа,obilie
445,Brei::N,каша,kaša
446,Brot::N,хлеб,chlieb
447,Scheibe::N,луста,kotúč
448,Scheibe::N,луста,krajec
449,Scheibe::N,скібка,kotúč
450,Scheibe::N,скібка,krajec
451,Fett::N,тлушч,tuk
452,Fett::N,тлушч,masť
453,Butter::N,масла,maslo
454,Öl::N,алей,olej
455,Salz::N,соль,soľ
456,Suppe::N,суп,polievka
457,Honig::N,мёд,med
458,Milch::N,малако,mlieko
459,Tee::N,чай,čaj
460,Tee::N,гарбата,čaj
461,Leder::N,скура,koža
462,Wolle::N,воўна,vlna
463,Stoff::N,тканіна,súkno
464,Nadel::N,іголка,ihla
465,Faden::N,нітка,niť
466,Faden::N,нітка,vlákno
467,Knopf::N,гузік,gombík
468,Knoten::N,вузел,uzol
469,Farbe::N,фарба,farba
470,Kleidung::N,адзенне,šaty
471,Kleidung::N,адзенне,šatstvo
472,Hemd::N,кашуля,košeľa
473,Kragen::N,каўнер,golier
474,Ärmel::N,рукаў,rukáv
475,Hose::N,штаны,nohavice
476,Gürtel::N,пояс,pás
477,Gürtel::N,пояс,opasok
478,Mütze::N,шапка,čiapka
479,Schuh::N,чаравік,obuv
480,Schuh::N,чаравік,topánka
481,Stiefel::N,бот,čižma
482,Ring::N,кольца,prsteň
483,Band::N,стужка,stuha
484,Kamm::N,расчоска,hrebeň
485,Spiegel::N,люстра,zrkadlo
486,Riemen::N,рэмень,remeň
487,Schnur::N,вяроўка,šnúra
488,Leine::N,павадок,vodidlo
489,Decke::N,коўдра,deka
490,Decke::N,коўдра,prikrývka
491,Kissen::N,падушка,poduška
492,Tuch::N,хустка,šatka
493,Handtuch::N,ручнік,uterák
494,Kraft::N,сіла,moc
495,Stärke::N,моц,sila
496,Gesundheit::N,здароўе,zdravie
497,Krankheit::N,хвароба,nemoc
498,Krankheit::N,хвароба,choroba
499,Schmerz::N,боль,bolesť
500,Wunde::N,рана,rana
501,Fieber::N,гарачка,horúčka
502,Fieber::N,ліхаманка,horúčka
503,Arznei::N,лекі,liek
504,Brücke::N,мост,most
505,Brunnen::N,калодзеж,studňa
506,Weide::N,паша,pastva
507,Pfad::N,сцежка,chodník
508,Weg::N,шлях,cesta
509,Weg::N,дарога,cesta
510,Straße::N,вуліца,hradská
511,Dorf::N,вёска,dedina
512,Stadt::N,горад,mesto
513,Brief::N,ліст,list
514,Brief::N,пісьмо,list
515,Buch::N,кніга,kniha
516,Buchstabe::N,літара,litera
517,Buchstabe::N,літара,písmeno
518,Zeitung::N,газета,noviny
519,Leben::N,жыццё,život
520,Tod::N,смерць,smrť
521,Grab::N,магіла,hrob
522,Kirche::N,касцёл,kostol
523,Kirche::N,царква,kostol
524,Sünde::N,грэх,hriech
525,Gott::N,бог,boh
526,Arbeiter::N,рабочы,robotník
527,Arbeiter::N,рабочы,pracnovík
528,Chef::N,начальнік,šéf
529,Chef::N,начальнік,riaditeľ
530,Meister::N,майстар,majster
531,Arzt::N,урач,lekár
532,Lehrer::N,настаўнік,učiteľ
533,Geld::N,грошы,peniaze
534,Geschäft::N,заняцце,obchod
535,Laden::N,крама,obchod
536,Laden::N,магазін,obchod
537,Preis::N,цана,cena
538,Ware::N,тавар,tovar
539,Nutzen::N,выгада,osoh
540,Nutzen::N,выгада,úžitok
541,Reichtum::N,багацце,bohatstvo
542,Welt::N,свет,svet
543,Land::N,краіна,územie
544,Land::N,краіна,krajina
545,Staat::N,дзяржава,štát
546,König::N,кароль,kráľ
547,Macht::N,улада,moc
548,Macht::N,улада,mocnosť
549,Grenze::N,граніца,hranica
550,Krieg::N,вайна,vojna
551,Feind::N,вораг,nepriateľ
552,Gewalt::N,насілле,násilie
553,Kampf::N,барацьба,boj
554,Bogen[Waffe]::N,лук,luk
555,Pfeil::N,страла,šíp
556,Pfeil::N,страла,strela
557,Gewehr::N,ружжо,puška
558,Fehler::N,памылка,omyl
559,Fehler::N,памылка,chyba
560,Lüge::N,хлусня,lož
561,Schaden::N,шкода,ujma
562,Schaden::N,шкода,škoda
563,Unglück::N,ліха,nešťastie
564,Unglück::N,бядота,nešťastie
565,Schuld::N,віна,vina
566,Schuld::N,віна,previnenie
567,Alter::N,узрост,vek
568,Schluss::N,канец,záver
569,Schluss::N,канец,koniec
570,Zeit::N,час,čas
571,Tag::N,дзень,deň
572,Morgen::N,ранак,ráno
573,Morgen::N,раніца,ráno
574,Mittag::N,паўдня,poludnie
575,Mittag::N,поўдзень,poludnie
576,Abend::N,вечар,večer
577,Nacht::N,ноч,noc
578,Woche::N,тыдзень,týždeň
579,Monat::N,месяц,mesiac
580,Jahr::N,год,rok
581,Frühling::N,вясна,jar
582,Sommer::N,лета,leto
583,Herbst::N,восень,jeseň
584,Winter::N,зіма,zima
585,Januar::N,студзень,január
586,Februar::N,люты,február
587,März::N,сакавік,marec
588,April::N,красавік,apríl
589,Mai::N,май,máj
590,Mai::N,травень,máj
591,Juni::N,чэрвень,jún
592,Juli::N,ліпень,júl
593,August::N,жнівень,august
594,September::N,верасень,september
595,Oktober::N,кастрычнік,október
596,November::N,лістапад,november
597,Dezember::N,снежань,december
598,Montag::N,панядзелак,pondelok
599,Dienstag::N,аўторак,utorok
600,Mittwoch::N,серада,streda
601,Donnerstag::N,чацвер,štvrtok
602,Freitag::N,пятніца,piatok
603,Samstag::N,субота,sobota
604,Sonntag::N,нядзеля,nedeľa
605,groß::A,вялікі,veľký
606,klein::A,маленькі,malý
607,lang::A,доўгі,dlhý
608,kurz::A,кароткі,krátky
609,breit::A,шырокі,široký
610,schmal::A,вузкі,úzky
611,dicht::A,густы,hustý
612,dick[Gegenstand]::A,тоўсты,tlstý
613,dünn::A,тонкі,tenký
614,fein::A,тонкі,jemný
615,fest::A,моцны,pevný
616,flach::A,плоскі,rovný
617,flach::A,плоскі,plochý
618,glatt::A,гладкі,hladký
619,hart::A,цвёрды,tvrdý
620,weich::A,мяккі,mäkký
621,rund::A,круглы,guľatý
622,rund::A,круглы,okrúhly
623,spitz::A,спічасты,končitý
624,spitz::A,востраканцовы,končitý
625,scharf::A,востры,ostrý
626,stumpf::A,тупы,tupý
627,schwer::A,цяжкі,ťažký
628,schön::A,прыгожы,pekný
629,schön::A,прыгожы,krásny
630,heiß::A,гарачы,horúci
631,warm::A,цёплы,teplý
632,kalt::A,холадны,studený
633,kühl::A,халаднаваты,chladný
634,frisch::A,свежы,svieži
635,feucht::A,вільготны,vlhký
636,feucht::A,вільготны,zvlhnutý
637,nass::A,мокры,mokrý
638,trocken::A,сухі,suchý
639,voll::A,поўны,plný
640,leer::A,пусты,prázdny
641,offen::A,адкрыты,otvorený
642,offen::A,адчынены,otvorený
643,geschlossen::A,закрыты,zavretý
644,geschlossen::A,зачынены,zavretý
645,sauber::A,чысты,čistý
646,schmutzig::A,брудны,špinavý
647,roh::A,сыры,surový
648,reif::A,спелы,zrelý
649,lecker::A,смачны,chutný
650,süß::A,салодкі,sladký
651,bitter::A,горкі,horký
652,sauer::A,кіслы,kyslý
653,hell::A,светлы,jasný
654,hell::A,светлы,svetlý
655,dunkel::A,цёмны,temný
656,schwarz::A,чорны,čierny
