,Concept_ID,nl,lez
136,Kiefer[Baum]::N,den,шамагъаж
137,Weide[Baum]::N,wilg,цӏвелин ттар
138,Tanne::N,spar,ель
139,Horn::N,hoorn,карч
140,Feder::N,veer,цӏакул
141,Feder::N,pluim,цӏакул
142,Fell::N,vel,хам
143,Flügel::N,vleugel,лув
144,Klaue::N,klauw,къармах
145,Kralle::N,klauw,пац
146,Kralle::N,klauw,тапас
147,Schwanz::N,staart,ттум
148,Ei::N,ei,кака
149,Nest::N,nest,муг
150,Bau::N,hol,тӏеквен
151,Tier::N,dier,гьайван
152,Herde::N,kudde,суьруь
153,Kuh::N,koe,ккал
154,Bulle::N,stier,яц
155,Bulle::N,stier,бугъа
156,Pferd::N,paard,балкӏан
157,Schaf::N,schaap,хеб
158,Schwein::N,varken,вак
159,Hund::N,hond,кицӏ
160,Katze::N,kat,кац
161,Bär::N,beer,сев
162,Eichhörnchen::N,eekhoorntje,белка
163,Elch::N,eland,лось
164,Fuchs::N,vos,сикӏ
165,Hase::N,haas,къуьр
166,Maus::N,muis,кьиф
167,Wolf::N,wolf,жанавур
168,Vogel::N,vogel,луван ничхир
169,Schwarm::N,zwerm,луж
170,Huhn::N,kip,верч
171,Huhn::N,hoen,верч
172,Hahn::N,haan,кӏек
173,Gans::N,gans,къаз
174,Adler::N,arend,лекь
175,Ente::N,eend,пӏатӏ
176,Eule::N,uil,тӏиб
177,Kranich::N,kraanvogel,дурна
178,Krähe::N,kraai,къаргъа
179,Kuckuck::N,koekoek,кукупӏ
180,Schwan::N,zwaan,къугь
181,Fisch::N,vis,гъед
182,Barsch::N,baars,окунь
183,Hecht::N,snoek,щука
184,Schlange[Tier]::N,slang,илан
185,Schlange[Tier]::N,slang,гъуьлягъ
186,Wurm::N,worm,квак
187,Spinne::N,spin,хуьшрекан
188,Ameise::N,mier,цегв
189,Laus::N,luis,нет
190,Mücke::N,mug,ветӏ
191,Fliege::N,vlieg,тӏветӏ
192,Schmetterling::N,vlinder,чепелукь
193,Beere::N,bes,куьлуь емиш
194,Apfel::N,appel,ич
195,Pilz::N,paddestoel,къарникъуз
196,Zwiebel::N,ui,чичӏек
197,Saat::N,zaad,тумар
198,Korn::N,graan,твар
199,Korn::N,korrel,твар
200,Heu::N,hooi,векь
201,Heu::N,hooi,векьер
202,Schale::N,schil,пириш
203,Schale::N,schil,хъуьруьш
204,Grube::N,kuil,фур
205,Falle::N,val,ракьар
206,Schlinge::N,strop,гьалкъа
207,Spur::N,spoor,гел
208,Asche::N,as,руьхъ
209,Dreck::N,drek,чирк
210,Dreck::N,drek,кьуруш
211,Eisen::N,ijzer,ракь
212,Gold::N,goud,алтун
213,Silber::N,zilver,гимиш
214,Kohle::N,kool,цӏивин
215,Glas::N,glas,шуьше
216,Lehm::N,klei,ччеб
217,Sand::N,zand,къум
218,Mensch::N,mens,инсан
219,Mann::N,man,итим
220,Frau::N,vrouw,паб
221,Frau::N,vrouw,дишегьли
222,Kind::N,kind,аял
223,Junge::N,jongen,гада
224,Mädchen::N,meisje,руш
225,Familie::N,gezin,хзан
226,Familie::N,gezin,килфет
227,Familie::N,familie,хзан
228,Familie::N,familie,килфет
229,Großvater::N,grootvader,чӏехи буба
230,Großmutter::N,grootmoeder,чӏехи диде
231,Eltern::N,ouders,диде-буба
232,Vater::N,vader,буба
233,Mutter::N,moeder,диде
234,Sohn::N,zoon,хва
235,Tochter::N,dochter,руш
236,Bruder::N,broer,стха
237,Bruder::N,broeder,стха
238,Schwester::N,zus,вах
239,Schwester::N,zuster,вах
240,Onkel::N,oom,ими
241,Onkel::N,oom,халу
242,Tante::N,tante,эме
243,Tante::N,tante,хала
244,Ehemann::N,echtgenoot,гъуьл
245,Ehefrau::N,echtgenote,паб
246,Freude::N,vreugde,шадвал
247,Gelächter::N,gelach,хъвер
248,Glück::N,geluk,бахт
249,Kummer::N,verdriet,дерт
250,Kummer::N,verdriet,хажалат
251,Wunsch::N,wens,мурад
252,Wunsch::N,verlangen,мурад
253,Lust::N,zin,гьевес
254,Lust::N,lust,гьевес
255,Geist::N,geest,руьгь
256,Gedanke::N,gedachte,фикир
257,Gedächtnis::N,geheugen,
258,Verstand::N,verstand,акьул
259,Sinn::N,betekenis,мана
260,Grund::N,reden,себеб
261,Wahrheit::N,waarheid,керчек
262,Wahrheit::N,waarheid,гьакъикъат
263,Gespräch::N,gesprek,ихтилат
264,Märchen::N,sprookje,мах
265,Erzählung::N,verhaal,кьиса
266,Nachricht::N,tijding,хабар
267,Neuigkeit::N,nieuws,цӏийи хабар
268,Neuigkeit::N,nieuwtje,цӏийи хабар
269,Name::N,naam,тӏвар
270,Rätsel::N,raadsel,мискӏал
271,Rede::N,rede,рахун
272,Sprache::N,taal,чӏал
273,Stimme::N,stem,ван
274,Wort::N,woord,гаф
275,Zeichen::N,teken,ишара
276,Ruf::N,roep,эвер
277,Lärm::N,lawaai,ван-сес
278,Laut::N,klank,ван
279,Laut::N,klank,сес
280,Laut::N,geluid,ван
281,Laut::N,geluid,сес
282,Ton::N,toon,ван-сес
283,Ton::N,klank,ван-сес
284,Lied::N,lied,мани
285,Ruhe::N,rust,ласвал
286,Ruhe::N,rust,фаракъат
287,Ruhe::N,rust,асайиш
288,Ruhe::N,stilte,ласвал
289,Ruhe::N,stilte,фаракъат
290,Ruhe::N,stilte,асайиш
291,Leute::N,lui,инсанар
292,Leute::N,mensen,инсанар
293,Volk::N,volk,халкь
294,Arbeit::N,werk,кӏвалах
295,Arbeit::N,arbeid,кӏвалах
296,Gast::N,gast,мугьман
297,Geschenk::N,cadeau,савкьат
298,Geschenk::N,geschenk,савкьат
299,Spiel::N,spel,къугъун
300,Gesellschaft::N,gezelschap,жемят
301,Gesellschaft::N,gezelschap,общество
302,Hilfe::N,hulp,куьмек
303,Freund::N,vriend,дуст
304,Kamerad::N,maat,яр-дуст
305,Kamerad::N,metgezel,яр-дуст
306,Angelegenheit::N,zaak,кар
307,Angelegenheit::N,aangelegenheid,кар
308,Anzahl::N,tal,сан
309,Anzahl::N,tal,кьадар
310,Anzahl::N,aantal,сан
311,Anzahl::N,aantal,кьадар
312,Art::N,slag,жуьре
313,Art::N,soort,жуьре
