,Concept_ID,zh,bg
723,dorthin::ADV,到那里,нататък
724,geradeaus::ADV,一直往前,направо
725,vorwärts::ADV,向前,напред
726,rückwärts::ADV,向后,назад
727,zurück::ADV,退后,обратно
728,unten::ADV,下面,долу
729,hinab::ADV,向下,надолу
730,oben::ADV,上面,горе
731,hinauf::ADV,向上,нагоре
732,überall::ADV,到处,навсякъде
733,nicht::ADV,不,не
734,ein wenig::ADV,一点儿,малко
735,kaum::ADV,几乎不,едва
736,kaum::ADV,几乎不,едвам
737,sehr::ADV,很,много
738,sehr::ADV,很,твърде
739,so::ADV,如此,тъй
740,so::ADV,如此,така
741,noch::ADV,还,още
742,nur::ADV,只,само
743,schon::ADV,已经,вече
744,wieder::ADV,又,пак
745,wieder::ADV,又,отново
746,vor::PRP,在...面前,пред
747,hinter::PRP,在...背后,зад
748,unter::PRP,在...下面,под
749,durch::PRP,穿过,през
750,neben::PRP,在...旁,до
751,neben::PRP,在...旁,при
752,zwischen::PRP,在...之间,между
753,zwischen::PRP,在...之间,помежду
754,wegen::PRP,由于,заради
755,dies::PRN,这,този
756,das::PRN,那,туй
757,das::PRN,那,това
758,alles::PRN,一切,всичко
759,ich::PRN,我,аз
760,du::PRN,你,ти
761,er::PRN,他,той
762,wir::PRN,我们,ние
763,ihr::PRN,你们,вие
764,sie::PRN,她,те
765,was::FPRN,什么,що
766,was::FPRN,什么,какво
767,wer::FPRN,谁,кой
768,wo::FADV,哪里,къде
769,wohin::FADV,去哪里,накъде
770,wohin::FADV,去哪里,накъдето
771,wie::FADV,怎么,как
772,warum::FADV,为什么,защо
773,wieviel::FNUM,多少,колко
774,eins::NUM,一,един
775,zwei::NUM,二,два
776,drei::NUM,三,три
777,vier::NUM,四,четири
778,fünf::NUM,五,пет
779,sechs::NUM,六,шест
780,sieben::NUM,七,седем
781,acht::NUM,八,осем
782,neun::NUM,九,девет
783,zehn::NUM,十,десет
784,elf::NUM,十一,единайсет
785,elf::NUM,十一,единадесет
786,zwölf::NUM,十二,дванайсет
787,zwölf::NUM,十二,дванадесет
788,zwanzig::NUM,二十,двайсет
789,zwanzig::NUM,二十,двадесет
790,dreißig::NUM,三十,тридесет
791,vierzig::NUM,四十,четиридесет
792,fünfzig::NUM,五十,петдесет
793,sechzig::NUM,六十,шестдесет
794,siebzig::NUM,七十,седемдесет
795,achtzig::NUM,八十,осемдесет
796,neunzig::NUM,九十,деветдесет
797,hundert::NUM,百,сто
798,tausend::NUM,千,хиляда
799,und::CNJ,和,а
800,und::CNJ,和,та
801,oder::CNJ,或者,или
802,stehen::V,站,стоя
803,sitzen::V,坐,седя
804,liegen::V,躺着,лежа
805,hängen::V,挂着,вися
806,werden::V,成为,бъда
807,werden::V,成为,стана
808,passieren::V,发生,случа се
809,beginnen::V,开始,започна
810,enden::V,终止,свърша
811,wechseln::V,变迁,променям
812,aufgehen[Sonne]::V,升起,изгрея
813,untergehen[Sonne]::V,下落,заляза
814,scheinen[Sonne]::V,照射,грея
815,scheinen[Sonne]::V,照射,светя
816,donnern::V,打雷,гърмя
817,wehen::V,飘扬,вея
818,wehen::V,飘扬,духам
819,strömen::V,流,тека
820,strömen::V,流,лея се
821,fließen::V,流动,тека
822,sich drehen::V,转动,въртя се
823,schwanken::V,摇摆,клатя се
824,schwingen::V,摇,трептя
825,fallen::V,坠落,падам
826,brennen::V,燃烧,горя
827,rauchen::V,冒烟,димя
828,regnen::V,下雨,вали дъжд
829,gefrieren::V,结冰,замръзна
830,tauen::V,融化,топя се
831,schmelzen::V,溶化,разтопя се
832,trocknen::V,变干,съхна
833,sieden::V,煮,вря
834,sieden::V,煮,кипя
835,faulen::V,腐烂,гния
836,verfaulen::V,腐烂,изгния
837,reißen::V,撕,напукам се
838,versinken::V,下沉,потъна
839,vergehen::V,流逝,минавам
840,erscheinen::V,出现,явя се
841,verschwinden::V,消失,изчезна
842,sinken::V,下降,падна
843,abnehmen::V,减少,отслабна
844,zunehmen::V,增加,нарасна
845,steigen::V,上升,увелича се
846,steigen::V,上升,покачвам се
847,wachsen::V,生长,раста
848,glänzen::V,发光,лъщя
849,glänzen::V,发光,блестя
850,funkeln::V,闪烁,искря
851,lärmen::V,吵闹,шумя
852,läuten::V,响,звъня
853,klingeln::V,按铃,звъня
854,brausen::V,疾驶,буча
855,klingen::V,听起来,звуча
856,bellen::V,吠,лая
857,heulen::V,嗥,вия
858,heulen::V,嗥,рева
859,blasen::V,吹,духна
860,pfeifen::V,吹口哨,свиря
861,schreien::V,叫喊,крещя
862,stöhnen::V,呻吟,стена
863,stöhnen::V,呻吟,пъшкам
864,zittern::V,颤抖,треперя
865,leben::V,生存,живея
866,geboren werden::V,出生,родя се
867,atmen::V,呼吸,дишам
868,trinken::V,喝,пия
869,essen::V,吃,ям
870,schlucken::V,咽,гълтам
871,müde werden::V,疲倦,уморя се
872,einschlafen::V,入睡,заспя
873,schlafen::V,睡觉,спя
874,aufwachen::V,睡醒,събудя се
875,aufstehen::V,起床,стана
876,sich erholen::V,休养,отдъхвам си
877,krank werden::V,生病,заболея
