,Concept_ID,fr,xal
1004,umkommen::V,périr,үкх
1005,sich bewegen::V,bouger,көдлх
1006,sich bewegen::V,bouger,көндрх
1007,sich rühren::V,broncher,көндрх
1008,sich erheben::V,se lever,босх
1009,sich setzen::V,s'asseoir,суух
1010,hinfallen::V,tomber,унх
1011,hinfallen::V,tomber,киисх
1012,laufen::V,marcher,йовх
1013,laufen::V,aller à pied,йовх
1014,schreiten::V,marcher,алхх
1015,spazierengehen::V,se promener,сергҗ йовх
1016,eilen::V,courir,шулудх
1017,sich beeilen::V,se hâter,адһх
1018,sich beeilen::V,se hâter,шамдх
1019,sich beeilen::V,se dépêcher,адһх
1020,sich beeilen::V,se dépêcher,шамдх
1021,sausen::V,filer,хурдлх
1022,sausen::V,filer,йир_хурдар_гүүх
1023,sausen::V,filer,йир_хурдар_йовх
1024,rennen::V,courir,гүүх
1025,springen::V,sauter,һәрәдх
1026,klettern::V,grimper,давшх
1027,schaukeln::V,se balancer,дүүдңндх
1028,kriechen::V,ramper,мөлкх
1029,schwimmen::V,nager,усчх
1030,tauchen::V,plonger,булхх
1031,rudern::V,ramer,хәәвдх
1032,fahren::V,aller,йовх
1033,fahren::V,rouler,йовх
1034,fliegen::V,voler,нисх
1035,gehen::V,aller,йовх
1036,weggehen::V,s'en aller,йовх
1037,weggehen::V,s'en aller,одх
1038,weggehen::V,s'en aller,һарх
1039,weggehen::V,s'en aller,мөрлх
1040,abfahren::V,partir,мордх
1041,anhalten::V,s'arrêter,зогсх
1042,hineingehen::V,entrer,орх
1043,eintreten::V,entrer,орх
