,Concept_ID,ka,myv
631,dicht::A,მჭიდრო,тусто
632,dick[Gegenstand]::A,სქელი,эчке
633,dünn::A,წვრილი,човине
634,fein::A,თხელი,човине
635,fest::A,მყარი,кеме
636,flach::A,ბრტყელი,лапужа
637,glatt::A,გლუ,валаня
638,hart::A,მაგარი,калгодо
639,weich::A,რბილი,чевте
640,rund::A,მრგვალი,кеверь
641,spitz::A,წვეტიანი,пшти
642,scharf::A,მჭრელი,пшти
643,stumpf::A,ბლაგვი,ношка
644,schwer::A,მძიმე,стака
645,schön::A,ლამაზი,мазый
646,heiß::A,ცხელი,пси
647,warm::A,თბილი,лембе
648,kalt::A,ცივი,якшамо
649,kühl::A,გრილი,экше
650,frisch::A,სუფთა,свежа
651,feucht::A,ნოტიო,летьке
652,nass::A,სველი,начко
653,trocken::A,მშრალი,коське
654,voll::A,სავსე,пешксе
655,leer::A,ცარიელი,чаво
656,offen::A,ღია,панжадо
657,offen::A,ღია,виде
658,offen::A,გაშლილი,панжадо
659,offen::A,გაშლილი,виде
660,geschlossen::A,დახურული,пекстазь
661,geschlossen::A,დახურული,сёлгозь
662,sauber::A,სუფთა,ванькс
663,sauber::A,წმინდა,ванькс
664,schmutzig::A,ტალახიანი,ливезев
665,roh::A,უმი,верек
666,reif::A,მწიფე,кенерезь
667,lecker::A,გემრიელი,тантей
668,süß::A,ტკბილი,ламбамо
669,bitter::A,მწარე,сэпей
670,sauer::A,მჟავე,чапамо
671,hell::A,ნათელი,валдо
672,dunkel::A,ბნელი,чопода
673,schwarz::A,შავი,раужо
674,weiß::A,თეთრი,ашо
675,rot::A,წითელი,якстере
676,gelb::A,ყვითელი,ожо
677,blau::A,ლურჯი,сэнь
678,blau::A,ცისფერი,сэнь
679,grün::A,მწვანე,пиже
680,grau::A,რუხი,шержев
681,grau::A,ნაცრისფერი,шержев
682,bunt::A,ჭრელი,сёрмав
683,bunt::A,ფერადი,сёрмав
684,billig::A,იაფი,аволь питней
685,teuer::A,ძვირი,питней
686,wertvoll::A,ღირსიანი,питней
687,blind::A,ბრმა,сокор
688,taub::A,ყრუ,амариця
689,kräftig::A,ძალავანი,пек виев
690,stark::A,ძლიერი,виев
691,stark::A,ღონიერი,виев
692,schwach::A,სუსტი,лавшо
693,fett::A,სქელი,куя
694,schlank::A,გამხდარი,виде ронга
695,hübsch::A,ეშხიანი,мазый
696,hübsch::A,მშვენიერი,мазый
697,böse::A,ავი,кежей
698,böse::A,ბოროტი,кежей
699,dumm::A,ბოთე,чавола
700,dumm::A,ბოთე,превтеме
701,dumm::A,სულელი,чавола
702,dumm::A,სულელი,превтеме
703,faul::A,ზანტი,нузякс
704,faul::A,ზარმაცი,нузякс
705,fleißig::A,ბეჯითი,мелень путыця
706,fleißig::A,მუყაითი,мелень путыця
707,geizig::A,ძუნწი,скупой
708,klug::A,ჭკვიანი,превей
709,geschickt::A,მარჯვე,маштозь теезь
710,geschickt::A,გაწაფული,маштозь теезь
711,lieb::A,სატრფიალო,вадря
712,lustig::A,მხიარული,весёла
713,sanft::A,ალერსიანი,сэтьме
714,sanft::A,გრძნობიერი,сэтьме
715,hungrig::A,მშიერი,вачо
716,krank::A,სნეული,сэредиця
717,krank::A,ავადმყოფი,сэредиця
718,nackt::A,ტიტველი,штапо
719,traurig::A,მწუხარე,нусманя
720,traurig::A,სევდიანი,нусманя
721,lebendig::A,ცოცხალი,эриця
722,gut::A,კარგი,паро
723,schlecht::A,უხეირო,берянь
724,richtig::A,ნამდვილი,виде
725,schlimm::A,ცუდი,берянь
726,wahr::A,სწორი,алкуксонь
727,wahr::A,ჭეშმარიტი,алкуксонь
