,Concept_ID,fr,fa
633,Feind::N,ennemi,دشمن
634,Gewalt::N,violence,زور
635,Gewalt::N,violence,خشونت
636,Kampf::N,lutte,نبرد
637,Kampf::N,lutte,مبارزه
638,Kampf::N,combat,نبرد
639,Kampf::N,combat,مبارزه
640,Bogen[Waffe]::N,arc,کمان
641,Pfeil::N,flèche,تیر
642,Gewehr::N,fusil,تفنگ
643,Fehler::N,faute,غلط
644,Fehler::N,faute,اشتباه
645,Fehler::N,erreur,غلط
646,Fehler::N,erreur,اشتباه
647,Lüge::N,mensonge,دروغ
648,Schaden::N,dégât,آسیب
649,Schaden::N,dégât,خسارت
650,Schaden::N,dommage,آسیب
651,Schaden::N,dommage,خسارت
652,Unglück::N,malheur,بلا
653,Schuld::N,faute,گناه
654,Schuld::N,faute,تقصیر
655,Schuld::N,culpabilité,گناه
656,Schuld::N,culpabilité,تقصیر
657,Alter::N,âge,سن
658,Alter::N,âge,عمر
659,Schluss::N,fin,انتها
660,Zeit::N,temps,وقت
661,Zeit::N,temps,زمان
662,Tag::N,jour,روز
663,Tag::N,journée,روز
664,Morgen::N,matin,صبح
665,Morgen::N,matinée,صبح
666,Mittag::N,midi,ظهر
667,Abend::N,soir,شب
668,Abend::N,soir,عصر
669,Abend::N,soirée,شب
670,Abend::N,soirée,عصر
671,Nacht::N,nuit,شب
672,Woche::N,semaine,هفته
673,Monat::N,mois,ماه
674,Jahr::N,an,سال
675,Jahr::N,année,سال
676,Frühling::N,printemps,بهار
677,Sommer::N,été,تابستان
678,Herbst::N,automne,پاییز
679,Winter::N,hiver,زمستان
680,Januar::N,janvier,ژانویه
681,Februar::N,février,فوریه
682,März::N,mars,مارس
683,April::N,avril,آوریل
684,Mai::N,mai,مه
685,Juni::N,juin,ژوئن
686,Juli::N,juillet,ژویه
687,August::N,août,اوت
688,September::N,septembre,سپتامبر
689,Oktober::N,octobre,اکتبر
690,November::N,novembre,نوامبر
691,Dezember::N,décembre,دسامبر
692,Montag::N,lundi,دو‌شنبه
693,Dienstag::N,mardi,سه‌شنبه
