,Concept_ID,fi,et
438,Haken::N,haka,konks
439,Haken::N,koukku,haak
440,Haken::N,koukku,konks
441,Griff::N,ripa,sang
442,Griff::N,ripa,käepide
443,Griff::N,kahva,sang
444,Griff::N,kahva,käepide
445,Schloss::N,lukko,lukk
446,Bild::N,kuva,pilt
447,Figur::N,kuvio,kuju
448,Figur::N,kuvio,kujund
449,Puppe::N,nukke,nukk
450,Beutel::N,pussi,paun
451,Bündel::N,nippu,kimp
452,Bündel::N,kimppu,kimp
453,Tasche::N,laukku,kott
454,Eimer::N,sanko,pang
455,Eimer::N,sanko,ämber
456,Eimer::N,ämpäri,pang
457,Eimer::N,ämpäri,ämber
458,Deckel::N,kansi,kaas
459,Geschirr::N,astia,nõud
460,Sack::N,säkki,kott
461,Tasse::N,kuppi,tass
462,Topf::N,pata,pada
463,Kessel::N,kattila,pada
464,Essen::N,syönti,söök
465,Nahrung::N,ruoka,toit
466,Nahrung::N,ravinto,toit
467,Speise::N,ruoka,roog
468,Fleisch::N,liha,liha
469,Getreide::N,vilja,teravili
470,Brei::N,puuro,puder
471,Brot::N,leipä,sai
472,Brot::N,leipä,leib
473,Scheibe::N,viipale,viil
474,Scheibe::N,viipale,viilukas
475,Fett::N,rasva,rasv
476,Butter::N,voi,või
477,Öl::N,öljy,õli
478,Salz::N,suola,sool
479,Suppe::N,keitto,supp
480,Honig::N,hunaja,mesi
481,Milch::N,maito,piim
482,Tee::N,tee,tee
483,Leder::N,nahka,nahk
484,Wolle::N,villa,vill
485,Stoff::N,kangas,kangas
486,Nadel::N,neula,nõel
487,Faden::N,lanka,niit
488,Knopf::N,nappi,nööp
489,Knoten::N,solmu,sõlm
490,Farbe::N,maali,värv
491,Kleidung::N,vaatteet,riided
492,Kleidung::N,vaatteet,riietus
493,Hemd::N,paita,särk
494,Kragen::N,kaulus,krae
495,Ärmel::N,hiha,varrukas
496,Hose::N,housut,püksid
497,Gürtel::N,vyö,vöö
498,Mütze::N,lakki,müts
499,Schuh::N,kenkä,king
500,Stiefel::N,saapas,saabas
501,Ring::N,sormus,sõrmus
502,Band::N,nauha,lint
503,Kamm::N,kampa,kamm
504,Spiegel::N,peili,peegel
505,Riemen::N,hihna,rihm
506,Schnur::N,naru,nöör
507,Schnur::N,nuora,nöör
508,Leine::N,talutushihna,jalutusrihm
509,Decke::N,peite,tekk
510,Kissen::N,tyyny,padi
511,Kissen::N,pielus,padi
512,Tuch::N,huivi,kalev
513,Handtuch::N,pyyheliina,käterätik
514,Kraft::N,väki,jõud
515,Kraft::N,voima,jõud
516,Stärke::N,vahvuus,tugevus
517,Gesundheit::N,terveys,tervis
518,Krankheit::N,tauti,haigus
519,Krankheit::N,sairaus,haigus
520,Schmerz::N,kipu,valu
521,Schmerz::N,särky,valu
522,Wunde::N,haava,haav
523,Fieber::N,kuume,palavik
524,Arznei::N,lääke,ravim
525,Brücke::N,silta,sild
526,Brunnen::N,kaivo,kaev
527,Weide::N,laidun,karjamaa
528,Pfad::N,polku,rada
529,Weg::N,tie,tee
530,Straße::N,katu,tee
531,Dorf::N,kylä,küla
532,Stadt::N,kaupunki,linn
533,Brief::N,kirje,kiri
534,Buch::N,kirja,raamat
535,Buchstabe::N,kirjain,täht
536,Zeitung::N,lehti,ajaleht
537,Zeitung::N,sanomalehti,ajaleht
538,Leben::N,elo,elu
539,Leben::N,elämä,elu
540,Tod::N,kuolema,surm
541,Grab::N,hauta,haud
542,Kirche::N,kirkko,kirik
543,Sünde::N,synti,patt
544,Gott::N,jumala,jumal
545,Arbeiter::N,työläinen,tööline
546,Chef::N,päällikkö,ülemus
547,Chef::N,päällikkö,juhataja
548,Meister::N,mestari,meister
549,Arzt::N,lääkäri,arst
550,Lehrer::N,opettaja,õpetaja
551,Geld::N,raha,raha
552,Geschäft::N,liike,äri
553,Laden::N,puoti,pood
554,Laden::N,puoti,kauplus
555,Laden::N,kauppa,pood
556,Laden::N,kauppa,kauplus
557,Preis::N,hinta,hind
558,Ware::N,tavara,kaup
559,Nutzen::N,hyöty,tulu
