,Concept_ID,sk,mhr
409,Regal::N,polica,шӧ́рлык
410,Kiste::N,debna,шо́ндык
411,Kiste::N,debna,я́шлык
412,Fenster::N,okno,окна́
413,Fenster::N,oblok,окна́
414,Tür::N,dvere,омса́
415,Tor::N,vráta,капка́
416,Zaun::N,plot,сава́р
417,Zaun::N,ohrada,сава́р
418,Dach::N,krov,леве́дыш
419,Dach::N,strecha,леве́дыш
420,Leiter::N,rebrík,тошка́лтыш
421,Leiter::N,rebrina,тошка́лтыш
422,Besen::N,metla,ӱштерво́штыр
423,Spaten::N,rýľ,ко́льмо
424,Schaufel::N,lopata,сово́к
425,Schaufel::N,lopata,су́ско
426,Gabel::N,vidlička,ви́лке
427,Löffel::N,lyžica,па́не
428,Löffel::N,lyžica,совла́
429,Messer::N,nôž,кӱ́зӧ
430,Nagel::N,klinec,пуда́
431,Netz::N,sieť,вапш
432,Haken::N,hák,са́гыле
433,Haken::N,háčik,са́гыле
434,Griff::N,rukoväť,кыл
435,Schloss::N,zámka,кӧгӧ́н
436,Bild::N,obraz,сӱре́т
437,Figur::N,figúra,фигу́р
438,Puppe::N,bábka,курча́к
439,Puppe::N,bábika,курча́к
440,Beutel::N,vrece,меша́к
441,Beutel::N,vrecko,меша́к
442,Bündel::N,uzlík,арша́ш
443,Bündel::N,zväzok,арша́ш
444,Tasche::N,taška,сумка́
445,Tasche::N,kabelka,сумка́
446,Eimer::N,vedro,ведра́
447,Deckel::N,vrchnák,ко́мдыш
448,Deckel::N,pokrývka,ко́мдыш
449,Geschirr::N,nádoba,а́те
450,Sack::N,mech,куль
451,Sack::N,mech,меша́к
452,Sack::N,vrece,куль
453,Sack::N,vrece,меша́к
454,Tasse::N,šálka,чу́кыр
455,Tasse::N,šálka,чашка́
456,Topf::N,hrniec,ми́ске
457,Kessel::N,kotol,под
458,Essen::N,jedlo,ко́чкыш
459,Nahrung::N,strava,ку́рго
460,Nahrung::N,potrava,ку́рго
461,Speise::N,jedlo,ко́чкыш
462,Fleisch::N,mäso,шыл
463,Getreide::N,obilie,шу́рно
464,Brei::N,kaša,пу́чымыш
465,Brot::N,chlieb,ки́нде
466,Scheibe::N,kotúč,ка́тыш
467,Scheibe::N,krajec,ка́тыш
468,Fett::N,tuk,коя́
469,Fett::N,masť,коя́
470,Butter::N,maslo,ӱй
471,Öl::N,olej,ӱй
472,Salz::N,soľ,шинча́л
473,Suppe::N,polievka,шӱр
474,Honig::N,med,мӱй
475,Milch::N,mlieko,шӧр
476,Tee::N,čaj,чай
477,Leder::N,koža,сура́н
478,Leder::N,koža,шӱ́штӧ
479,Wolle::N,vlna,пун
480,Stoff::N,súkno,куэ́м
481,Stoff::N,súkno,посто́
482,Nadel::N,ihla,и́ме
483,Faden::N,niť,шӱ́ртӧ
484,Faden::N,vlákno,шӱ́ртӧ
485,Knopf::N,gombík,по́лдыш
486,Knoten::N,uzol,пышке́м
487,Farbe::N,farba,чия́
488,Kleidung::N,šaty,чие́м
489,Kleidung::N,šaty,вурге́м
490,Kleidung::N,šatstvo,чие́м
491,Kleidung::N,šatstvo,вурге́м
492,Hemd::N,košeľa,ту́выр
493,Kragen::N,golier,сога́
494,Ärmel::N,rukáv,шокш
495,Hose::N,nohavice,йола́ш
496,Gürtel::N,pás,ӱ́штӧ
497,Gürtel::N,opasok,ӱ́штӧ
498,Mütze::N,čiapka,упш
499,Schuh::N,obuv,боти́нке
500,Schuh::N,topánka,боти́нке
501,Stiefel::N,čižma,кем
502,Ring::N,prsteň,шерга́ш
503,Band::N,stuha,тасма́
504,Band::N,stuha,ле́нте
505,Kamm::N,hrebeň,шерге́
506,Spiegel::N,zrkadlo,вошто́нчыш
507,Riemen::N,remeň,кӱзанӱ́штӧ
508,Schnur::N,šnúra,кере́м
509,Schnur::N,šnúra,кандыра́
510,Leine::N,vodidlo,вӱра́ҥ
511,Decke::N,deka,леве́дыш
512,Decke::N,deka,одея́л
513,Decke::N,prikrývka,леве́дыш
514,Decke::N,prikrývka,одея́л
515,Kissen::N,poduška,кӱ́пчык
516,Tuch::N,šatka,шо́выч
517,Handtuch::N,uterák,со́лык
518,Kraft::N,moc,вий
519,Kraft::N,moc,куа́т
520,Stärke::N,sila,куа́т
521,Stärke::N,sila,карма́н
522,Gesundheit::N,zdravie,таза́лык
523,Krankheit::N,nemoc,чер
524,Krankheit::N,choroba,чер
525,Schmerz::N,bolesť,ко́рштыш
526,Wunde::N,rana,су́сыр
527,Fieber::N,horúčka,йӱштыму́ж
528,Fieber::N,horúčka,лихора́дке
529,Arznei::N,liek,эм
530,Brücke::N,most,кӱва́р
531,Brunnen::N,studňa,вӱдвыне́м
532,Weide::N,pastva,нурше́р
533,Pfad::N,chodník,йолго́рно
534,Pfad::N,chodník,сокма́к
535,Weg::N,cesta,ко́рно
536,Straße::N,hradská,ко́рно
537,Dorf::N,dedina,ял
538,Stadt::N,mesto,ола́
539,Brief::N,list,се́рыш
540,Buch::N,kniha,книга́
541,Buchstabe::N,litera,буква́
542,Buchstabe::N,písmeno,буква́
543,Zeitung::N,noviny,газе́т
544,Leben::N,život,и́лыш
545,Tod::N,smrť,колыма́ш
546,Grab::N,hrob,шӱга́р
547,Kirche::N,kostol,че́рке
548,Sünde::N,hriech,су́лык
549,Gott::N,boh,ю́мо
550,Arbeiter::N,robotník,паша́зе
551,Arbeiter::N,pracnovík,паша́зе
552,Chef::N,šéf,тӧра́
553,Chef::N,riaditeľ,тӧра́
554,Meister::N,majster,маста́р
555,Arzt::N,lekár,врач
556,Lehrer::N,učiteľ,ту́ныктышо
557,Geld::N,peniaze,окса́
558,Geschäft::N,obchod,сатулыма́ш
559,Laden::N,obchod,ке́выт
560,Preis::N,cena,ак
561,Ware::N,tovar,сату́
562,Nutzen::N,osoh,пайда́
563,Nutzen::N,úžitok,пайда́
564,Reichtum::N,bohatstvo,поя́нлык
565,Welt::N,svet,тӱня́
566,Land::N,územie,эл
567,Land::N,krajina,эл
568,Staat::N,štát,кугыжа́ныш
569,König::N,kráľ,кугыжа́
570,Macht::N,moc,власть
571,Macht::N,mocnosť,власть
572,Grenze::N,hranica,грани́ца
573,Krieg::N,vojna,сар
574,Feind::N,nepriateľ,тушма́н
575,Gewalt::N,násilie,виешлыма́ш
576,Kampf::N,boj,кредалма́ш
577,Bogen[Waffe]::N,luk,юҥе́ж
578,Pfeil::N,šíp,пикш
579,Pfeil::N,strela,пикш
580,Gewehr::N,puška,пыча́л
581,Fehler::N,omyl,йо́ҥылыш
582,Fehler::N,chyba,йо́ҥылыш
583,Lüge::N,lož,шоя́к
584,Schaden::N,ujma,зия́н
585,Schaden::N,škoda,зия́н
586,Unglück::N,nešťastie,эҥге́к
587,Schuld::N,vina,тита́к
588,Schuld::N,vina,йола́
589,Schuld::N,previnenie,тита́к
590,Schuld::N,previnenie,йола́
591,Alter::N,vek,ийго́т
592,Schluss::N,záver,муча́ш
593,Schluss::N,koniec,муча́ш
594,Zeit::N,čas,жап
595,Zeit::N,čas,па́гыт
596,Tag::N,deň,ке́че
597,Morgen::N,ráno,эр
598,Mittag::N,poludnie,кечыва́л
599,Abend::N,večer,кас
600,Nacht::N,noc,йӱд
601,Woche::N,týždeň,арня́
602,Monat::N,mesiac,ты́лзе
603,Jahr::N,rok,ий
604,Frühling::N,jar,шо́шо
605,Sommer::N,leto,кеҥе́ж
606,Herbst::N,jeseň,шы́же
607,Winter::N,zima,те́ле
608,Januar::N,január,шоркыйол
609,Januar::N,január,идалыкву́й
610,Januar::N,január,янва́рь
611,Februar::N,február,пургыж
612,Februar::N,február,февра́ль
613,März::N,marec,ӱярня
614,März::N,marec,март
615,April::N,apríl,апре́ль
616,Mai::N,máj,ага
617,Mai::N,máj,май
618,Juni::N,jún,пеледыш
619,Juni::N,jún,ию́нь
620,Juli::N,júl,сӱрем
621,Juli::N,júl,ию́ль
622,August::N,august,сорла
623,August::N,august,агарма́н
624,August::N,august,а́вгуст
625,September::N,september,идым
626,September::N,september,сентя́брь
627,Oktober::N,október,шыжа
628,Oktober::N,október,октя́брь
629,November::N,november,кылме тылзе
630,November::N,november,ноя́брь
631,Dezember::N,december,дека́брь
632,Montag::N,pondelok,шо́чмо
633,Dienstag::N,utorok,ку́шкыжмо
634,Mittwoch::N,streda,вӱрге́че
635,Donnerstag::N,štvrtok,изарня́
636,Freitag::N,piatok,кугарня́
637,Samstag::N,sobota,шуматке́че
638,Sonntag::N,nedeľa,рушарня́
639,groß::A,veľký,кугу́
640,klein::A,malý,изи́
641,lang::A,dlhý,кужу́
642,kurz::A,krátky,кӱ́чык
643,breit::A,široký,кумда́
644,schmal::A,úzky,а́ҥысыр
645,dicht::A,hustý,ну́гыдо
646,dick[Gegenstand]::A,tlstý,кӱ́жгӧ
647,dünn::A,tenký,ви́чкыж
648,fein::A,jemný,ты́гыде
649,fest::A,pevný,чо́ткыдо
650,flach::A,rovný,лапка́
651,flach::A,plochý,лапка́
652,glatt::A,hladký,яклака́
653,hart::A,tvrdý,пе́ҥгыде
654,weich::A,mäkký,пу́шкыдо
655,rund::A,guľatý,йырге́шке
656,rund::A,okrúhly,йырге́шке
657,spitz::A,končitý,коша́р
658,scharf::A,ostrý,пӱ́сӧ
659,stumpf::A,tupý,токма́к
660,schwer::A,ťažký,не́ле
661,schön::A,pekný,сы́лне
662,schön::A,krásny,сы́лне
663,heiß::A,horúci,шо́кшо
664,warm::A,teplý,ле́ве
665,kalt::A,studený,йӱ́штӧ
666,kühl::A,chladný,юа́лге
667,kühl::A,chladný,южгата́
668,frisch::A,svieži,свежа́
669,feucht::A,vlhký,вӱ́дыжгӧ
670,feucht::A,zvlhnutý,вӱ́дыжгӧ
671,nass::A,mokrý,нӧ́рӧ
672,trocken::A,suchý,ку́кшо
673,voll::A,plný,тич
674,leer::A,prázdny,яра́
675,offen::A,otvorený,виш
676,geschlossen::A,zavretý,пе́тырыме
677,geschlossen::A,zavretý,тӱ́чмӧ
678,sauber::A,čistý,ару́
679,sauber::A,čistý,янда́р
680,schmutzig::A,špinavý,лавыра́н
681,schmutzig::A,špinavý,ла́выргыше
682,roh::A,surový,кӱ́чымӧ
683,reif::A,zrelý,лӧза́
684,lecker::A,chutný,ту́тло
685,süß::A,sladký,ше́ре
686,bitter::A,horký,ко́чо
687,sauer::A,kyslý,шо́по
688,hell::A,jasný,во́лгыдо
689,hell::A,svetlý,во́лгыдо
690,dunkel::A,temný,пычке́мыш
691,schwarz::A,čierny,шола́
692,weiß::A,biely,ош
693,rot::A,červený,йошка́р
694,gelb::A,žltý,сар
695,blau::A,modrý,ка́нде
696,blau::A,belasý,ка́нде
697,grün::A,zelený,ужа́р
698,grau::A,šedý,сур
699,bunt::A,pestrý,олача́
700,billig::A,lacný,шу́лдо
701,teuer::A,drahý,ше́рге
702,wertvoll::A,cenný,шергака́н
703,blind::A,slepý,со́кыр
704,taub::A,hluchý,соҥгыра́
705,kräftig::A,silný,куа́тле
706,stark::A,silný,вия́н
707,schwach::A,slabý,а́лдыме
708,schwach::A,bezvládny,а́лдыме
709,fett::A,tučný,коя́
710,schlank::A,štíhly,йоштката́
711,schlank::A,štíhly,яжу́
712,hübsch::A,šumný,чеве́р
713,hübsch::A,švárny,чеве́р
714,böse::A,zlý,шы́де
715,dumm::A,hlúpy,аҥыра́
716,faul::A,lenivý,його
717,fleißig::A,snaživý,ты́ршыше
718,fleißig::A,usilovný,ты́ршыше
719,geizig::A,skupý,чаҥга́
720,geizig::A,lakomý,чаҥга́
721,klug::A,múdry,уша́н
722,klug::A,bystrý,уша́н
723,geschickt::A,zručný,уста́
724,geschickt::A,šikovný,уста́
725,lieb::A,milý,ала́л
726,lustig::A,veselý,весела́
727,sanft::A,nežný,ны́жылге
728,hungrig::A,lačný,шу́жышо
729,hungrig::A,hladný,шу́жышо
730,krank::A,chorý,че́рле
731,krank::A,nemocný,че́рле
732,nackt::A,nahý,чарама́т
733,traurig::A,smutný,ойга́н
734,lebendig::A,živý,и́лыше
735,gut::A,dobrý,сай
736,schlecht::A,zlý,уда́
737,schlecht::A,zlý,шӱ́кшӧ
738,richtig::A,správny,чы́нле
739,schlimm::A,zlý,аля́к
740,schlimm::A,zlý,тыра́н
741,schlimm::A,nepríjemný,аля́к
