,Concept_ID,ps,ar
467,Knoten::N,غوټه,عقدة
468,Farbe::N,رنګ,صبغة
469,Kleidung::N,کالي,ملابس
470,Hemd::N,کميس,قميص
471,Kragen::N,غاړه,ياقة
472,Ärmel::N,لستوڼی,كم
473,Hose::N,پطلون,سروال
474,Hose::N,پطلون,بنطلون
475,Gürtel::N,کمربند,حزام
476,Mütze::N,خولۍ,طاقية
477,Schuh::N,بوټ,حذاء
478,Stiefel::N,موزه,جزمة
479,Stiefel::N,موزه,حذاء طويل
480,Ring::N,ګوته,حلقة
481,Band::N,فيته,شريط
482,Kamm::N,ګمنځ,مشط
483,Spiegel::N,ایینه,مرآة
484,Spiegel::N,هنداره,مرآة
485,Riemen::N,تسمه,سير
486,Schnur::N,مزی,حبل
487,Schnur::N,مزی,دوبارة
488,Leine::N,رسۍ,قيد
489,Decke::N,بړستن,بطانية
490,Kissen::N,بالښت,وسادة
491,Tuch::N,ټیکری,منديل
492,Handtuch::N,دسمال,فوطة
493,Handtuch::N,دسمال,منشفة
494,Kraft::N,زور,قدرة
495,Kraft::N,توان,قدرة
496,Stärke::N,قوت,قوة
497,Gesundheit::N,صحت,صحة
498,Gesundheit::N,روغتیا,صحة
499,Krankheit::N,مرض,مرض
500,Krankheit::N,ناروغي,مرض
501,Schmerz::N,درد,ألم
502,Schmerz::N,درد,وجع
503,Wunde::N,ټپ,جرح
504,Wunde::N,زخم,جرح
505,Fieber::N,تبه,حمى
506,Arznei::N,دوا,دواء
507,Arznei::N,دارو,دواء
508,Brücke::N,پول,جسر
509,Brunnen::N,څاه,بئر
510,Brunnen::N,کوهی,بئر
511,Weide::N,وله,مرعى
512,Pfad::N,تړه,درب
513,Weg::N,لیار,سكة
514,Straße::N,سړک,طريق
515,Dorf::N,کلی,قرية
516,Stadt::N,ښار,مدينة
517,Brief::N,لیک,خطاب
518,Brief::N,لیک,مكتوب
519,Brief::N,مکتوب,خطاب
520,Brief::N,مکتوب,مكتوب
521,Buch::N,کتاب,كتاب
522,Buchstabe::N,حرف,حرف
523,Buchstabe::N,توری,حرف
524,Zeitung::N,اخبار,جريدة
525,Leben::N,ژوند,عيش
526,Leben::N,ژوند,حياة
527,Tod::N,مرګ,موت
528,Tod::N,مرګ,وفاة
529,Tod::N,مړینه,موت
530,Tod::N,مړینه,وفاة
531,Grab::N,قبر,قبر
532,Grab::N,ډورۍ,قبر
533,Kirche::N,کلیسا,كنيسة
534,Sünde::N,ګناه,خطيئة
535,Gott::N,خدای,إله
536,Arbeiter::N,کاریګر,عامل
537,Chef::N,آمر,رئيس
538,Meister::N,استاد,أسطى
539,Arzt::N,طبیب,طبيب
540,Arzt::N,ډاکټر,طبيب
541,Lehrer::N,معلم,مدرس
542,Lehrer::N,ښوونکی,مدرس
543,Geld::N,پیسې,نقود
544,Geschäft::N,سوداګري,صفقة
545,Laden::N,دکان,دكان
546,Laden::N,مغازه,دكان
547,Preis::N,بیه,سعر
548,Ware::N,مال,بضاعة
549,Nutzen::N,ګټه,فائدة
550,Reichtum::N,شتمني,غنى
551,Reichtum::N,شتمني,ثروة
552,Welt::N,نړۍ,عالم
553,Welt::N,نړۍ,دنيا
554,Welt::N,دنیا,عالم
555,Welt::N,دنیا,دنيا
556,Land::N,هېواد,بلد
557,Staat::N,دولت,دولة
558,König::N,باچا,ملك
559,König::N,پادشاه,ملك
560,Macht::N,قدرت,سلطة
561,Grenze::N,حد,حدود
562,Grenze::N,سرحد,حدود
563,Krieg::N,جګړه,حرب
564,Feind::N,دښمن,عدو
565,Gewalt::N,زور,عنف
566,Gewalt::N,تشدد,عنف
567,Kampf::N,جنګ,قتال
568,Kampf::N,مبارزه,قتال
569,Bogen[Waffe]::N,لیندۍ,قوس
570,Pfeil::N,غشی,سهم
571,Gewehr::N,ټوپک,بندقية
572,Fehler::N,خطا,خطأ
573,Fehler::N,غلطي,خطأ
574,Lüge::N,دروغ,كذب
575,Schaden::N,زیان,تلف
576,Schaden::N,تاوان,تلف
577,Unglück::N,بدبختي,نحس
578,Schuld::N,ګناه,ذنب
579,Alter::N,منګ,سن
580,Alter::N,منګ,عمر
581,Schluss::N,اخر,ختام
582,Schluss::N,اخر,نهاية
583,Zeit::N,وخت,وقت
584,Tag::N,ورځ,يوم
585,Morgen::N,سبا,صباح
586,Morgen::N,سهار,صباح
587,Mittag::N,غرمه,ظهر
588,Abend::N,ماښام,مساء
589,Nacht::N,شپه,ليلة
590,Woche::N,اونۍ,أسبوع
591,Monat::N,مياشت,شهر
592,Jahr::N,کال,عام
593,Jahr::N,کال,سنة
594,Frühling::N,پسرلی,ربيع
595,Sommer::N,دوبی,صيف
596,Herbst::N,منی,خريف
597,Herbst::N,خزان,خريف
598,Winter::N,ژمی,شتاء
599,Januar::N,جنوري,يناير
600,Januar::N,جنوري,كانون الثاني
601,Februar::N,فبروري,شباط
602,Februar::N,فبروري,فبراير
603,März::N,مارچ,آذار
604,März::N,مارچ,مارس
605,April::N,اپریل,نيسان
606,Mai::N,مې,مايو
607,Juni::N,جون,يونيو
608,Juni::N,جون,حزيران
609,Juli::N,جولای,تموز
610,Juli::N,جولای,يوليو
611,August::N,اګست,آب
612,August::N,اګست,أغسطس
613,September::N,سپټامبر,أيلول
614,September::N,سپټامبر,سبتمبر
615,Oktober::N,اکتوبر,أكتوبر
616,Oktober::N,اکتوبر,تشرين الأول
617,November::N,نومبر,نوفمبر
618,November::N,نومبر,تشرين الثاني
619,Dezember::N,دسمبر,ديسمبر
620,Dezember::N,دسمبر,كانون الأول
621,Montag::N,دوشنبه,يوم الاثنين
622,Dienstag::N,سه شنبه,يوم الثلاثاء
623,Mittwoch::N,چارشنبه,يوم الأربعاء
624,Donnerstag::N,پنجشنبه,يوم الخميس
625,Freitag::N,جمعه,يوم الجمعة
626,Samstag::N,خالي,يوم السبت
627,Sonntag::N,یکشنبه,يوم الأحد
628,groß::A,لوی,كبير
629,klein::A,وړوکی,صغير
630,lang::A,اوړد,طويل
631,kurz::A,لنډ,قصير
632,breit::A,پراخه,واسع
633,schmal::A,تنګ,ضيق
634,dicht::A,ګڼ,كث
635,dicht::A,ګڼ,كثيف
636,dick[Gegenstand]::A,پنډ,غليظ
637,dünn::A,نری,رفيع
638,fein::A,نازک,رقيق
639,fest::A,کلک,متين
640,fest::A,ټینګ,متين
641,flach::A,هوار,سهل
642,flach::A,هوار,منبسط
643,glatt::A,ښوی,ناعم
644,hart::A,کلک,صلب
645,hart::A,کلک,جامد
646,weich::A,نرم,لين
647,weich::A,پوست,لين
648,rund::A,ګرد,مستدير
649,spitz::A,تېره,مدبب
650,scharf::A,تېز,حاد
651,scharf::A,تېره,حاد
652,stumpf::A,پڅ,ثالم
653,schwer::A,دروند,ثقيل
654,schön::A,ښکلی,جميل
655,heiß::A,تود,حار
656,heiß::A,تود,ساخن
657,warm::A,تود,دافئ
658,kalt::A,ېخ,بارد
659,kalt::A,سوړ,بارد
660,kühl::A,ېخ,قر
661,kühl::A,سوړ,قر
662,frisch::A,تازه,طازج
663,feucht::A,مرطوب,رطب
664,nass::A,لوند,مبلول
665,trocken::A,وچ,جاف
666,voll::A,ډک,ملء
667,leer::A,خالی,خال
668,leer::A,خالی,فارغ
669,offen::A,خلاص,مفتوح
670,offen::A,پرانیستی,مفتوح
