,Concept_ID,fi,udm
432,Fenster::N,ikkuna,косяк
433,Tür::N,ovi,ӧс
434,Tor::N,portti,ӟезьы
435,Zaun::N,aita,забор
436,Dach::N,katto,липет
437,Leiter::N,tikkaat,падӟа
438,Leiter::N,tikapuut,падӟа
439,Besen::N,luuta,ӵужон
440,Besen::N,luuta,исьнер
441,Spaten::N,lapio,лопатка
442,Schaufel::N,lapio,ютырон
443,Gabel::N,haarukka,тэчы
444,Gabel::N,haarukka,вилка
445,Löffel::N,lusikka,пуньы
446,Messer::N,veitsi,пурт
447,Nagel::N,naula,кортӵог
448,Netz::N,verkko,сеть
449,Haken::N,haka,курик
450,Haken::N,koukku,курик
451,Griff::N,ripa,ныд
452,Griff::N,kahva,ныд
453,Schloss::N,lukko,тунгон
454,Bild::N,kuva,суред
455,Figur::N,kuvio,фигура
456,Puppe::N,nukke,мунё
457,Beutel::N,pussi,пуйы
458,Bündel::N,nippu,керттэт
459,Bündel::N,kimppu,керттэт
460,Tasche::N,laukku,пуйы
461,Tasche::N,laukku,сумка
462,Eimer::N,sanko,ведра
463,Eimer::N,ämpäri,ведра
464,Deckel::N,kansi,ӵоксэт
465,Geschirr::N,astia,тусьты-пуньы
466,Sack::N,säkki,пуйы
467,Tasse::N,kuppi,ӵаша
468,Topf::N,pata,миска
469,Kessel::N,kattila,пурты
470,Essen::N,syönti,сиськон
471,Nahrung::N,ruoka,сион
472,Nahrung::N,ravinto,сион
473,Speise::N,ruoka,сиён
474,Fleisch::N,liha,сӥль
475,Getreide::N,vilja,ю тысь
476,Brei::N,puuro,ӝук
477,Brot::N,leipä,нянь
478,Scheibe::N,viipale,шорем
479,Fett::N,rasva,кӧй
480,Butter::N,voi,вӧй
481,Öl::N,öljy,вӧй
482,Salz::N,suola,сылал
483,Suppe::N,keitto,шыд
484,Honig::N,hunaja,чечы
485,Milch::N,maito,йӧл
486,Tee::N,tee,чай
487,Leder::N,nahka,сурон
488,Wolle::N,villa,гон
489,Wolle::N,villa,ыжгон
490,Stoff::N,kangas,куэм
491,Nadel::N,neula,вень
492,Faden::N,lanka,сӥньыс
493,Knopf::N,nappi,бирды
494,Knoten::N,solmu,герд
495,Farbe::N,maali,буёл
496,Kleidung::N,vaatteet,дӥсь
497,Hemd::N,paita,дэрем
498,Kragen::N,kaulus,сирес
499,Ärmel::N,hiha,саес
500,Hose::N,housut,брюки
501,Hose::N,housut,штань
502,Gürtel::N,vyö,кускерттон
503,Mütze::N,lakki,ызьы
504,Schuh::N,kenkä,ботинка
505,Stiefel::N,saapas,сапег
506,Ring::N,sormus,зундэс
507,Band::N,nauha,лента
508,Kamm::N,kampa,сын
509,Spiegel::N,peili,синучкон
510,Riemen::N,hihna,е
511,Schnur::N,naru,гозы
512,Schnur::N,nuora,гозы
513,Leine::N,talutushihna,думет
514,Decke::N,peite,шобрет
515,Kissen::N,tyyny,миндэр
516,Kissen::N,pielus,миндэр
517,Tuch::N,huivi,кышет
518,Handtuch::N,pyyheliina,ӵушкон
519,Kraft::N,väki,кать
520,Kraft::N,väki,ӟигар
521,Kraft::N,voima,кать
522,Kraft::N,voima,ӟигар
523,Stärke::N,vahvuus,юнлык
524,Gesundheit::N,terveys,тазалык
525,Krankheit::N,tauti,висён
526,Krankheit::N,sairaus,висён
527,Schmerz::N,kipu,висён
528,Schmerz::N,särky,висён
529,Wunde::N,haava,яра
530,Fieber::N,kuume,кезег
531,Arznei::N,lääke,эмъюм
532,Brücke::N,silta,выж
533,Brunnen::N,kaivo,колдэч
534,Weide::N,laidun,возь
535,Pfad::N,polku,сюрес
536,Weg::N,tie,сюрес
537,Straße::N,katu,сюрес
538,Dorf::N,kylä,гурт
539,Stadt::N,kaupunki,кар
540,Stadt::N,kaupunki,город
541,Brief::N,kirje,гожтэт
542,Buch::N,kirja,книга
543,Buchstabe::N,kirjain,буква
544,Zeitung::N,lehti,газет
545,Zeitung::N,sanomalehti,газет
546,Leben::N,elo,улон
547,Leben::N,elämä,улон
548,Tod::N,kuolema,кулон
549,Grab::N,hauta,шайгу
550,Kirche::N,kirkko,черк
551,Sünde::N,synti,сьӧлык
552,Gott::N,jumala,ӥнмар
553,Arbeiter::N,työläinen,рабочий
554,Chef::N,päällikkö,начальник
555,Meister::N,mestari,кибашлы
556,Arzt::N,lääkäri,врач
557,Lehrer::N,opettaja,дышетӥсь
558,Geld::N,raha,уксё
559,Geld::N,raha,коньдон
560,Geschäft::N,liike,уж
561,Laden::N,puoti,магазин
562,Laden::N,kauppa,магазин
563,Preis::N,hinta,дун
564,Ware::N,tavara,вуз
565,Nutzen::N,hyöty,пайда
566,Reichtum::N,rikkaus,узырлык
567,Welt::N,maailma,дунне
568,Land::N,maa,шаер
569,Staat::N,valtio,кун
570,König::N,kuningas,эксэй
571,Macht::N,mahti,власть
572,Grenze::N,raja,кунгож
573,Krieg::N,sota,ож
574,Feind::N,vihollinen,тушмон
575,Gewalt::N,väkivalta,эриктэман
576,Kampf::N,taistelu,нюръяськон
577,Bogen[Waffe]::N,jousi,пукыӵ
578,Pfeil::N,nuoli,пукыӵ вень
579,Gewehr::N,kivääri,пыӵал
580,Fehler::N,vika,янгыш
581,Fehler::N,virhe,янгыш
582,Lüge::N,valhe,пӧян
583,Lüge::N,valhe,алдан
584,Lüge::N,valhe,ӧрекчан
585,Schaden::N,vaurio,изъян
586,Schaden::N,vahinko,изъян
587,Unglück::N,vahinko,куректон
588,Unglück::N,vahinko,шудтэме усён
589,Unglück::N,onnettomuus,куректон
590,Unglück::N,onnettomuus,шудтэме усён
591,Schuld::N,syy,янгыш
592,Alter::N,ikä,арлыд
593,Schluss::N,loppu,пум
594,Zeit::N,aika,дыр
595,Tag::N,päivä,нунал
596,Morgen::N,aamu,ӵукна
597,Morgen::N,huomen,ӵукна
598,Mittag::N,keskipäivä,лымшор
599,Abend::N,ilta,ӝыт
600,Abend::N,ilta,акшан
601,Nacht::N,yö,уй
602,Woche::N,viikko,арня
603,Monat::N,kuukausi,толэзь
604,Jahr::N,vuosi,ар
605,Frühling::N,kevät,тулыс
606,Sommer::N,kesä,гужем
607,Herbst::N,syksy,сӥзьыл
608,Winter::N,talvi,тол
609,Januar::N,tammikuu,выльартолэзь
610,Februar::N,helmikuu,тулыспал
611,März::N,maaliskuu,южтолэзь
612,April::N,huhtikuu,оштолэзь
613,Mai::N,toukokuu,куартолэзь
614,Juni::N,kesäkuu,вожотолэзь
615,Juli::N,heinäkuu,пӧсьтолэзь
616,August::N,elokuu,гудырикошкон
617,September::N,syyskuu,куарусён
618,Oktober::N,lokakuu,выльӝуктолэзь
619,November::N,marraskuu,шуркынмон
620,Dezember::N,joulukuu,толсур
621,Montag::N,maanantai,вордӥськон
622,Dienstag::N,tiistai,вторник
623,Mittwoch::N,keskiviikko,вирнунал
624,Donnerstag::N,torstai,покчиарня
625,Freitag::N,perjantai,удмуртарня
626,Samstag::N,lauantai,кӧснунал
627,Sonntag::N,sunnuntai,арня
628,groß::A,iso,бадӟым
629,groß::A,suuri,бадӟым
630,klein::A,pieni,пичи
631,lang::A,pitkä,кузь
632,kurz::A,lyhyt,вакчи
633,breit::A,leveä,паськыт
634,schmal::A,kapea,сюлэг
635,dicht::A,taaja,ӵем
636,dick[Gegenstand]::A,paksu,зӧк
637,dünn::A,ohut,векчи
638,fein::A,hieno,векчи
639,fest::A,luja,юн
640,fest::A,luja,чурыт
641,flach::A,litteä,ӵошкыт
642,flach::A,tasainen,ӵошкыт
643,glatt::A,sileä,гылыт
644,glatt::A,sileä,вольыт
645,glatt::A,siloinen,гылыт
646,glatt::A,siloinen,вольыт
647,hart::A,kova,чурыт
648,weich::A,pehmeä,небыт
649,rund::A,pyöreä,котырес
650,spitz::A,terävä,йылсо
651,scharf::A,terävä,лэчыт
652,stumpf::A,tylsä,ныж
653,schwer::A,raskas,секыт
654,schwer::A,painava,секыт
655,schön::A,kaunis,чебер
656,heiß::A,kuuma,пӧсь
657,warm::A,lämmin,шуныт
658,kalt::A,kylmä,кезьыт
659,kalt::A,viluinen,кезьыт
660,kühl::A,viileä,юзмыт
661,kühl::A,viileä,салкым
662,frisch::A,tuore,выль
663,feucht::A,kostea,мускыт
664,nass::A,märkä,котмем
665,trocken::A,kuiva,кӧс
666,voll::A,täysi,тыр
667,leer::A,tyhjä,буш
668,leer::A,tyhjä,тырттэм
669,offen::A,avonainen,усьтэм
670,geschlossen::A,suljettu,ӵогам
671,geschlossen::A,suljettu,пунням
672,sauber::A,puhdas,ӝикыт
673,sauber::A,puhdas,чылкыт
674,schmutzig::A,likainen,нӧд
675,roh::A,raaka,ыль
676,reif::A,kypsä,вуэм
677,lecker::A,herkullinen,ческыт
678,süß::A,makea,ческыт
679,bitter::A,karvas,курыт
680,bitter::A,kitkerä,курыт
681,sauer::A,hapan,чырс
682,hell::A,kirkas,югыт
683,hell::A,valoisa,югыт
684,dunkel::A,pimeä,пеймыт
685,schwarz::A,musta,сьӧд
686,weiß::A,valkea,тӧдьы
687,rot::A,punainen,горд
688,gelb::A,keltainen,ӵуж
689,blau::A,sininen,лыз
690,grün::A,vihreä,вож
691,grau::A,harmaa,пурысь
692,bunt::A,kirjava,куӵо
693,billig::A,halpa,дунтэм
694,billig::A,huokea,дунтэм
695,teuer::A,kallis,дуно
696,wertvoll::A,arvokas,дуно
697,blind::A,sokea,сукыр
698,blind::A,sokea,синтэм
699,taub::A,kuuro,пельтэм
700,kräftig::A,väkevä,кужмо
701,kräftig::A,voimakas,кужмо
702,stark::A,vahva,юн
703,stark::A,vahva,кужмо
704,schwach::A,heikko,ляб
705,schwach::A,heikko,начар
706,fett::A,lihava,кӧй
707,schlank::A,hoikka,веськыт
708,schlank::A,hoikka,веськрес
709,schlank::A,solakka,веськыт
