,Concept_ID,pl,mn
511,Nadel::N,igła,зүү
512,Faden::N,nić,боолт
513,Faden::N,nić,утас
514,Faden::N,nitka,боолт
515,Faden::N,nitka,утас
516,Knopf::N,guzik,товч
517,Knoten::N,węzeł,зангилаа
518,Farbe::N,farba,будаг
519,Kleidung::N,odzież,хувцас
520,Hemd::N,koszula,цамц
521,Kragen::N,kołnierz,зах заам
522,Ärmel::N,rękaw,ханцуй
523,Hose::N,spodnie,өмд
524,Gürtel::N,pasek,бүс
525,Mütze::N,czapka,малгай
526,Mütze::N,czapka,бүрх
527,Schuh::N,but,туфли
528,Schuh::N,bucik,туфли
529,Stiefel::N,but,гутал
530,Stiefel::N,kozak,гутал
531,Ring::N,pierścień,бөгж
532,Band::N,wstęga,тууз
533,Kamm::N,grzebień,сам
534,Spiegel::N,lustro,толь
535,Riemen::N,rzemień,тасам
536,Riemen::N,rzemień,сур
537,Schnur::N,sznur,татлага
538,Leine::N,smycz,оосор
539,Decke::N,kołdra,хөнжил
540,Decke::N,kołdra,хучлага
541,Kissen::N,poduszka,дэр
542,Tuch::N,chustka,алчуур
543,Tuch::N,chustka,даавуу
544,Handtuch::N,ręcznik,алчуур
545,Kraft::N,moc,чадал
546,Kraft::N,moc,хүч
547,Kraft::N,siła,чадал
548,Kraft::N,siła,хүч
549,Stärke::N,moc,эрч
550,Stärke::N,moc,тэнхээ
551,Stärke::N,siła,эрч
552,Stärke::N,siła,тэнхээ
553,Gesundheit::N,zdrowie,бие
554,Gesundheit::N,zdrowie,эрүүл мэнд
555,Krankheit::N,choroba,эмгэг
556,Schmerz::N,ból,өвчин
557,Wunde::N,rana,шарх
558,Fieber::N,gorączka,халуун
559,Arznei::N,lekarstwo,эм
560,Brücke::N,most,гүүр
561,Brunnen::N,studnia,худаг
562,Weide::N,pastwisko,бэлчээр
563,Pfad::N,ścieżka,жим
564,Pfad::N,ścieżka,зөрөг
565,Weg::N,droga,зам
566,Weg::N,droga,харгуй
567,Straße::N,ulica,зам
568,Straße::N,ulica,харгуй
569,Dorf::N,wieś,тосгон
570,Dorf::N,wieś,гацаа
571,Stadt::N,miasto,хот
572,Brief::N,list,захидал
573,Brief::N,list,захиа
574,Buch::N,książka,ном
575,Buch::N,książka,бичиг
576,Buchstabe::N,litera,үсэг
577,Zeitung::N,gazeta,сонин
578,Zeitung::N,dziennik,сонин
579,Leben::N,życie,амь
580,Leben::N,życie,амьдрал
581,Tod::N,śmierć,үхэл
582,Grab::N,grób,булш
583,Kirche::N,kościół,сүм
584,Sünde::N,grzech,нүгэл
585,Sünde::N,grzech,хилэнц
586,Gott::N,bóg,бурхан
587,Arbeiter::N,robotnik,ажилчин
588,Arbeiter::N,robotnik,хөдөлмөрчин
589,Chef::N,szef,дарга
590,Meister::N,mistrz,дархан
591,Meister::N,majster,дархан
592,Arzt::N,lekarz,эмч
593,Lehrer::N,nauczyciel,багш
594,Geld::N,pieniądze,цаас
595,Geld::N,pieniądze,мөнгө
596,Geschäft::N,sprawa,наймаа
597,Geschäft::N,interes,наймаа
598,Laden::N,sklep,дэлгүүр
599,Preis::N,cena,үнэ
600,Ware::N,towar,таваар
601,Ware::N,towar,бараа
602,Nutzen::N,pożytek,ашиг
603,Reichtum::N,bogactwo,баялаг
604,Welt::N,świat,дэлхий
605,Welt::N,świat,орчлон
606,Land::N,kraj,улс
607,Land::N,kraj,орон
608,Staat::N,państwo,төр
609,Staat::N,państwo,гүрэн
610,König::N,król,ван
611,Macht::N,władza,засаг
612,Grenze::N,granica,хил
613,Krieg::N,wojna,дайн
614,Feind::N,wróg,дайсан
615,Gewalt::N,władza,хүчирхэх
616,Kampf::N,bój,тэмцэл
617,Kampf::N,bój,байлдаан
618,Kampf::N,walka,тэмцэл
619,Kampf::N,walka,байлдаан
620,Bogen[Waffe]::N,łuk,нум
621,Pfeil::N,strzała,годил
622,Pfeil::N,strzała,сум
623,Gewehr::N,karabin,буу
624,Fehler::N,błąd,эндэл
625,Fehler::N,błąd,алдаа
626,Lüge::N,kłamstwo,худал
627,Schaden::N,szkoda,хор
