,Concept_ID,lez,ja
359,Stuhl::N,стул,椅子
360,Wiege::N,кьеб,揺籃
361,Bett::N,тахт,ベッド
362,Regal::N,кьацӏ,棚
363,Kiste::N,ящик,箱
364,Fenster::N,дакӏар,窓
365,Tür::N,рак,戸
366,Tür::N,рак,ドア
367,Tor::N,варар,門
368,Zaun::N,пару,垣根
369,Dach::N,къав,屋根
370,Leiter::N,гурар,梯子
371,Besen::N,таран кул,ほうき
372,Spaten::N,ппер,スコップ
373,Schaufel::N,хекендаз,シャベル
374,Gabel::N,шиш,フォーク
375,Löffel::N,тӏур,スプーン
376,Messer::N,чукӏул,ナイフ
377,Nagel::N,мих,釘
378,Netz::N,чил,網
379,Haken::N,къармах,鉤
380,Haken::N,къармах,フック
381,Griff::N,ттум,取っ手
382,Schloss::N,куьлег,錠
383,Bild::N,шикил,絵
384,Bild::N,суьрет,絵
385,Figur::N,фигура,像
386,Puppe::N,нини,人形
387,Beutel::N,тагъар,袋
388,Bündel::N,галгам,束
389,Bündel::N,галгам,包み
390,Tasche::N,чанта,かばん
391,Eimer::N,ведре,バケツ
392,Deckel::N,кьил,蓋
393,Deckel::N,къалпагъ,蓋
394,Geschirr::N,къаб-къажах,食器
395,Sack::N,чувал,袋
396,Tasse::N,сукӏра,カップ
397,Topf::N,къажгъан,鍋
398,Kessel::N,къажгъан,釜
399,Essen::N,тӏуьн,食事
400,Nahrung::N,тӏуьн,食物
401,Speise::N,хуьрек,料理
402,Fleisch::N,як,肉
403,Getreide::N,техил,麦
404,Getreide::N,техил,穀物
405,Brei::N,хапӏа,粥
406,Brei::N,хешил,粥
407,Brot::N,фу,パン
408,Scheibe::N,чӏук,枚
409,Scheibe::N,чӏук,切れ
410,Fett::N,ягълу,脂肪
411,Butter::N,гъери,バター
412,Öl::N,ягълу,油
413,Salz::N,кьел,塩
414,Suppe::N,суп,スープ
415,Suppe::N,шурпа,スープ
416,Honig::N,вирт,蜂蜜
417,Milch::N,нек,牛乳
418,Tee::N,чай,茶
419,Tee::N,чай,お茶
420,Leder::N,тумаж,革
421,Wolle::N,йис,毛糸
422,Stoff::N,парча,布
423,Nadel::N,раб,針
424,Faden::N,гъал,糸
425,Knopf::N,дуьгме,ボタン
426,Knoten::N,тӏвал,結び目
427,Farbe::N,ранг,ペンキ
428,Kleidung::N,партал,衣服
