,Concept_ID,pt,sl
641,Montag::N,segunda-feira,ponedéljek
642,Dienstag::N,terça-feira,tôrek
643,Mittwoch::N,quarta-feira,sréda
644,Donnerstag::N,quinta-feira,četŕtek
645,Freitag::N,sexta-feira,pétek
646,Samstag::N,sábado,sobóta
647,Sonntag::N,domingo,nedélja
648,groß::A,grande,vêlik
649,klein::A,pequeno,májhen
650,lang::A,comprido,dólg
651,kurz::A,curto,krátek
652,breit::A,largo,širòk
653,schmal::A,estreito,ózek
654,dicht::A,denso,góst
655,dick[Gegenstand]::A,grosso,dêbel
656,dünn::A,delgado,tánek
657,fein::A,fino,drôben
658,fein::A,subtil,drôben
659,fest::A,firme,tŕden
660,fest::A,sólido,tŕden
661,flach::A,plano,plán
662,flach::A,plano,plòsk
663,glatt::A,liso,gládek
664,hart::A,duro,tŕd
665,weich::A,mole,mehák
666,rund::A,redondo,okrógel
667,spitz::A,agudo,šílast
668,scharf::A,afiado,óster
669,stumpf::A,rombo,tóp
670,stumpf::A,rombo,skŕhan
671,schwer::A,pesado,têžek
672,schön::A,belo,lép
673,schön::A,belo,krásen
674,schön::A,bonito,lép
675,schön::A,bonito,krásen
676,heiß::A,quente,vròč
677,warm::A,quente,tôpel
678,kalt::A,frio,mŕzel
679,kalt::A,frio,hláden
680,kühl::A,fresco,hláden
681,frisch::A,fresco,svéž
682,feucht::A,húmido,vlážen
683,nass::A,molhado,móker
684,trocken::A,seco,súh
685,voll::A,cheio,póln
686,leer::A,vazio,prázen
687,offen::A,aberto,odpŕt
688,geschlossen::A,fechado,zapŕt
689,sauber::A,limpo,číst
690,sauber::A,limpo,líčen
691,schmutzig::A,sujo,umázan
692,roh::A,cru,suròv
693,reif::A,maduro,zrèl
694,lecker::A,delicioso,okúsen
695,süß::A,doce,sládek
696,bitter::A,amargo,grenák
697,sauer::A,azedo,kísel
698,hell::A,claro,svetèl
699,dunkel::A,escuro,temèn
700,dunkel::A,sombrio,temèn
701,schwarz::A,preto,čŕn
702,weiß::A,branco,bél
703,rot::A,vermelho,rdèč
704,gelb::A,amarelo,žólt
705,gelb::A,amarelo,rumèn
706,blau::A,azul,móder
707,grün::A,verde,zelèn
708,grau::A,cinzento,sív
709,bunt::A,colorido,písan
710,billig::A,barato,pocéni
711,teuer::A,caro,drág
712,wertvoll::A,valioso,dragocén
713,wertvoll::A,precioso,dragocén
714,blind::A,cego,slép
715,taub::A,surdo,glúh
716,kräftig::A,forte,močán
717,kräftig::A,poderoso,močán
718,stark::A,forte,ják
719,stark::A,robusto,ják
720,schwach::A,débil,šíbek
721,fett::A,gordo,dêbel
722,schlank::A,esbelto,vítek
723,hübsch::A,giro,lép
724,hübsch::A,bonito,lép
725,böse::A,mau,zèl
726,böse::A,mau,hudôben
727,dumm::A,parvo,glúp
728,dumm::A,parvo,bédast
729,dumm::A,estúpido,glúp
730,dumm::A,estúpido,bédast
731,faul::A,preguiçoso,lén
732,fleißig::A,aplicado,marljív
733,fleißig::A,diligente,marljív
734,geizig::A,avarento,škŕt
735,klug::A,prudente,pámeten
736,klug::A,inteligente,pámeten
737,geschickt::A,hábil,spréten
738,lieb::A,caro,míl
739,lieb::A,caro,ljúb
740,lieb::A,querido,míl
741,lieb::A,querido,ljúb
742,lustig::A,alegre,vesél
743,sanft::A,suave,láhek
744,sanft::A,brando,láhek
745,hungrig::A,faminto,láčen
746,krank::A,doente,bolán
747,krank::A,enfermo,bolán
748,nackt::A,nu,nág
749,nackt::A,despido,nág
750,traurig::A,triste,túžen
751,lebendig::A,vivo,žív
752,gut::A,bom,dóber
753,schlecht::A,mau,malopríden
754,schlecht::A,ruim,malopríden
755,richtig::A,justo,pravílen
756,richtig::A,correcto,pravílen
757,schlimm::A,mau,húd
758,schlimm::A,grave,húd
759,wahr::A,verdadeiro,resníčen
760,alt::A,velho,stàr
761,alt::A,antigo,stàr
762,neu::A,novo,nòv
763,ehemalig::A,antigo,nekdánji
764,alt[Lebewesen]::A,velho,stàr
765,jung::A,jovem,mlád
766,arm::A,pobre,ubóg
767,arm::A,pobre,réven
768,reich::A,rico,bogàt
769,bekannt::A,conhecido,znán
770,berühmt::A,famoso,sláven
771,berühmt::A,famoso,znamenít
772,berühmt::A,célebre,sláven
773,berühmt::A,célebre,znamenít
774,fremd::A,alheio,túj
775,fremd::A,estranho,túj
776,verschieden::A,diverso,razlíčen
777,verschieden::A,diferente,razlíčen
778,nah::A,próximo,blížnji
779,fern::A,remoto,dáleč
780,fern::A,distante,dáleč
781,linker::A,esquerdo,lévi
782,rechter::A,direito,désni
783,anderer::A,outro,drúgi
784,erster::A,primeiro,pŕvi
785,zweiter::A,segundo,drúgi
786,dritter::A,terceiro,trétji
787,letzter::A,final,poslédnji
788,letzter::A,último,poslédnji
789,allein::ADV,só,sám
790,auf einmal::ADV,de vez,obênem
791,zusammen::ADV,juntos,skúpaj
792,lange::ADV,muito tempo,dólgo
793,plötzlich::ADV,de repente,náglo
794,plötzlich::ADV,de repente,nenádoma
795,sofort::ADV,imediatamente,prècej
796,später::ADV,mais tarde,poznêje
797,jetzt::ADV,agora,zdàj
798,heute::ADV,hoje,dánes
799,morgen::ADV,amanhã,jútri
800,bald::ADV,logo,kmálu
801,bald::ADV,breve,kmálu
802,dann::ADV,então,nató
803,dann::ADV,depois,nató
804,gestern::ADV,ontem,včéraj
805,einst::ADV,antigamente,nékdaj
806,damals::ADV,então,tedàj
807,damals::ADV,então,takràt
808,danach::ADV,logo,potèm
809,danach::ADV,depois,potèm
810,vorher::ADV,antes,poprèj
811,zuerst::ADV,primeiro,spŕva
812,einmal::ADV,uma vez,ênkrat
813,manchmal::ADV,às vezes,včásih
814,oft::ADV,muitas vezes,pogósto
815,immer::ADV,sempre,védno
816,immer::ADV,sempre,zméraj
817,niemals::ADV,nunca,nikdàr
818,hier::ADV,cá,tù
819,hier::ADV,cá,túkaj
820,hier::ADV,aqui,tù
821,hier::ADV,aqui,túkaj
822,hierhin::ADV,para cá,sèmkaj
823,von hier::ADV,daqui,od tú
824,dort::ADV,lá,tàm
825,dort::ADV,ali,tàm
826,dorthin::ADV,lá,tjà
827,dorthin::ADV,para lá,tjà
828,geradeaus::ADV,em frente,rávno napréj
829,vorwärts::ADV,avante,napréj
830,rückwärts::ADV,para trás,zádaj
831,zurück::ADV,atrás,nazáj
