,Concept_ID,bg,pt
1060,blasen::V,духна,soprar
1061,pfeifen::V,свиря,assobiar
1062,schreien::V,крещя,gritar
1063,stöhnen::V,стена,gemer
1064,stöhnen::V,пъшкам,gemer
1065,zittern::V,треперя,tremer
1066,leben::V,живея,viver
1067,geboren werden::V,родя се,nascer
1068,atmen::V,дишам,respirar
1069,trinken::V,пия,beber
1070,essen::V,ям,comer
1071,schlucken::V,гълтам,engolir
1072,müde werden::V,уморя се,cansar-se
1073,einschlafen::V,заспя,adormecer
1074,schlafen::V,спя,dormir
1075,aufwachen::V,събудя се,acordar
1076,aufstehen::V,стана,levantar-se
1077,sich erholen::V,отдъхвам си,descansar
1078,krank werden::V,заболея,adoecer
1079,krank werden::V,заболея,ficar doente
1080,krank sein::V,боледувам,estar doente
1081,schmerzen::V,боля,doer
1082,husten::V,кашлям,tossir
1083,genesen::V,оздравея,convalescer
1084,sterben::V,умра,morrer
1085,umkommen::V,загина,perecer
1086,sich bewegen::V,движа се,mover-se
1087,sich bewegen::V,мърдам се,mover-se
1088,sich rühren::V,движа се,mexer-se
1089,sich erheben::V,стана,levantar-se
1090,sich setzen::V,седна,sentar-se
1091,hinfallen::V,падна,cair
1092,laufen::V,ходя,andar
1093,laufen::V,ходя,caminhar
1094,schreiten::V,крача,andar
1095,schreiten::V,крача,caminhar
1096,spazierengehen::V,разхождам се,passear
1097,eilen::V,бързам,apressar-se
1098,sich beeilen::V,побързам,apressar-se
1099,sich beeilen::V,побързам,despachar-se
1100,sausen::V,тичам,correr
1101,rennen::V,бягам,correr
1102,springen::V,скачам,saltar
1103,klettern::V,катеря се,trepar
1104,schaukeln::V,люлея се,baloiçar
1105,kriechen::V,лазя,rastejar
1106,kriechen::V,лазя,arrastar-se
1107,kriechen::V,пълзя,rastejar
1108,kriechen::V,пълзя,arrastar-se
1109,schwimmen::V,плувам,nadar
1110,tauchen::V,гмуркам се,mergulhar
1111,rudern::V,греба,remar
1112,fahren::V,пътувам,ir
1113,fliegen::V,летя,voar
1114,fliegen::V,хвърча,voar
1115,gehen::V,ида,ir
1116,gehen::V,ида,andar
1117,gehen::V,вървя,ir
1118,gehen::V,вървя,andar
1119,weggehen::V,отида си,partir
1120,weggehen::V,отида си,ir-se embora
1121,abfahren::V,отпътувам,sair
1122,abfahren::V,отпътувам,partir
1123,anhalten::V,спра се,parar
1124,hineingehen::V,влизам,entrar
1125,eintreten::V,вляза,entrar
1126,kommen::V,ида,vir
1127,kommen::V,дойда,vir
1128,ankommen::V,пристигна,chegar
1129,zurückkommen::V,върна се,voltar
1130,zurückkommen::V,върна се,regressar
1131,bleiben::V,остана,ficar
1132,bleiben::V,остана,permanecer
1133,warten::V,чакам,esperar
1134,erwarten::V,очаквам,esperar
1135,erwarten::V,очаквам,aguardar
1136,suchen::V,търся,buscar
1137,suchen::V,търся,procurar
1138,finden::V,намеря,achar
1139,finden::V,намеря,encontrar
1140,versuchen::V,опитам,tentar
1141,vorbereiten::V,подготвя,preparar
1142,lieben::V,любя,amar
1143,lieben::V,любя,querer
1144,mögen::V,обичам,gostar de
1145,lachen::V,смея се,rir
1146,lachen::V,смея се,rir-se
1147,rühren::V,трогна,comover
1148,weinen::V,плача,chorar
1149,schimpfen::V,ругая,ralhar
1150,schimpfen::V,псувам,ralhar
1151,sich ärgern::V,ядосам се,zangar-se
1152,sich fürchten::V,боя се,ter medo de
1153,sich fürchten::V,боя се,ter receio de
1154,sich fürchten::V,страхувам се,ter medo de
1155,sich fürchten::V,страхувам се,ter receio de
1156,fürchten::V,боя се от,temer
1157,fürchten::V,боя се от,recear
1158,fürchten::V,страхувам се от,temer
1159,fürchten::V,страхувам се от,recear
