,Concept_ID,cs,it
542,Fieber::N,horečka,febbre
543,Arznei::N,lék,fàrmaco
544,Arznei::N,lék,medicina
545,Brücke::N,most,ponte
546,Brunnen::N,studna,pozzo
547,Weide::N,pastva,pàscolo
548,Weide::N,pastvina,pàscolo
549,Pfad::N,pěšina,sentiero
550,Weg::N,cesta,via
551,Weg::N,cesta,cammino
552,Straße::N,silnice,strada
553,Dorf::N,vesnice,paese
554,Dorf::N,vesnice,villaggio
555,Stadt::N,město,città
556,Brief::N,dopis,lèttera
557,Buch::N,kniha,libro
558,Buchstabe::N,písmeno,lèttera
559,Zeitung::N,noviny,giornale
560,Leben::N,život,vita
561,Tod::N,smrt,morte
562,Grab::N,hrob,tomba
563,Grab::N,hrob,sepolcro
564,Kirche::N,kostel,chiesa
565,Sünde::N,hřích,peccato
566,Gott::N,bůh,dio
567,Arbeiter::N,dělník,operaio
568,Arbeiter::N,dělník,lavoratore
569,Arbeiter::N,pracovník,operaio
570,Arbeiter::N,pracovník,lavoratore
571,Chef::N,šéf,capo
572,Chef::N,šéf,padrone
573,Chef::N,vedoucí,capo
574,Chef::N,vedoucí,padrone
575,Meister::N,mistr,mastro
576,Meister::N,mistr,maestro
577,Arzt::N,lékař,mèdico
578,Arzt::N,lékař,dottore
579,Lehrer::N,učitel,professore
580,Geld::N,peníze,soldi
581,Geld::N,peníze,denaro
582,Geschäft::N,obchod,affare
583,Geschäft::N,obchod,negozio
584,Laden::N,krám,negozio
585,Preis::N,cena,prezzo
586,Ware::N,zboží,merce
587,Nutzen::N,užitek,ùtile
588,Nutzen::N,užitek,profitto
589,Reichtum::N,bohatství,ricchezza
590,Welt::N,svět,mondo
591,Land::N,země,paese
592,Staat::N,stát,Stato
593,König::N,král,re
594,Macht::N,moc,potere
595,Macht::N,mocnost,potere
596,Grenze::N,hranice,confine
597,Grenze::N,hranice,frontiera
598,Krieg::N,válka,guerra
599,Feind::N,nepřítel,nemico
600,Gewalt::N,násilí,violenza
601,Kampf::N,boj,lotta
602,Bogen[Waffe]::N,luk,arco
603,Pfeil::N,šíp,freccia
604,Gewehr::N,puška,fucile
605,Gewehr::N,ručnice,fucile
606,Fehler::N,chyba,errore
607,Fehler::N,chyba,sbaglio
608,Lüge::N,lež,bugìa
609,Lüge::N,lež,menzogna
610,Schaden::N,škoda,danno
611,Unglück::N,neštěstí,sfortuna
612,Schuld::N,vina,colpa
613,Alter::N,věk,età
614,Schluss::N,konec,fine
615,Zeit::N,čas,tempo
616,Tag::N,den,giorno
617,Tag::N,den,giornata
618,Morgen::N,ráno,mattina
619,Morgen::N,jitro,mattina
620,Mittag::N,poledne,mezzogiorno
621,Abend::N,večer,sera
622,Abend::N,večer,serata
623,Nacht::N,noc,notte
624,Woche::N,týden,settimana
625,Monat::N,měsíc,mese
626,Jahr::N,rok,anno
627,Frühling::N,jaro,primavera
628,Sommer::N,léto,estate
629,Herbst::N,podzim,autunno
630,Winter::N,zima,inverno
631,Januar::N,leden,gennaio
632,Februar::N,únor,febbraio
633,März::N,březen,marzo
634,April::N,duben,aprile
635,Mai::N,květen,maggio
636,Juni::N,červen,giugno
637,Juli::N,červenec,luglio
638,August::N,srpen,agosto
639,September::N,září,settembre
640,Oktober::N,říjen,ottobre
641,November::N,listopad,novembre
642,Dezember::N,prosinec,dicembre
643,Montag::N,pondělí,lunedì
644,Montag::N,pondělek,lunedì
645,Dienstag::N,úterý,martedì
646,Mittwoch::N,středa,mercoledì
647,Donnerstag::N,čtvrtek,giovedì
648,Freitag::N,pátek,venerdì
649,Samstag::N,sobota,sàbato
650,Sonntag::N,neděle,domenica
651,groß::A,velký,grande
652,klein::A,malý,pìccolo
653,lang::A,dlouhý,lungo
654,kurz::A,krátký,corto
655,breit::A,široký,largo
656,schmal::A,úzký,stretto
657,dicht::A,hustý,denso
658,dick[Gegenstand]::A,tlustý,spesso
659,dünn::A,tenký,sottile
660,fein::A,jemný,fine
661,fein::A,jemný,delicato
662,fest::A,pevný,sodo
663,fest::A,pevný,fisso
664,flach::A,plochý,piano
665,flach::A,plochý,piatto
666,flach::A,placatý,piano
667,flach::A,placatý,piatto
668,glatt::A,hladký,liscio
669,hart::A,tvrdý,duro
670,weich::A,měkký,molle
671,rund::A,kulatý,rotondo
672,rund::A,okrouhlý,rotondo
673,spitz::A,špičatý,aguzzo
674,spitz::A,špičatý,appuntito
675,scharf::A,ostrý,affilato
676,scharf::A,ostrý,tagliente
