,Concept_ID,kn,el
303,Platz::N,ಅಂತರ,χώρος
304,Ort::N,ಸ್ಥಳ,τόπος
305,Seite::N,ಪಕ್ಷ,πλευρά
306,Mitte::N,ನಡು,μέση
307,Gegenstand::N,ವಸ್ತು,αντικείμενο
308,Sache::N,ವಸ್ತು,πράγμα
309,Rand::N,ಅಂಚು,άκρη
310,Rand::N,ಅಂಚು,χείλος
311,Kante::N,ಅಂಚು,άκρη
312,Ecke::N,ಮೂಲೆ,γωνιά
313,Spitze::N,ತುದಿ,μύτη
314,Ende::N,ಕೊನೆ,άκρη
315,Loch::N,ತೂತು,τρύπα
316,Winkel::N,ಕೋನ,γωνία
317,Muster::N,ನಮೂನೆ,σχέδιο
318,Größe::N,ಪ್ರಮಾಣ,μέγεθος
319,Länge::N,ಉದ್ದ,μήκος
320,Höhe::N,ಎತ್ತರ,ύψος
321,Gewicht::N,ತೂಕ,βάρος
322,Menge::N,ಮೊತ್ತ,ποσότητα
323,Haufen::N,ರಾಶಿ,σωρός
324,Reihe::N,ಸಾಲು,αράδα
325,Boot::N,ದೋಣಿ,βάρκα
326,Ruder::N,ಹುಟ್ಟು,κουπί
327,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,έλκηθρο
328,Ski::N,ಜಾರುಪಟ್ಟಿ,σκι
329,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,φωτιά
330,Last::N,ಹೊರೆ,φορτίο
331,Gang::N,ತಿರುಗಾಟ,δρόμος
332,Schritt::N,ಹೆಜ್ಜೆ,βήμα
333,Norden::N,ಉತ್ತರ,βορράς
334,Süden::N,ದಕ್ಷಿಣ,νότος
335,Westen::N,ಪಶ್ಚಿಮ,δύση
336,Osten::N,ಮೂಡಲು,ανατολή
337,Holz::N,ಚೌಬೀನೆ,ξύλο
338,Brett::N,ಹಲಗೆ,σανίδι
339,Platte::N,ಹಲಗೆ,πλάκα
340,Stütze::N,ಆಸರೆ,στήριγμα
341,Stange::N,ಕಂಬ,ραβδί
342,Stange::N,ಕಂಬ,κοντός
343,Stock::N,ಕೋಲು,ξύλο
344,Stock::N,ಕೋಲು,μπαστούνι
345,Stab::N,ದೊಣ್ಣೆ,ραβδί
346,Rohr::N,ನಳಿಕೆ,σωλήνας
347,Haus::N,ಮನೆ,σπίτι
348,Heim::N,ಗೃಹ,σπίτι
349,Ofen::N,ಒಲೆ,σόμπα
350,Ofen::N,ಒಲೆ,θερμάστρα
351,Fußboden::N,ನೆಲ,πάτωμα
352,Tisch::N,ಮೇಜು,τραπέζι
353,Stuhl::N,ಕುರ್ಚಿ,καρέκλα
