,Concept_ID,sl,mrj
729,zusammen::ADV,skúpaj,икараш
730,zusammen::ADV,skúpaj,цымырын
731,lange::ADV,dólgo,кужын
732,plötzlich::ADV,náglo,трӱк
733,plötzlich::ADV,nenádoma,трӱк
734,sofort::ADV,prècej,полт
735,sofort::ADV,prècej,тöрöк
736,sofort::ADV,prècej,тӹшӓкок
737,später::ADV,poznêje,вара
738,jetzt::ADV,zdàj,
739,heute::ADV,dánes,тагачы
740,morgen::ADV,jútri,иргод
741,morgen::ADV,jútri,иргодым
742,bald::ADV,kmálu,чӹнь
743,bald::ADV,kmálu,вӓшке
744,bald::ADV,kmálu,выртышты
745,dann::ADV,nató,пакыла
746,gestern::ADV,včéraj,тенгечӹ
747,einst::ADV,nékdaj,икӓнӓ
748,damals::ADV,tedàj,тӹнӓм
749,damals::ADV,takràt,тӹнӓм
