,Concept_ID,mn,ta
371,Osten::N,зүүн,கிழக்கு
372,Osten::N,дорно,கிழக்கு
373,Holz::N,мод,மரக்கட்டை
374,Brett::N,банз,பலகை
375,Platte::N,хавтан,பலகம்
376,Stütze::N,тулгуур,அடைப்புகன்
377,Stütze::N,тулга,அடைப்புகன்
378,Stange::N,сургааг,கம்பம்
379,Stock::N,саваа,குச்சி
380,Stab::N,таяг,கம்பு
381,Rohr::N,хоолой,குழாய்
382,Haus::N,гэр,வீடு
383,Haus::N,байшин,வீடு
384,Heim::N,гэр,வீடு
385,Ofen::N,зуух,அடுப்பு
386,Ofen::N,пийшин,அடுப்பு
387,Fußboden::N,шал,தரை
388,Tisch::N,ширээ,மேசை
389,Stuhl::N,сандал,நாற்காலி
390,Wiege::N,өлгий,தொட்டில்
391,Bett::N,ор,படுக்கை
392,Regal::N,тавиур,அலமாரி
393,Kiste::N,авдар,பெட்டி
394,Kiste::N,хайрцаг,பெட்டி
395,Fenster::N,гэгээвч,சாளரம்
396,Tür::N,үүд,கதவு
397,Tür::N,хаалга,கதவு
398,Tor::N,хаалга,வாசற்கதவு
399,Zaun::N,хашаа,வேலி
400,Dach::N,дээвэр,கூரை
401,Leiter::N,шат,ஏணி
402,Besen::N,хамуур,விளக்குமாறு
403,Besen::N,туужуу,விளக்குமாறு
404,Spaten::N,хүрз,மண்வெட்டி
405,Schaufel::N,хүрз,அடிதண்டா
406,Gabel::N,сэрээ,முட்கரண்டி
407,Löffel::N,халбага,கரண்டி
408,Messer::N,хутга,கத்தி
409,Nagel::N,хадаас,ஆணி
410,Netz::N,өөш,வலை
411,Netz::N,тор,வலை
412,Haken::N,гох,கொக்கி
413,Griff::N,иш,கைப்பிடி
414,Griff::N,сэнж,கைப்பிடி
415,Schloss::N,цуурга,பூட்டு
416,Schloss::N,цоож,பூட்டு
417,Bild::N,зураг,படம்
418,Figur::N,баримал,எண்ணிக்கை
419,Puppe::N,хүүхэлдэй,பொம்மை
420,Beutel::N,агсаа,பை
421,Beutel::N,уут,பை
422,Bündel::N,боодол,பொதி
423,Tasche::N,цүнх,பை
424,Eimer::N,хөнөг,வாளி
425,Eimer::N,хувин,வாளி
426,Deckel::N,таг,உறை
427,Deckel::N,хавхаг,உறை
428,Geschirr::N,сав суулга,பாத்திரம்
429,Sack::N,шуудай,பை
430,Tasse::N,аяга,கிண்ணம்
431,Topf::N,тогоо,பானை
432,Kessel::N,тогоо,கெண்டி
433,Essen::N,идээ,உணவருந்துதல்
434,Nahrung::N,хүнс,உணவு
435,Speise::N,идээ,உணவு வகை
436,Fleisch::N,мах,இறைச்சி
437,Getreide::N,будаа,மக்காச்சோளம்
438,Brei::N,богшмол,கஞ்சி
439,Brei::N,будаа,கஞ்சி
440,Brot::N,талх,ரொட்டி
441,Scheibe::N,зүсэм,துண்டு
442,Scheibe::N,хэрчим,துண்டு
443,Fett::N,өөх,கொழுப்பு
444,Butter::N,тос,வெண்ணெய்
445,Öl::N,тос,எண்ணெய்
446,Salz::N,давс,உப்பு
447,Suppe::N,шөл,ரசம்
448,Honig::N,бал,தேன்
449,Milch::N,сүү,பால்
450,Tee::N,цай,தெனீர்
451,Leder::N,арьс,பதம் செய்யப்பட்ட தோல்
452,Leder::N,савхи,பதம் செய்யப்பட்ட தோல்
453,Wolle::N,ноос,கம்பளி
454,Wolle::N,унгас,கம்பளி
