,Concept_ID,mhr,ga
403,Schritt::N,о́шкыл,coiscéim
404,Norden::N,йӱдйыма́л,tuaisceart
405,Süden::N,кечывалве́л,deisceart
406,Westen::N,касве́л,iarthar
407,Osten::N,эрве́л,oirthear
408,Holz::N,пу,adhmad
409,Brett::N,оҥа́,clár
410,Platte::N,аста́р,leac
411,Stütze::N,чара́к,taca
412,Stange::N,лома́ш,polla
413,Stange::N,лома́ш,cuaille
414,Stock::N,тоя́,bata
415,Stock::N,тоя́,maide
416,Stab::N,вара́,maide
417,Stab::N,вара́,bachall
418,Stab::N,кашта́,maide
419,Stab::N,кашта́,bachall
420,Rohr::N,пуч,píopa
421,Haus::N,пӧрт,teach
422,Heim::N,мӧ́ҥгӧ,baile
423,Ofen::N,комака́,sornóg
424,Fußboden::N,кӱва́р,urlár
425,Tisch::N,ӱсте́л,bord
426,Tisch::N,ӱсте́л,tábla
427,Stuhl::N,пӱке́н,cathaoir
428,Wiege::N,шепка́,cliabhán
429,Bett::N,ва́кшыш,leaba
430,Regal::N,шӧ́рлык,seilf
431,Kiste::N,шо́ндык,bosca
432,Kiste::N,я́шлык,bosca
433,Fenster::N,окна́,fuinneoig
434,Tür::N,омса́,doras
435,Tor::N,капка́,geata
436,Zaun::N,сава́р,fál
437,Zaun::N,сава́р,claí
438,Dach::N,леве́дыш,díon
439,Leiter::N,тошка́лтыш,dréimire
440,Besen::N,ӱштерво́штыр,scuab
441,Spaten::N,ко́льмо,spád
442,Spaten::N,ко́льмо,rámhainn
443,Schaufel::N,сово́к,sluasaid
444,Schaufel::N,су́ско,sluasaid
445,Gabel::N,ви́лке,forc
446,Gabel::N,ви́лке,gabhlóg
447,Löffel::N,па́не,spúnóg
448,Löffel::N,совла́,spúnóg
449,Messer::N,кӱ́зӧ,scian
450,Nagel::N,пуда́,tairne
451,Netz::N,вапш,líon
452,Netz::N,вапш,eangach
453,Haken::N,са́гыле,croch
454,Griff::N,кыл,cos
455,Griff::N,кыл,hanla
456,Schloss::N,кӧгӧ́н,glas
457,Bild::N,сӱре́т,pictiúr
458,Figur::N,фигу́р,fíor
459,Puppe::N,курча́к,bábóg
460,Beutel::N,меша́к,mála
461,Beutel::N,меша́к,mealbhóg
462,Bündel::N,арша́ш,beart
463,Tasche::N,сумка́,mála
464,Eimer::N,ведра́,buicéad
465,Deckel::N,ко́мдыш,clár
466,Deckel::N,ко́мдыш,claibín
467,Geschirr::N,а́те,soithí
468,Geschirr::N,а́те,gréithe
469,Sack::N,куль,sac
470,Sack::N,куль,mála
471,Sack::N,меша́к,sac
472,Sack::N,меша́к,mála
473,Tasse::N,чу́кыр,cupán
474,Tasse::N,чашка́,cupán
475,Topf::N,ми́ске,pota
476,Kessel::N,под,citeal
477,Essen::N,ко́чкыш,béile
478,Nahrung::N,ку́рго,bia
479,Speise::N,ко́чкыш,mias
480,Fleisch::N,шыл,feoil
481,Getreide::N,шу́рно,grán
482,Getreide::N,шу́рно,arbhar
483,Brei::N,пу́чымыш,brúitín
484,Brot::N,ки́нде,arán
485,Scheibe::N,ка́тыш,píosa
486,Scheibe::N,ка́тыш,slisne
487,Fett::N,коя́,saill
488,Fett::N,коя́,méathras
489,Butter::N,ӱй,im
490,Öl::N,ӱй,ola
491,Salz::N,шинча́л,salann
492,Suppe::N,шӱр,sú
493,Suppe::N,шӱр,anraith
494,Honig::N,мӱй,mil
495,Milch::N,шӧр,bainne
496,Tee::N,чай,tae
497,Leder::N,сура́н,leathar
498,Leder::N,шӱ́штӧ,leathar
499,Wolle::N,пун,olann
500,Stoff::N,куэ́м,éadach
501,Stoff::N,посто́,éadach
502,Nadel::N,и́ме,snáthaid
503,Faden::N,шӱ́ртӧ,snáth
504,Knopf::N,по́лдыш,cnaipe
505,Knoten::N,пышке́м,snaidhm
506,Farbe::N,чия́,péint
507,Kleidung::N,чие́м,éadaí
508,Kleidung::N,вурге́м,éadaí
509,Hemd::N,ту́выр,léine
510,Kragen::N,сога́,bóna
511,Ärmel::N,шокш,muinchille
512,Hose::N,йола́ш,bríste
513,Hose::N,йола́ш,treabhsar
514,Gürtel::N,ӱ́штӧ,crios
515,Mütze::N,упш,caipín
516,Schuh::N,боти́нке,bróg
517,Stiefel::N,кем,buatais
518,Ring::N,шерга́ш,fáinne
519,Band::N,тасма́,ribín
520,Band::N,ле́нте,ribín
521,Kamm::N,шерге́,cíor
522,Spiegel::N,вошто́нчыш,scáthán
