,Concept_ID,no,sl
519,Lehrer::N,lærer,učítelj
520,Geld::N,penger,denár
521,Geschäft::N,forretning,kupčíja
522,Laden::N,butikk,trgovína
523,Preis::N,pris,céna
524,Ware::N,vare,róba
525,Nutzen::N,nytte,príd
526,Reichtum::N,rikdom,bogástvo
527,Welt::N,verden,svét
528,Land::N,land,dežêla
529,Staat::N,stat,držáva
530,König::N,konge,králj
531,Macht::N,makt,oblást
532,Grenze::N,grense,mêja
533,Krieg::N,krig,vôjna
534,Feind::N,fiende,sovrážnik
535,Gewalt::N,vold,nasílje
536,Kampf::N,kamp,bòj
537,Kampf::N,kamp,bórba
538,Bogen[Waffe]::N,bue,lók
539,Pfeil::N,pil,puščíca
540,Gewehr::N,gevær,púška
541,Fehler::N,feil,zmóta
542,Lüge::N,løgn,láž
543,Schaden::N,skade,okvára
544,Unglück::N,uhell,nesréča
545,Schuld::N,skyld,krívda
546,Alter::N,alder,dôba
547,Schluss::N,slutt,kônec
548,Zeit::N,tid,čàs
549,Tag::N,dag,dán
550,Morgen::N,morgen,jútro
551,Mittag::N,middag,póldan
552,Abend::N,aften,večér
553,Nacht::N,natt,nóč
554,Woche::N,uke,téden
555,Monat::N,måned,mésec
556,Jahr::N,år,léto
557,Frühling::N,vår,pomlád
558,Sommer::N,sommer,polétje
559,Herbst::N,høst,jesén
560,Winter::N,vinter,zíma
561,Januar::N,januar,jánuar
562,Februar::N,februar,fébruar
563,März::N,mars,márec
564,April::N,april,apríl
565,Mai::N,mai,máj
566,Juni::N,juni,júnij
567,Juli::N,juli,júlij
568,August::N,august,avgúst
569,September::N,september,septêmber
570,Oktober::N,oktober,október
571,November::N,november,novêmber
572,Dezember::N,desember,decémber
573,Montag::N,mandag,ponedéljek
574,Dienstag::N,tirsdag,tôrek
575,Mittwoch::N,onsdag,sréda
576,Donnerstag::N,torsdag,četŕtek
577,Freitag::N,fredag,pétek
578,Samstag::N,lørdag,sobóta
579,Sonntag::N,søndag,nedélja
580,groß::A,stor,vêlik
581,klein::A,liten,májhen
582,lang::A,lang,dólg
583,kurz::A,kort,krátek
584,breit::A,bred,širòk
585,schmal::A,smal,ózek
586,dicht::A,tett,góst
587,dick[Gegenstand]::A,tykk,dêbel
588,dünn::A,tynn,tánek
589,fein::A,fin,drôben
590,fest::A,fast,tŕden
591,flach::A,flat,plán
592,flach::A,flat,plòsk
593,glatt::A,glatt,gládek
594,hart::A,hard,tŕd
595,weich::A,myk,mehák
596,weich::A,bløt,mehák
597,rund::A,rund,okrógel
598,spitz::A,spiss,šílast
599,scharf::A,kvass,óster
600,stumpf::A,stubb,tóp
601,stumpf::A,stubb,skŕhan
602,schwer::A,tung,têžek
603,schön::A,pen,lép
604,schön::A,pen,krásen
605,schön::A,vakker,lép
606,schön::A,vakker,krásen
607,heiß::A,het,vròč
608,warm::A,varm,tôpel
609,kalt::A,kald,mŕzel
610,kalt::A,kald,hláden
611,kühl::A,kjølig,hláden
612,frisch::A,fersk,svéž
613,feucht::A,fuktig,vlážen
614,nass::A,våt,móker
615,trocken::A,tørr,súh
616,voll::A,full,póln
617,leer::A,tom,prázen
618,offen::A,åpen,odpŕt
619,geschlossen::A,lukket,zapŕt
620,sauber::A,ren,číst
621,sauber::A,ren,líčen
622,schmutzig::A,skitten,umázan
623,roh::A,rå,suròv
624,reif::A,moden,zrèl
625,lecker::A,lekker,okúsen
626,süß::A,søt,sládek
627,bitter::A,besk,grenák
628,bitter::A,bitter,grenák
629,sauer::A,sur,kísel
630,hell::A,lys,svetèl
631,dunkel::A,mørk,temèn
632,schwarz::A,svart,čŕn
633,weiß::A,hvit,bél
634,rot::A,rød,rdèč
635,gelb::A,gul,žólt
636,gelb::A,gul,rumèn
637,blau::A,blå,móder
638,grün::A,grønn,zelèn
639,grau::A,grå,sív
640,bunt::A,broket,písan
641,billig::A,billig,pocéni
642,teuer::A,dyr,drág
643,wertvoll::A,verdifull,dragocén
644,blind::A,blind,slép
645,taub::A,døv,glúh
646,kräftig::A,kraftig,močán
647,stark::A,sterk,ják
648,schwach::A,svak,šíbek
649,fett::A,fet,dêbel
650,schlank::A,slank,vítek
651,hübsch::A,pen,lép
652,böse::A,slem,zèl
653,böse::A,slem,hudôben
654,dumm::A,dum,glúp
655,dumm::A,dum,bédast
656,faul::A,lat,lén
657,faul::A,doven,lén
658,fleißig::A,flittig,marljív
659,geizig::A,gjerrig,škŕt
660,klug::A,klok,pámeten
661,geschickt::A,hendig,spréten
662,geschickt::A,skikket,spréten
663,lieb::A,kjær,míl
664,lieb::A,kjær,ljúb
665,lieb::A,snill,míl
666,lieb::A,snill,ljúb
667,lustig::A,morsom,vesél
668,sanft::A,blid,láhek
669,hungrig::A,sulten,láčen
670,krank::A,syk,bolán
671,nackt::A,naken,nág
672,traurig::A,sørgmodig,túžen
673,lebendig::A,levende,žív
674,gut::A,god,dóber
675,schlecht::A,dårlig,malopríden
676,richtig::A,riktig,pravílen
677,schlimm::A,slem,húd
678,wahr::A,sann,resníčen
679,alt::A,gammel,stàr
680,neu::A,ny,nòv
681,ehemalig::A,forhenværende,nekdánji
682,alt[Lebewesen]::A,gammel,stàr
683,jung::A,ung,mlád
684,arm::A,fattig,ubóg
685,arm::A,fattig,réven
686,reich::A,rik,bogàt
687,bekannt::A,kjent,znán
688,berühmt::A,berømt,sláven
689,berühmt::A,berømt,znamenít
690,fremd::A,fremmed,túj
691,verschieden::A,forskjellig,razlíčen
692,nah::A,nær,blížnji
693,fern::A,fjern,dáleč
694,linker::A,venstre,lévi
695,rechter::A,høyre,désni
696,anderer::A,annen,drúgi
697,erster::A,første,pŕvi
698,zweiter::A,annen,drúgi
699,dritter::A,tredje,trétji
700,letzter::A,sist,poslédnji
701,allein::ADV,alene,sám
702,auf einmal::ADV,med ett,obênem
703,zusammen::ADV,sammen,skúpaj
704,lange::ADV,lenge,dólgo
705,plötzlich::ADV,plutselig,náglo
706,plötzlich::ADV,plutselig,nenádoma
707,sofort::ADV,straks,prècej
708,später::ADV,senere,poznêje
709,jetzt::ADV,nå,zdàj
710,heute::ADV,i dag,dánes
711,morgen::ADV,i morgen,jútri
712,bald::ADV,snart,kmálu
713,dann::ADV,så,nató
714,gestern::ADV,i går,včéraj
715,einst::ADV,engang,nékdaj
716,damals::ADV,den gang,tedàj
717,damals::ADV,den gang,takràt
718,danach::ADV,deretter,potèm
719,vorher::ADV,før,poprèj
720,vorher::ADV,i forveien,poprèj
721,zuerst::ADV,først,spŕva
722,einmal::ADV,en gang,ênkrat
723,manchmal::ADV,somme tider,včásih
724,oft::ADV,ofte,pogósto
725,immer::ADV,alltid,védno
726,immer::ADV,alltid,zméraj
727,niemals::ADV,aldri,nikdàr
728,hier::ADV,her,tù
729,hier::ADV,her,túkaj
730,hierhin::ADV,hit,sèmkaj
731,von hier::ADV,herfra,od tú
732,dort::ADV,der,tàm
733,dorthin::ADV,dit,tjà
734,geradeaus::ADV,rett fram,rávno napréj
735,vorwärts::ADV,fram,napréj
736,vorwärts::ADV,framover,napréj
737,rückwärts::ADV,baklengs,zádaj
738,zurück::ADV,tilbake,nazáj
739,unten::ADV,nede,dôli
740,unten::ADV,nede,spôdaj
741,hinab::ADV,ned,dôl
742,hinab::ADV,nedover,dôl
743,oben::ADV,oppe,gôri
744,oben::ADV,oppe,zgôraj
745,oben::ADV,ovenpå,gôri
746,oben::ADV,ovenpå,zgôraj
747,hinauf::ADV,opp,gôr
748,hinauf::ADV,oppover,gôr
749,überall::ADV,overalt,povsód
750,nicht::ADV,ikke,ne
751,ein wenig::ADV,litt,málo
752,kaum::ADV,neppe,kómaj
753,sehr::ADV,svært,zeló
754,so::ADV,så,takó
755,noch::ADV,enda,še
756,nur::ADV,bare,samó
757,schon::ADV,alt,žè
758,schon::ADV,allerede,žè
759,wieder::ADV,igjen,spét
760,vergebens::ADV,forgjeves,zamàn
761,vergebens::ADV,forgjeves,zastónj
762,vor::PRP,foran,pred
763,vor::PRP,utenfor,pred
764,hinter::PRP,bak,za
765,hinter::PRP,bakom,za
766,unter::PRP,under,pod
767,durch::PRP,gjennom,skózi
768,durch::PRP,igjennom,skózi
769,neben::PRP,ved siden av,kràj
770,neben::PRP,ved siden av,póleg
771,zwischen::PRP,mellom,med
772,zwischen::PRP,mellom,izmed
773,wegen::PRP,på grunn av,zarádi
774,dies::PRN,dette,tó
775,das::PRN,det,tó
776,alles::PRN,alt,vsè
777,ich::PRN,jeg,jàz
778,du::PRN,du,tí
779,er::PRN,han,òn
780,wir::PRN,vi,mí
781,ihr::PRN,dere,ví
782,sie::PRN,de,ôni
783,was::FPRN,hva,káj
784,wer::FPRN,hvem,kdó
785,wo::FADV,hvor,kjé
786,wohin::FADV,hvor ... hen,kám
787,wie::FADV,hvordan,kakó
788,warum::FADV,hvorfor,zakáj
789,wieviel::FNUM,hvor mye,kóliko
790,eins::NUM,en,êden
791,eins::NUM,ett,êden
792,zwei::NUM,to,dvá
793,drei::NUM,tre,trí
794,vier::NUM,fire,štíri
795,fünf::NUM,fem,pét
796,sechs::NUM,seks,šést
797,sieben::NUM,sju,sédem
798,acht::NUM,åtte,ósem
799,neun::NUM,ni,devét
800,zehn::NUM,ti,desét
801,elf::NUM,elleve,enájst
802,zwölf::NUM,tolv,dvánajst
803,zwanzig::NUM,tjue,dvájset
804,dreißig::NUM,tretti,trídeset
805,vierzig::NUM,førti,štírideset
806,fünfzig::NUM,femti,pétdeset
807,sechzig::NUM,seksti,šéstdeset
808,siebzig::NUM,sytti,sédemdeset
809,achtzig::NUM,åtti,ósemdeset
810,neunzig::NUM,nitti,devétdeset
811,hundert::NUM,hundre,stó
812,tausend::NUM,tusen,tísoč
813,und::CNJ,og,in
814,oder::CNJ,eller,áli
815,stehen::V,stå,státi
816,sitzen::V,sitte,sedéti
817,liegen::V,ligge,ležáti
818,hängen::V,henge,viséti
819,werden::V,bli,postáti
820,passieren::V,skje,zgodíti se
821,passieren::V,hende,zgodíti se
822,beginnen::V,begynne,začéti se
823,enden::V,ende,končáti se
824,enden::V,slutte,končáti se
825,wechseln::V,veksle,ménjati se
826,aufgehen[Sonne]::V,stå opp,vzíti
827,untergehen[Sonne]::V,gå ned,zaíti
828,scheinen[Sonne]::V,skinne,sijáti
829,donnern::V,tordne,grméti
830,wehen::V,blåse,píhati
831,strömen::V,strømme,líti
832,fließen::V,flyte,têči
833,sich drehen::V,dreie seg,vrtéti se
834,schwanken::V,svaie,kolébati
