,Concept_ID,xal,az
274,Stimme::N,дун,səs
275,Wort::N,үг,söz
276,Wort::N,үг,kəlmə
277,Zeichen::N,темдг,nişan
278,Ruf::N,дуудлһн,çığırtı
279,Lärm::N,шууган,gurultu
280,Laut::N,ә,səs
281,Ton::N,дун,ton
282,Lied::N,дун,mahnı
283,Ruhe::N,амулң,sakitlik
284,Leute::N,әмтн,xalq
285,Volk::N,улс,millət
286,Arbeit::N,көдлмш,iş
287,Arbeit::N,көдлмш,əmək
288,Gast::N,гиич,qonaq
289,Gast::N,гиич,müsafir
290,Geschenk::N,белг,hədiyyə
291,Spiel::N,наадн,oyun
292,Spiel::N,наадн,tamaşa
293,Gesellschaft::N,олн,cəmiyyet
294,Hilfe::N,нөкд,kömək
295,Hilfe::N,нөкд,yardım
296,Freund::N,иньг,dost
297,Kamerad::N,үр,yoldaş
298,Angelegenheit::N,керг,iş
299,Anzahl::N,то,say
300,Art::N,зүүл,çeşid
301,Stück::N,хусг,dənə
302,Stück::N,хусг,parça
303,Teil::N,хүв,qisim
304,Hälfte::N,өрәл,yarım
305,Kreis::N,төгрг,dairə
306,Kreuz::N,кирс,xaç
307,Linie::N,зурасн,xətt
308,Strich::N,татасн,cızıq
309,Abstand::N,зә,məsafə
310,Entfernung::N,һазр,məsafə
311,Entfernung::N,һазр,uzaqlıq
312,Gegend::N,һазр,bölgə
313,Platz::N,зә,yer
314,Ort::N,бәәрн,yer
315,Seite::N,тал,yan
316,Seite::N,тал,tərəf
317,Seite::N,хаҗу,yan
318,Seite::N,хаҗу,tərəf
319,Seite::N,хәврһ,yan
320,Seite::N,хәврһ,tərəf
321,Mitte::N,дунд,orta
322,Gegenstand::N,юмн,şey
323,Sache::N,юмн,şey
324,Rand::N,зах,kənar
325,Kante::N,ирмәг,tiyə
326,Kante::N,ирмәг,kənar
327,Ecke::N,өнцг,bucaq
328,Spitze::N,үзүр,uc
329,Ende::N,үзүр,son
330,Ende::N,үзүр,axır
331,Loch::N,хаһрха,deşik
332,Winkel::N,булң,guşə
333,Muster::N,намч,ülgü
334,Größe::N,кемҗән,böyüklük
335,Länge::N,ут,uzunluq
336,Höhe::N,өндр,yüksəklik
337,Gewicht::N,күнд,çəki
338,Gewicht::N,күнд,ağırlıq
339,Gewicht::N,чиңнүр,çəki
340,Gewicht::N,чиңнүр,ağırlıq
341,Menge::N,ик,miqdar
342,Haufen::N,ова,yığın
343,Reihe::N,зерг,səf
344,Reihe::N,зерг,sıra
345,Reihe::N,зерглән,səf
346,Reihe::N,зерглән,sıra
347,Boot::N,оңһц,qayıq
348,Ruder::N,хәәв,kürək
349,Schlitten::N,цан,kirşə
350,Ski::N,лыҗ,xizək
351,Lagerfeuer::N,костёр,düşərgə tonqalı
352,Last::N,күнд,yük
353,Gang::N,йовлһн,yeriş
354,Schritt::N,ишкм,addım
355,Norden::N,ар үзг,şimal
356,Süden::N,өмн,cənub
357,Süden::N,өмн үзг,cənub
358,Westen::N,барун,qərb
359,Westen::N,барун үзг,qərb
360,Osten::N,зүн,şərq
361,Osten::N,зүн үзг,şərq
362,Holz::N,модн,ağac
363,Holz::N,модн,taxta
364,Brett::N,харһа,taxta
365,Platte::N,хавтха чолун,lövhə
366,Stütze::N,тулг,dayaq
367,Stütze::N,тулг,dəstək
368,Stange::N,уньн,şüvül
369,Stock::N,модн,dəyənək
370,Stab::N,шуург,əsa
371,Stab::N,шуург,şüvül
372,Rohr::N,турва,boru
373,Rohr::N,турва,truba
374,Haus::N,гер,ev
375,Heim::N,гер-бул,ev
376,Ofen::N,беш,peç
377,Ofen::N,беш,soba
378,Fußboden::N,девскр,döşəmə
379,Tisch::N,ширә,masa
380,Stuhl::N,стул,stul
381,Wiege::N,өлгә,beşik
382,Wiege::N,дүүҗң,beşik
383,Bett::N,орн,yataq
384,Bett::N,орндг,yataq
385,Regal::N,таг,rəf
386,Regal::N,тәвц,rəf
387,Kiste::N,яршг,yeşik
388,Kiste::N,яршг,sandıq
389,Fenster::N,терз,pəncərə
390,Tür::N,үүдн,qapı
391,Tor::N,үүдн,darvaza
392,Tor::N,өргн үүдн,darvaza
393,Tor::N,хашан үүдн,darvaza
394,Zaun::N,хаша,çəpər
395,Dach::N,деевр,dam
396,Leiter::N,шат,nərdivan
397,Leiter::N,давшур,nərdivan
398,Besen::N,сәвүр,süpürgə
399,Spaten::N,күрз,kürək
400,Schaufel::N,совг,kürək
401,Gabel::N,серә,çəngəl
402,Löffel::N,ухр,qaşıq
403,Messer::N,утх,bıçaq
404,Nagel::N,хадасн,mıx
405,Netz::N,гөлм,tor
406,Haken::N,дегә,çəngəl
407,Griff::N,иш,qulp
408,Griff::N,иш,tutacaq
409,Griff::N,бәрүл,qulp
410,Griff::N,бәрүл,tutacaq
411,Schloss::N,оньс,qıfıl
412,Bild::N,зург,rəsm
413,Figur::N,фигур,şəkil
414,Figur::N,фигур,heykəl
415,Puppe::N,наадһа,kukla
416,Puppe::N,наадһа,gəlincik
417,Beutel::N,мишг,kisə
418,Beutel::N,мишг,torba
419,Bündel::N,багла,bağlama
420,Bündel::N,боодһа,bağlama
421,Tasche::N,сумк,çanta
422,Eimer::N,суулһ,vedrə
423,Eimer::N,суулһ,çəllək
424,Deckel::N,бүркәсн,qapaq
425,Geschirr::N,сав,qab-qazan
426,Geschirr::N,сав-сарх,qab-qazan
427,Sack::N,мишг,çuval
428,Tasse::N,ааһ,fincan
429,Topf::N,кастрюль,qazan
430,Kessel::N,хәәсн,qazan
431,Essen::N,зоогллһн,yemək
432,Nahrung::N,теҗәл,qida
433,Speise::N,хот,xörək
434,Fleisch::N,махн,ət
435,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,taxıl
436,Brei::N,хаш,aş
437,Brei::N,хаш,sıyıq
438,Brot::N,өдмг,çörək
