,Concept_ID,mrj,ja
364,Kiste::N,шӱ́ндӹк,箱
365,Fenster::N,окня,窓
366,Tür::N,амаса,戸
367,Tür::N,амаса,ドア
368,Tor::N,хапка,門
369,Zaun::N,забор,垣根
370,Dach::N,левӓш,屋根
371,Leiter::N,ташкалтыш,梯子
372,Besen::N,сало,ほうき
373,Besen::N,салко,ほうき
374,Spaten::N,кольмы,スコップ
375,Schaufel::N,лоток,シャベル
376,Gabel::N,ви́лка,フォーク
377,Löffel::N,савала,スプーン
378,Messer::N,кӹзӹ,ナイフ
379,Nagel::N,пыда,釘
380,Netz::N,вӓпш,網
381,Haken::N,крӱк,鉤
382,Haken::N,крӱк,フック
383,Haken::N,кагак,鉤
384,Haken::N,кагак,フック
385,Griff::N,кычем,取っ手
386,Schloss::N,замок,錠
387,Schloss::N,сыравач,錠
388,Bild::N,картин,絵
389,Figur::N,кӓн,像
390,Puppe::N,поханя,人形
391,Beutel::N,мешӓк,袋
392,Bündel::N,топ,束
393,Bündel::N,топ,包み
394,Bündel::N,пидӹш,束
395,Bündel::N,пидӹш,包み
396,Bündel::N,кӹлдӹш,束
397,Bündel::N,кӹлдӹш,包み
398,Tasche::N,сумкы,かばん
399,Eimer::N,ведӹрӓ,バケツ
400,Deckel::N,комдыш,蓋
401,Geschirr::N,ӓтӹ,食器
402,Sack::N,мешӓк,袋
403,Tasse::N,цӓшкӓ,カップ
404,Topf::N,ми́ска,鍋
405,Kessel::N,пад,釜
406,Essen::N,качкыш,食事
407,Essen::N,качкыш-йӱш,食事
408,Nahrung::N,качкыш,食物
409,Nahrung::N,качкыш-йӱш,食物
410,Speise::N,няня,料理
411,Fleisch::N,пай,肉
412,Getreide::N,киндӹ,麦
413,Getreide::N,киндӹ,穀物
414,Brei::N,шӹрӓш,粥
415,Brot::N,сыкыр,パン
416,Scheibe::N,ламыт,枚
417,Scheibe::N,ламыт,切れ
418,Scheibe::N,лаштык,枚
419,Scheibe::N,лаштык,切れ
420,Fett::N,кая,脂肪
421,Butter::N,ӱ,バター
422,Öl::N,ӱ,油
423,Salz::N,санзал,塩
424,Suppe::N,лем,スープ
425,Honig::N,мӱ,蜂蜜
426,Milch::N,шӹшер,牛乳
427,Tee::N,чӓй,茶
428,Tee::N,чӓй,お茶
429,Leder::N,шарга,革
430,Leder::N,кавашты,革
431,Wolle::N,миж,毛糸
432,Stoff::N,матер,布
433,Stoff::N,матери,布
434,Nadel::N,им,針
435,Faden::N,шӹртӹ,糸
436,Knopf::N,полдыш,ボタン
437,Knoten::N,пӱкшем,結び目
438,Farbe::N,чиӓ,ペンキ
