,Concept_ID,tt,be
632,grün::A,яшел,зялёны
633,grau::A,соры,шэры
634,bunt::A,чуар,пяресты
635,billig::A,арзан,танны
636,teuer::A,хаклы,дарагі
637,wertvoll::A,кыйммәтле,цэнны
638,wertvoll::A,кыйммәтле,каштоўны
639,blind::A,сукыр,сляпы
640,blind::A,күзсез,сляпы
641,taub::A,чукрак,глухі
642,taub::A,саңгырау,глухі
643,kräftig::A,егәрле,магутны
644,stark::A,нык,сільны
645,stark::A,базык,сільны
646,schwach::A,зәгыйфь,слабы
647,fett::A,симез,тлусты
648,schlank::A,нәзек,стройны
649,hübsch::A,чибәр,чароўны
650,böse::A,усал,злы
651,dumm::A,акылсыз,дурны
652,faul::A,ялкау,лянівы
653,faul::A,иренчәк,лянівы
654,fleißig::A,тырыш,руплівы
655,fleißig::A,тырышучан,руплівы
656,geizig::A,саран,прагны
657,klug::A,акыллы,разумны
658,geschickt::A,маһир,умелы
659,lieb::A,сөекле,мілы
660,lustig::A,күңелле,вясёлы
661,sanft::A,басынкы,ласкавы
662,hungrig::A,ач,галодны
663,krank::A,чирле,хворы
664,krank::A,сырхау,хворы
665,nackt::A,шәрә,голы
666,traurig::A,ямансу,сумны
667,lebendig::A,тере,жывы
668,gut::A,яхшы,добры
669,schlecht::A,начар,кепскі
670,richtig::A,дөрес,правільны
671,schlimm::A,әшәкә,агідны
672,wahr::A,чып-чын,сапраўдны
673,alt::A,иске,стары
674,neu::A,яңа,новы
675,ehemalig::A,элекке,былы
676,alt[Lebewesen]::A,карт,стары
677,jung::A,яшь,малады
678,arm::A,фәкыйрь,бедны
679,reich::A,бай,багаты
680,bekannt::A,таныш,знаёмы
681,berühmt::A,атаклы,славуты
682,fremd::A,ят,чужы
683,verschieden::A,төрле,розны
684,nah::A,якын,блізкі
685,fern::A,ерак,далёкі
686,linker::A,сул,левы
687,rechter::A,уң,правы
688,anderer::A,бүтән,іншы
689,anderer::A,бүтән,другі
690,erster::A,беренче,першы
691,zweiter::A,икенче,другі
692,dritter::A,өченче,трэці
693,letzter::A,ахыргы,апошні
694,allein::ADV,ялгыз,сам
695,allein::ADV,ялгыз,адзін
696,auf einmal::ADV,бердән,адразу
697,zusammen::ADV,бергә,разам
698,lange::ADV,озак,доўга
699,plötzlich::ADV,искәрмәстән,раптам
700,sofort::ADV,хәзер,зараз
701,später::ADV,соңрак,пазней
702,jetzt::ADV,хәзер,цяпер
703,heute::ADV,бүген,сёння
704,morgen::ADV,иртәгә,заўтра
705,bald::ADV,тиздән,хутка
706,bald::ADV,тиздән,неўзабаве
707,dann::ADV,аннары,потым
708,gestern::ADV,кичә,учора
709,einst::ADV,берчак,аднойчы
710,damals::ADV,ул вакытта,тады
711,damals::ADV,ул чакта,тады
712,danach::ADV,да,затым
713,vorher::ADV,элек,раней
714,zuerst::ADV,башта,спярша
715,zuerst::ADV,башта,спачатку
716,einmal::ADV,бер,адзін раз
717,einmal::ADV,бер мәртәбә,адзін раз
718,manchmal::ADV,кайчакта,часам
719,oft::ADV,еш,часта
720,immer::ADV,һәркайчан,заўсёды
721,niemals::ADV,hичбер вакыт,ніколі
722,hier::ADV,монда,тут
723,hier::ADV,биредә,тут
724,hierhin::ADV,монда,сюды
725,von hier::ADV,моннан,адсюль
726,von hier::ADV,моннан,адгэтуль
727,dort::ADV,анда,там
728,dorthin::ADV,тегеләй,туды
729,geradeaus::ADV,турыдан-туры,прама
730,vorwärts::ADV,алга,наперад
731,rückwärts::ADV,кире,назад
732,zurück::ADV,кире,назад
733,unten::ADV,түбәндә,унізе
734,hinab::ADV,аска,уніз
735,oben::ADV,өстә,угары
736,oben::ADV,өстә,наверсе
737,oben::ADV,югарыда,угары
738,oben::ADV,югарыда,наверсе
739,hinauf::ADV,өскә,угару
740,überall::ADV,hәркайда,усюды
741,nicht::ADV,түгел,не
742,ein wenig::ADV,бераз,трошкі
743,kaum::ADV,көчкә,ледзьве
744,sehr::ADV,бик,вельмі
745,so::ADV,алай,так
746,noch::ADV,янә,яшчэ
747,noch::ADV,тагын,яшчэ
748,nur::ADV,фәкать,толькі
749,schon::ADV,инде,ужо
750,wieder::ADV,янә,зноў
751,wieder::ADV,тагын,зноў
752,vergebens::ADV,юкка,дарма
753,vergebens::ADV,юкка,дарэмна
754,vor::PRP,алдыннан,перад
755,hinter::PRP,арттан,за
756,hinter::PRP,арттан,ззаду
757,unter::PRP,астында,пад
758,durch::PRP,аша,праз
759,neben::PRP,тирәсендә,каля
760,zwischen::PRP,арасында,між
761,zwischen::PRP,арасында,паміж
762,wegen::PRP,сәбәпле,з-за
763,dies::PRN,бу,гэта
764,das::PRN,ул,тое
765,alles::PRN,һәммә,усё
766,ich::PRN,мин,я
767,du::PRN,син,ты
768,er::PRN,ул,ён
769,wir::PRN,без,мы
770,ihr::PRN,сез,вы
771,sie::PRN,ул,яны
772,was::FPRN,ни,што
773,was::FPRN,нәрсә,што
774,wer::FPRN,кем,хто
775,wo::FADV,кайда,дзе
776,wohin::FADV,кая,куды
777,wie::FADV,ничек,як
778,warum::FADV,нигә,чаму
779,wieviel::FNUM,ничә,колькі
780,eins::NUM,бер,адзін
781,zwei::NUM,ике,два
782,drei::NUM,өч,тры
783,vier::NUM,дүрт,чатыры
784,fünf::NUM,биш,пяць
785,sechs::NUM,алты,шесць
786,sieben::NUM,җиде,сем
787,acht::NUM,сигез,восем
788,neun::NUM,тугыз,дзевяць
789,zehn::NUM,ун,дзесяць
790,elf::NUM,унбер,адзінаццаць
791,zwölf::NUM,унике,дванаццаць
792,zwanzig::NUM,егерме,дваццаць
793,dreißig::NUM,утыз,трыццаць
794,vierzig::NUM,кырык,сорак
795,fünfzig::NUM,илле,пядзесят
796,sechzig::NUM,алтмыш,шесдзесят
797,siebzig::NUM,җитмеш,семдзесят
798,achtzig::NUM,сиксән,восемдзесят
799,neunzig::NUM,туксан,дзевяноста
800,hundert::NUM,йөз,сто
801,tausend::NUM,мең,тысяча
802,und::CNJ,вә,і
803,und::CNJ,вә,ды
804,oder::CNJ,яки,або
805,oder::CNJ,яисә,або
806,stehen::V,тору,стаяць
807,sitzen::V,утыру,сядзець
808,liegen::V,яту,ляжаць
809,hängen::V,эленү,вісець
810,werden::V,булу,стаць
811,werden::V,булу,зрабіцца
812,passieren::V,булу,трапіцца
