,Concept_ID,de,lbe
315,Boot::N,Boot,луткка
316,Ruder::N,Ruder,весло
317,Ruder::N,Ruder,чӏатӏа
318,Schlitten::N,Schlitten,чана
319,Schlitten::N,Schlitten,санкка
320,Ski::N,Ski,лижарду
321,Lagerfeuer::N,Lagerfeuer,къавтӏн
322,Last::N,Last,гьиву
323,Gang::N,Gang,нанаву
324,Schritt::N,Schritt,ша
325,Norden::N,Norden,ухссав
326,Norden::N,Norden,ухссавнил чулухалу
327,Süden::N,Süden,кьилва
328,Westen::N,Westen,баргълагавал
329,Westen::N,Westen,баргълагавал чул
330,Osten::N,Osten,баргъбуккай чулухалу
331,Holz::N,Holz,тӏама
332,Brett::N,Brett,тахта
333,Platte::N,Platte,гъуни
334,Stütze::N,Stütze,гьалакӏу
335,Stange::N,Stange,къазихъ
336,Stock::N,Stock,ттархь
337,Stab::N,Stab,ччантӏакъу
338,Rohr::N,Rohr,бургъу
339,Haus::N,Haus,къатта
340,Heim::N,Heim,къатта
341,Ofen::N,Ofen,пач
342,Fußboden::N,Fußboden,чӏанкъатта
343,Tisch::N,Tisch,усттул
344,Stuhl::N,Stuhl,кӏану
345,Wiege::N,Wiege,оьрчӏал кӏану
346,Bett::N,Bett,тах
347,Regal::N,Regal,чӏаму
348,Kiste::N,Kiste,яшикӏ
349,Kiste::N,Kiste,къурши
350,Fenster::N,Fenster,чӏавахьулу
351,Tür::N,Tür,нуз
352,Tür::N,Tür,нузкьун
353,Tor::N,Tor,къапу
354,Tor::N,Tor,дарваза
355,Zaun::N,Zaun,дайгьузанну
356,Dach::N,Dach,магъи
357,Dach::N,Dach,цӏиялу
358,Leiter::N,Leiter,чуртту
359,Besen::N,Besen,чӏатлу
360,Spaten::N,Spaten,бил
361,Schaufel::N,Schaufel,чӏатӏа
362,Gabel::N,Gabel,гьиссилу
363,Löffel::N,Löffel,къуса
364,Messer::N,Messer,чӏила
365,Nagel::N,Nagel,мяр
366,Netz::N,Netz,къери
367,Haken::N,Haken,къича
368,Griff::N,Griff,куяму
369,Schloss::N,Schloss,кьункьула
370,Bild::N,Bild,сурат
371,Figur::N,Figur,
372,Puppe::N,Puppe,ссихьу
373,Beutel::N,Beutel,чантай
374,Bündel::N,Bündel,гьи
375,Bündel::N,Bündel,къар
376,Tasche::N,Tasche,
377,Eimer::N,Eimer,бадра
378,Deckel::N,Deckel,къапаза
379,Geschirr::N,Geschirr,пюрунчӏул
380,Geschirr::N,Geschirr,тӏахӏникӏичӏу
381,Sack::N,Sack,къап
382,Sack::N,Sack,дарваг
383,Tasse::N,Tasse,пижан
384,Tasse::N,Tasse,пинжан
385,Tasse::N,Tasse,инкираччатӏи
386,Tasse::N,Tasse,цинцилттал бушкъап
387,Topf::N,Topf,кӏункӏур
388,Kessel::N,Kessel,чаг
389,Kessel::N,Kessel,кӏункӏур
390,Essen::N,Essen,дукия
391,Essen::N,Essen,дукин
392,Nahrung::N,Nahrung,дукра
393,Speise::N,Speise,дукра
394,Fleisch::N,Fleisch,дикӏ
395,Getreide::N,Getreide,къама
396,Brei::N,Brei,ккурч
397,Brot::N,Brot,ччатӏ
398,Scheibe::N,Scheibe,парча
399,Fett::N,Fett,аьгъушиву
400,Butter::N,Butter,нагь
401,Butter::N,Butter,лагаву
402,Öl::N,Öl,
403,Salz::N,Salz,цӏву
404,Suppe::N,Suppe,накь
405,Honig::N,Honig,ницӏ
406,Milch::N,Milch,накӏ
407,Tee::N,Tee,чяй
408,Leder::N,Leder,бурчу
409,Wolle::N,Wolle,ппал
410,Stoff::N,Stoff,янна
411,Nadel::N,Nadel,ххалаххи
412,Faden::N,Faden,ххал
413,Knopf::N,Knopf,банд
414,Knoten::N,Knoten,къурхъ
415,Farbe::N,Farbe,сир
416,Kleidung::N,Kleidung,янна
417,Kleidung::N,Kleidung,лаххия
418,Hemd::N,Hemd,гьухъа
419,Kragen::N,Kragen,дарвач
420,Ärmel::N,Ärmel,кахха
421,Hose::N,Hose,хӏажак
422,Gürtel::N,Gürtel,мухӏлу
423,Mütze::N,Mütze,кьяпа
424,Schuh::N,Schuh,
425,Stiefel::N,Stiefel,чакма
426,Ring::N,Ring,кӏисса
427,Band::N,Band,линт
428,Kamm::N,Kamm,ттарал
429,Spiegel::N,Spiegel,дагьани
430,Riemen::N,Riemen,эн
431,Schnur::N,Schnur,хьхьа
432,Leine::N,Leine,
433,Decke::N,Decke,виргъан
434,Kissen::N,Kissen,кӏаралу
435,Tuch::N,Tuch,карщи
436,Handtuch::N,Handtuch,калихьу
437,Handtuch::N,Handtuch,лажинлихьу
438,Kraft::N,Kraft,эллаж
439,Stärke::N,Stärke,гуж
440,Gesundheit::N,Gesundheit,цӏуллу-сагъшиву
441,Krankheit::N,Krankheit,къашайшиву
442,Schmerz::N,Schmerz,къюву
443,Wunde::N,Wunde,щаву
444,Fieber::N,Fieber,кӏиришиву
445,Arznei::N,Arznei,дару
446,Brücke::N,Brücke,ламу
447,Brunnen::N,Brunnen,къуй
448,Weide::N,Weide,бизантту
449,Pfad::N,Pfad,жегъир ххуллу
450,Weg::N,Weg,ххуллу
451,Straße::N,Straße,ххуллу
452,Dorf::N,Dorf,щар
453,Dorf::N,Dorf,шяравалу
454,Stadt::N,Stadt,шагьру
455,Brief::N,Brief,чагъар
456,Buch::N,Buch,лу
457,Buchstabe::N,Buchstabe,хӏарп
458,Zeitung::N,Zeitung,кказит
459,Leben::N,Leben,оьрму
460,Tod::N,Tod,ажал
461,Tod::N,Tod,бивкӏу
462,Tod::N,Tod,ивчӏаву
463,Grab::N,Grab,гьав
464,Kirche::N,Kirche,килиса
465,Sünde::N,Sünde,бунагъ
466,Gott::N,Gott,зал
467,Arbeiter::N,Arbeiter,зузала
468,Chef::N,Chef,ялувма
469,Meister::N,Meister,усттар
470,Arzt::N,Arzt,хӏакин
471,Lehrer::N,Lehrer,учитель
472,Geld::N,Geld,арцу
473,Geschäft::N,Geschäft,даву
474,Laden::N,Laden,ттучан
475,Preis::N,Preis,багъа
476,Ware::N,Ware,хъус
477,Nutzen::N,Nutzen,хайр
478,Nutzen::N,Nutzen,мюнпат
479,Reichtum::N,Reichtum,давлат
