,Concept_ID,mdf,hu
131,Festland::N,мода,szárazföld
132,Meer::N,моря,tenger
133,Bucht::N,ведьуське,öböl
134,Insel::N,цёнга,sziget
135,Blume::N,панчф,virág
136,Gras::N,тише,fű
137,Wurzel::N,юр,gyökér
138,Wurzel::N,ункс,gyökér
139,Baum::N,шуфта,fa
140,Stamm::N,ро́нга,tő
141,Stamm::N,ро́нга,törzs
142,Rinde::N,кер,kéreg
143,Ast::N,морга,ág
144,Zweig::N,тарад,gally
145,Blatt::N,лопа,levél
146,Birke::N,ке́лу,nyír
147,Kiefer[Baum]::N,пиче,fenyő
148,Weide[Baum]::N,каль,fűz
149,Tanne::N,куз,fenyő
150,Horn::N,сюра,szarv
151,Feder::N,толга,toll
152,Fell::N,кедь,szőr
153,Fell::N,кедь,bunda
154,Flügel::N,паця,szárny
155,Klaue::N,кенже,köröm
156,Kralle::N,кенже,karom
157,Schwanz::N,пула,farok
158,Ei::N,ал,tojás
159,Nest::N,пиза,fészek
160,Bau::N,пиза,odú
161,Tier::N,жува́та,állat
162,Herde::N,нал,nyáj
163,Herde::N,нал,csorda
164,Herde::N,стада,nyáj
165,Herde::N,стада,csorda
166,Kuh::N,скал,tehén
167,Kuh::N,тракс,tehén
168,Bulle::N,бука,bika
169,Pferd::N,лишме,ló
170,Schaf::N,уча́,juh
171,Schaf::N,уча́,birka
172,Schwein::N,тува,sertés
173,Hund::N,пине,eb
174,Hund::N,пине,kutya
175,Katze::N,катоня,macska
176,Katze::N,аваката,macska
177,Bär::N,офта,medve
178,Eichhörnchen::N,ур,mókus
179,Elch::N,ся́рда,jávorszarvas
180,Fuchs::N,келазь,róka
181,Hase::N,ну́мол,nyúl
182,Maus::N,шеер,egér
183,Wolf::N,върьгаз,farkas
184,Vogel::N,нармонь,madár
185,Schwarm::N,ко́вол,raj
186,Schwarm::N,ме́швеле,raj
187,Huhn::N,сараз,tyúk
188,Hahn::N,а́тякш,kakas
189,Gans::N,маци,lúd
190,Gans::N,маци,liba
191,Adler::N,куцькан,sas
192,Ente::N,яксярга,kacsa
193,Eule::N,ко́рож,bagoly
194,Kranich::N,ка́рга,daru
195,Krähe::N,ва́рси,varjú
196,Kuckuck::N,ку́ку,kakukk
197,Schwan::N,ло́ксти,hattyú
198,Fisch::N,кал,hal
199,Barsch::N,о́кунь,sügér
200,Hecht::N,щу́ка,csuka
201,Schlange[Tier]::N,куй,kígyó
202,Wurm::N,сукс,kukac
203,Spinne::N,унжа́,pók
204,Ameise::N,панжам,hangya
205,Laus::N,си,tetű
206,Mücke::N,ся́ське,szúnyog
207,Fliege::N,кару,légy
208,Schmetterling::N,ме́лав,lepke
209,Schmetterling::N,ме́лав,pillangó
210,Beere::N,и́мож,bogyó
211,Apfel::N,марь,alma
212,Pilz::N,панга,gomba
213,Zwiebel::N,шурьхкя́,hagyma
214,Saat::N,видьмот,vetőmag
215,Korn::N,сёра,mag
216,Korn::N,сёра,szem
217,Heu::N,тише,széna
218,Schale::N,кедь,héj
219,Grube::N,лотка,verem
220,Falle::N,туфкс,csapda
221,Falle::N,кунда́ма,csapda
222,Schlinge::N,килькш,tőr
223,Spur::N,пильгоки́,nyom
224,Asche::N,кулу,hamu
225,Dreck::N,ърда́з,sár
226,Dreck::N,ърда́з,piszok
227,Eisen::N,кшни,vas
228,Gold::N,ока,arany
229,Gold::N,золота,arany
230,Silber::N,сия́,ezüst
231,Kohle::N,седь,szén
232,Kohle::N,седьвальмя,szén
233,Glas::N,кля́нцек,üveg
234,Lehm::N,сёвонь,agyag
235,Lehm::N,сёвонь,vályog
236,Sand::N,шува́р,homok
237,Mensch::N,ломань,ember
238,Mann::N,аля,úr
239,Mann::N,аля,férfi
240,Mann::N,цёраломань,úr
241,Mann::N,цёраломань,férfi
242,Frau::N,ава,nő
243,Frau::N,ава,asszony
244,Kind::N,идь,gyerek
245,Kind::N,идь,gyermek
246,Kind::N,шаба,gyerek
247,Kind::N,шаба,gyermek
248,Junge::N,цёраня,fiú
249,Mädchen::N,стирня́,lány
250,Familie::N,тнал,család
251,Familie::N,семья,család
252,Großvater::N,атя,nagyapa
253,Großvater::N,щя́тя,nagyapa
254,Großmutter::N,баба,nagyanya
255,Eltern::N,тя́дят-а́лят,szülők
256,Vater::N,аля,apa
257,Vater::N,аля,atya
258,Mutter::N,ава,anya
259,Mutter::N,тядя,anya
260,Sohn::N,цёра,fiú
261,Tochter::N,стирь,lány
262,Bruder::N,дуган,fivér
263,Bruder::N,дуган,testvér
264,Bruder::N,пяльне,fivér
265,Bruder::N,пяльне,testvér
266,Schwester::N,ака,nővér
267,Schwester::N,ака,lánytestvér
268,Schwester::N,сазор,nővér
269,Schwester::N,сазор,lánytestvér
270,Onkel::N,оця,nagybácsi
271,Onkel::N,патя,nagybácsi
272,Onkel::N,щеня́,nagybácsi
273,Tante::N,ака,nagynéni
274,Tante::N,щака,nagynéni
275,Ehemann::N,мирде,férj
276,Ehefrau::N,ърьвя́,feleség
277,Freude::N,ке́нярдема,öröm
278,Gelächter::N,рахсема,nevetés
279,Gelächter::N,рахсема,hahotázás
280,Glück::N,паваз,boldogság
281,Kummer::N,ризф,bánat
282,Kummer::N,пичефкс,bánat
283,Wunsch::N,мяль,óhaj
284,Wunsch::N,таколдома,óhaj
285,Lust::N,таколдома,kedv
286,Geist::N,вайме,elme
287,Geist::N,вайме,szellem
288,Gedanke::N,мяль,gondolat
289,Gedächtnis::N,прявий,emlékezet
290,Verstand::N,прявий,ész
291,Verstand::N,прявий,értelem
292,Sinn::N,ён,értelem
293,Grund::N,туфта́л,ok
294,Grund::N,туфта́л,alap
295,Wahrheit::N,ви́де,igaz
296,Wahrheit::N,ви́де,igazság
297,Wahrheit::N,видеши́,igaz
298,Wahrheit::N,видеши́,igazság
299,Gespräch::N,корхтама,beszélgetés
300,Märchen::N,ёфкс,mese
301,Erzählung::N,азкс,elbeszélés
302,Nachricht::N,куля́,hír
303,Nachricht::N,куля́,híradás
304,Neuigkeit::N,куля́,újság
305,Name::N,лем,név
306,Rätsel::N,со́дама ёфкс,rejtvény
307,Rede::N,вал,beszéd
308,Rede::N,вал,szónoklat
309,Rede::N,корхтама,beszéd
310,Rede::N,корхтама,szónoklat
311,Sprache::N,кяль,nyelv
312,Stimme::N,вайгяль,hang
313,Wort::N,вал,szó
314,Zeichen::N,тя́ште,jel
315,Zeichen::N,тя́штькс,jel
316,Ruf::N,тердема,kiáltás
317,Lärm::N,гайф,zaj
318,Lärm::N,жалакодома,zaj
319,Laut::N,вайгяль,hang
