,Concept_ID,cy,ja
674,krank::A,gwael,病気の
675,nackt::A,noeth,裸の
676,traurig::A,trist,悲しい
677,lebendig::A,yn fyw,生きた
678,gut::A,da,良い
679,schlecht::A,drwg,悪い
680,schlecht::A,drwg,駄目な
681,schlecht::A,gwael,悪い
682,schlecht::A,gwael,駄目な
683,richtig::A,cywir,正しい
684,schlimm::A,enbyd,ひどい
685,wahr::A,gwir,本当の
686,alt::A,hen,古い
687,neu::A,newydd,新しい
688,ehemalig::A,blaenorol,以前の
689,alt[Lebewesen]::A,oedrannus,年を取った
690,jung::A,ifanc,若い
691,arm::A,tlawd,貧乏な
692,reich::A,cyfoethog,裕福な
693,bekannt::A,cynefin,有名な
694,bekannt::A,cyfarwydd,有名な
695,berühmt::A,enwog,有名な
696,fremd::A,estron,見知らぬ
697,verschieden::A,gwahanol,色々な
698,nah::A,agos,近い
699,fern::A,pell,遠い
700,linker::A,aswy,左の
701,linker::A,chwith,左の
702,rechter::A,de,右の
703,rechter::A,deau,右の
704,anderer::A,arall,別の
705,erster::A,cyntaf,一番目
706,zweiter::A,ail,二番目
707,dritter::A,trydydd,三番目
708,letzter::A,olaf,最後の
709,allein::ADV,unig,一人で
710,allein::ADV,ar ei ben ei hun,一人で
711,auf einmal::ADV,ar yr un pryd,同時に
712,zusammen::ADV,ynghyd,一緒に
713,zusammen::ADV,gyda'i gilydd,一緒に
714,lange::ADV,amser hir,長い間
715,plötzlich::ADV,yn sydyn,急に
716,sofort::ADV,ar unwaith,すぐに
717,später::ADV,yn ddiweddarach,後で
718,jetzt::ADV,yn awr,今
719,heute::ADV,heddiw,今日
720,morgen::ADV,yfory,明日
721,bald::ADV,yn fuan,間もなく
722,bald::ADV,gyda hyn,間もなく
723,dann::ADV,yna,それから
724,dann::ADV,y pryd hwnnw,それから
725,gestern::ADV,ddoe,昨日
726,einst::ADV,gynt,過去に
727,damals::ADV,ar y pryd,あの時
728,damals::ADV,bryd hynny,あの時
729,danach::ADV,wedyn,その後で
730,vorher::ADV,o'r blaen,以前に
731,zuerst::ADV,yn gyntaf,まず
732,zuerst::ADV,yn gyntaf,最初に
733,einmal::ADV,unwaith,一回
734,manchmal::ADV,weithiau,時々
735,manchmal::ADV,ar brydiau,時々
736,oft::ADV,yn aml,よく
737,oft::ADV,yn fynych,よく
738,immer::ADV,bob amser,いつも
739,niemals::ADV,ni ... byth,一度も...ない
740,niemals::ADV,ni ... erioed,一度も...ない
741,hier::ADV,yma,こちら
742,hierhin::ADV,hyd yma,ここへ
743,hierhin::ADV,hyd yma,こちらへ
744,von hier::ADV,oddi yma,ここから
745,dort::ADV,acw,そちら
746,dorthin::ADV,tuag yno,そこへ
747,dorthin::ADV,tuag yno,そちらへ
748,geradeaus::ADV,syth ymlaen,真っ直ぐに
749,vorwärts::ADV,ymlaen,前へ
750,rückwärts::ADV,yn ôl,後ろへ
751,zurück::ADV,yn ôl,後ろへ
752,unten::ADV,isod,下に
753,unten::ADV,oddi tanodd,下に
754,hinab::ADV,i lawr,下へ
755,hinab::ADV,i waered,下へ
756,oben::ADV,fry,上に
757,hinauf::ADV,i fyny,上へ
758,hinauf::ADV,i'r lan,上へ
759,überall::ADV,ym mhobman,どこでも
760,nicht::ADV,ni,ない
761,nicht::ADV,nid,ない
762,ein wenig::ADV,tipyn,少し
763,ein wenig::ADV,tipyn,ちょっと
764,ein wenig::ADV,ychydig,少し
765,ein wenig::ADV,ychydig,ちょっと
766,kaum::ADV,prin,ほとんど～ない
767,sehr::ADV,iawn,とても
768,so::ADV,fel,こう
769,so::ADV,felly,こう
770,noch::ADV,eto,まだ
771,nur::ADV,yn unig,～だけ
772,schon::ADV,eisoes,もう
773,schon::ADV,yn barod,もう
774,wieder::ADV,drachefn,再び
775,vergebens::ADV,yn ofer,無駄に
776,vor::PRP,o flaen,前に
777,hinter::PRP,ar ôl,後ろに
778,unter::PRP,islaw,下に
779,durch::PRP,trwy,通して
780,neben::PRP,ar bwys,横に
781,zwischen::PRP,rhwng,間に
782,zwischen::PRP,cydrhwng,間に
783,wegen::PRP,o achos,為に
784,wegen::PRP,o achos,せいで
785,wegen::PRP,oherwydd,為に
786,wegen::PRP,oherwydd,せいで
787,dies::PRN,hyn,これ
788,das::PRN,hynny,それ
789,alles::PRN,popeth,全部
