,Concept_ID,hu,ba
274,Grund::N,alap,сәбәп
275,Wahrheit::N,igaz,дөрөҫлөк
276,Wahrheit::N,igazság,дөрөҫлөк
277,Gespräch::N,beszélgetés,әңгәмә
278,Märchen::N,mese,әкиәт
279,Erzählung::N,elbeszélés,хикәйә
280,Nachricht::N,hír,хәбәр
281,Nachricht::N,híradás,хәбәр
282,Neuigkeit::N,újság,яңылыҡ
283,Name::N,név,исем
284,Rätsel::N,rejtvény,йомаҡ
285,Rede::N,beszéd,телмәр
286,Rede::N,szónoklat,телмәр
287,Sprache::N,nyelv,тел
288,Sprache::N,nyelv,телмәр
289,Stimme::N,hang,тауыш
290,Wort::N,szó,һүҙ
291,Zeichen::N,jel,билдә
292,Ruf::N,kiáltás,саҡырыу
293,Lärm::N,zaj,шаулау
294,Laut::N,hang,тауыш
295,Ton::N,hang,яңғырау
296,Lied::N,dal,йыр
297,Lied::N,ének,йыр
298,Ruhe::N,csend,ял
299,Ruhe::N,csend,тыныслыҡ
300,Ruhe::N,nyugalom,ял
301,Ruhe::N,nyugalom,тыныслыҡ
302,Leute::N,emberek,кешеләр
303,Volk::N,nép,халҡ
304,Arbeit::N,dolog,эш
305,Gast::N,vendég,ҡунаҡ
306,Geschenk::N,ajándék,бүләк
307,Spiel::N,játék,уйын
308,Gesellschaft::N,társaság,йәмғиәт
309,Hilfe::N,segítség,ярҙам
310,Freund::N,barát,дуҫ
311,Kamerad::N,társ,иптәш
312,Angelegenheit::N,ügy,әш
313,Anzahl::N,szám,һан
314,Art::N,faj,төр
315,Art::N,fajta,төр
316,Stück::N,darab,киҫәк
317,Teil::N,rész,өлөш
318,Hälfte::N,fél,ярты
319,Kreis::N,kör,түңәрәк
320,Kreuz::N,kereszt,тәре
321,Linie::N,vonal,һыҙыҡ
322,Strich::N,vonás,һыҙат
323,Abstand::N,köz,ара
324,Entfernung::N,távolság,алыҫлыҡ
325,Gegend::N,táj,урын
326,Gegend::N,vidék,урын
327,Platz::N,hely,арауыҡ
328,Ort::N,hely,ерҙәр
329,Ort::N,hely,урындар
330,Ort::N,hely,эш урыны
331,Seite::N,fél,яҡ
332,Seite::N,oldal,яҡ
333,Mitte::N,közép,урталыҡ
334,Gegenstand::N,tárgy,нәмә
335,Sache::N,dolog,нәмә
336,Sache::N,dolog,әйбер
337,Rand::N,szél,сит
