,Concept_ID,kv,sl
419,Fett::N,гос,maščôba
420,Butter::N,ви,máslo
421,Öl::N,ви,ólje
422,Salz::N,сов,sól
423,Suppe::N,шыд,júha
424,Honig::N,ма,méd
425,Milch::N,йӧв,mléko
426,Tee::N,чай,čáj
427,Leder::N,кучик,úsnje
428,Wolle::N,гӧн,vólna
429,Stoff::N,дӧра,blagó
430,Nadel::N,ем,ígla
431,Faden::N,сунис,nít
432,Knopf::N,кизь,gúmb
433,Knoten::N,узӧв,vôzel
434,Knoten::N,гӧрӧд,vôzel
435,Farbe::N,краска,bárva
436,Kleidung::N,паськӧм,obléka
437,Hemd::N,йӧрнӧс,srájca
438,Kragen::N,воротник,ovrátnik
439,Ärmel::N,сос,rokáv
440,Hose::N,вешьян,hláče
441,Gürtel::N,йи,pás
442,Mütze::N,шапка,kápa
443,Mütze::N,шапка,čépica
444,Schuh::N,ботинки,čévelj
445,Stiefel::N,сапог,škórenj
446,Ring::N,чунькытш,pŕstan
447,Band::N,ленточка,trák
448,Kamm::N,сынан,glavník
449,Spiegel::N,зеркало,zrcálo
450,Spiegel::N,зеркало,ogledálo
451,Riemen::N,ремень,jêrmen
452,Schnur::N,гез,vŕvca
453,Leine::N,повод,konôpec
454,Decke::N,одеяло,odéja
455,Kissen::N,подушка,blazína
456,Tuch::N,чышьян,pŕt
457,Tuch::N,чышьян,rúta
458,Handtuch::N,чышкӧт,brisáča
459,Kraft::N,прак,síla
460,Stärke::N,вын,jákost
461,Gesundheit::N,здоровье,zdrávje
462,Krankheit::N,шог,bolézen
463,Schmerz::N,зубыт,ból
464,Schmerz::N,зубыт,bolečína
465,Wunde::N,рана,rána
466,Fieber::N,лёк тресся,vročína
467,Fieber::N,кынтан шогӧт,vročína
468,Arznei::N,лекарство,lék
469,Arznei::N,лекарство,zdravílo
470,Brücke::N,пос,móst
471,Brunnen::N,колодец ,vodnják
472,Weide::N,пода йирсян,páša
473,Pfad::N,туй,stezà
474,Weg::N,туй,pót
475,Straße::N,туй,césta
476,Dorf::N,деревня,vás
477,Stadt::N,город,mésto
478,Brief::N,гижӧт,písmo
479,Buch::N,книга,knjíga
480,Buchstabe::N,буква,čŕka
481,Zeitung::N,газета,čásnik
482,Leben::N,олан,življênje
483,Tod::N,кулӧм,smŕt
484,Grab::N,гу,gròb
485,Kirche::N,вичку,cérkev
486,Sünde::N,грек,gréh
487,Gott::N,ен,bóg
488,Arbeiter::N,уджалiсь,délavec
489,Chef::N,начальник,šéf
490,Meister::N,мастер,mójster
491,Arzt::N,врач,zdravník
492,Lehrer::N,велӧтісь,učítelj
493,Geld::N,деньга,denár
494,Geschäft::N,удж,kupčíja
495,Laden::N,магазин,trgovína
496,Preis::N,дон,céna
497,Ware::N,товар,róba
498,Nutzen::N,путь,príd
499,Reichtum::N,богатство,bogástvo
500,Welt::N,му,svét
501,Land::N,страна,dežêla
502,Staat::N,государство,držáva
503,König::N,кан,králj
504,Macht::N,власть,oblást
505,Grenze::N,граница,mêja
506,Krieg::N,война,vôjna
507,Feind::N,враг,sovrážnik
