,Concept_ID,zh,udm
447,Fieber::N,发烧,кезег
448,Arznei::N,药,эмъюм
449,Brücke::N,桥,выж
450,Brunnen::N,井,колдэч
451,Weide::N,牧场,возь
452,Pfad::N,小路,сюрес
453,Weg::N,路,сюрес
454,Straße::N,街,сюрес
455,Dorf::N,村庄,гурт
456,Stadt::N,城市,кар
457,Stadt::N,城市,город
458,Brief::N,信,гожтэт
459,Buch::N,书,книга
460,Buchstabe::N,字母,буква
461,Zeitung::N,报纸,газет
462,Leben::N,生命,улон
463,Tod::N,死亡,кулон
464,Grab::N,坟墓,шайгу
465,Kirche::N,教堂,черк
466,Sünde::N,罪,сьӧлык
467,Gott::N,上帝,ӥнмар
468,Arbeiter::N,工人,рабочий
469,Chef::N,上司,начальник
470,Meister::N,师傅,кибашлы
471,Arzt::N,医生,врач
472,Lehrer::N,教师,дышетӥсь
473,Geld::N,钱,уксё
474,Geld::N,钱,коньдон
475,Geschäft::N,交易,уж
476,Laden::N,商店,магазин
477,Preis::N,价格,дун
478,Ware::N,商品,вуз
479,Nutzen::N,好处,пайда
480,Reichtum::N,财富,узырлык
481,Welt::N,世界,дунне
482,Land::N,国家,шаер
483,Staat::N,国家,кун
484,König::N,国王,эксэй
485,Macht::N,权力,власть
486,Grenze::N,边界,кунгож
487,Krieg::N,战争,ож
488,Feind::N,敌人,тушмон
489,Gewalt::N,暴力,эриктэман
490,Kampf::N,战斗,нюръяськон
491,Bogen[Waffe]::N,弓,пукыӵ
492,Pfeil::N,箭,пукыӵ вень
493,Gewehr::N,枪,пыӵал
494,Fehler::N,错误,янгыш
495,Lüge::N,谎话,пӧян
496,Lüge::N,谎话,алдан
497,Lüge::N,谎话,ӧрекчан
498,Schaden::N,损失,изъян
499,Unglück::N,不幸,куректон
500,Unglück::N,不幸,шудтэме усён
501,Schuld::N,过错,янгыш
502,Alter::N,年龄,арлыд
503,Schluss::N,结束,пум
504,Zeit::N,时间,дыр
505,Tag::N,天,нунал
506,Morgen::N,早晨,ӵукна
507,Mittag::N,中午,лымшор
508,Abend::N,晚上,ӝыт
509,Abend::N,晚上,акшан
510,Nacht::N,夜,уй
511,Woche::N,星期,арня
512,Monat::N,月,толэзь
513,Jahr::N,年,ар
514,Frühling::N,春天,тулыс
515,Sommer::N,夏天,гужем
516,Herbst::N,秋天,сӥзьыл
517,Winter::N,冬天,тол
518,Januar::N,一月,выльартолэзь
519,Februar::N,二月,тулыспал
520,März::N,三月,южтолэзь
521,April::N,四月,оштолэзь
522,Mai::N,五月,куартолэзь
523,Juni::N,六月,вожотолэзь
524,Juli::N,七月,пӧсьтолэзь
525,August::N,八月,гудырикошкон
526,September::N,九月,куарусён
527,Oktober::N,十月,выльӝуктолэзь
528,November::N,十一月,шуркынмон
529,Dezember::N,十二月,толсур
530,Montag::N,星期一,вордӥськон
531,Dienstag::N,星期二,вторник
532,Mittwoch::N,星期三,вирнунал
533,Donnerstag::N,星期四,покчиарня
534,Freitag::N,星期五,удмуртарня
535,Samstag::N,星期六,кӧснунал
536,Sonntag::N,星期日,арня
537,groß::A,大,бадӟым
538,klein::A,小,пичи
539,lang::A,长,кузь
540,kurz::A,短,вакчи
541,breit::A,宽,паськыт
542,schmal::A,细长的,сюлэг
543,dicht::A,密,ӵем
544,dick[Gegenstand]::A,厚,зӧк
545,dünn::A,薄,векчи
546,fein::A,细小,векчи
547,fest::A,固体,юн
548,fest::A,固体,чурыт
549,flach::A,平坦,ӵошкыт
550,glatt::A,光滑,гылыт
551,glatt::A,光滑,вольыт
552,hart::A,硬,чурыт
553,weich::A,软,небыт
554,rund::A,圆,котырес
555,spitz::A,尖,йылсо
556,scharf::A,锋利,лэчыт
557,stumpf::A,钝,ныж
558,schwer::A,重,секыт
559,schön::A,美丽,чебер
560,heiß::A,烫,пӧсь
561,warm::A,暖和,шуныт
562,kalt::A,冷,кезьыт
563,kühl::A,凉,юзмыт
564,kühl::A,凉,салкым
565,frisch::A,新鲜,выль
566,feucht::A,潮湿,мускыт
567,nass::A,湿,котмем
568,trocken::A,干,кӧс
569,voll::A,满,тыр
570,leer::A,空,буш
571,leer::A,空,тырттэм
572,offen::A,敞开,усьтэм
573,geschlossen::A,关闭,ӵогам
574,geschlossen::A,关闭,пунням
575,sauber::A,干净,ӝикыт
576,sauber::A,干净,чылкыт
577,schmutzig::A,肮脏,нӧд
578,roh::A,生,ыль
579,reif::A,成熟,вуэм
580,lecker::A,好吃,ческыт
581,süß::A,甜,ческыт
582,bitter::A,苦,курыт
583,sauer::A,酸,чырс
584,hell::A,亮,югыт
585,dunkel::A,阴暗,пеймыт
586,schwarz::A,黑,сьӧд
587,weiß::A,白,тӧдьы
588,rot::A,红,горд
589,gelb::A,黄,ӵуж
590,blau::A,蓝,лыз
591,grün::A,绿,вож
592,grau::A,灰色,пурысь
593,bunt::A,五彩,куӵо
594,billig::A,便宜,дунтэм
595,teuer::A,贵,дуно
596,wertvoll::A,贵重,дуно
597,blind::A,瞎,сукыр
598,blind::A,瞎,синтэм
599,taub::A,聋,пельтэм
600,kräftig::A,强壮,кужмо
601,stark::A,强壮,юн
602,stark::A,强壮,кужмо
603,schwach::A,弱,ляб
604,schwach::A,弱,начар
605,fett::A,胖,кӧй
606,schlank::A,苗条,веськыт
607,schlank::A,苗条,веськрес
608,hübsch::A,漂亮,чебер
609,hübsch::A,漂亮,синмаськымон
610,böse::A,邪恶,лек
611,dumm::A,笨,шузи
612,dumm::A,笨,визьтэм
613,faul::A,懒惰,азьтэм
614,fleißig::A,勤奋,сюлмо
615,geizig::A,吝啬,сук
616,klug::A,聪明,визьмо
617,geschickt::A,灵巧,усто
618,geschickt::A,灵巧,быгатӥсь
619,lieb::A,可爱,мусо
620,lustig::A,快乐,шулдыр
621,sanft::A,柔和,мусо
622,sanft::A,柔和,эрке
623,hungrig::A,饥饿,сютэм
624,krank::A,患病,висись
625,nackt::A,裸体,гольык
626,traurig::A,悲哀,мӧзмыт
627,lebendig::A,活,улэп
628,gut::A,好,ӟеч
629,gut::A,好,умой
630,schlecht::A,坏,урод
631,schlecht::A,坏,алама
632,richtig::A,正确,шонер
633,schlimm::A,糟糕,алама
634,wahr::A,真,зэмос
635,alt::A,旧,вуж
636,neu::A,新,выль
637,ehemalig::A,以前,азьвылэз
638,alt[Lebewesen]::A,老,пересь
639,jung::A,年轻,егит
640,jung::A,年轻,пинал
641,arm::A,贫穷,начар
642,arm::A,贫穷,куанер
643,reich::A,富裕,узыр
644,bekannt::A,出名,тодмо
645,berühmt::A,著名,дано
646,fremd::A,陌生,ят
647,verschieden::A,不同,пӧртэм
648,nah::A,近,матысь
649,fern::A,遥远,кыдёкысь
650,linker::A,左,паллян
651,rechter::A,右,бур
652,rechter::A,右,бурпал
653,anderer::A,别的,мукет
654,erster::A,第一,нырысетӥез
655,zweiter::A,第二,кыктэтӥез
656,dritter::A,第三,кунньметӥез
657,letzter::A,最后,берло
658,letzter::A,最后,берпум
659,allein::ADV,单独,огназ
660,auf einmal::ADV,同时,огдыре
661,zusammen::ADV,一起,ӵош
662,zusammen::ADV,一起,валче
663,lange::ADV,许久,кема
664,plötzlich::ADV,忽然,мапламтэ шорысь
665,sofort::ADV,立刻,али ик
666,später::ADV,以后,бергес
667,später::ADV,以后,берлогес
668,jetzt::ADV,现在,али
669,jetzt::ADV,现在,табере
670,heute::ADV,今天,туннэ
671,morgen::ADV,明天,ӵуказе
672,bald::ADV,即将,ӝоген
673,dann::ADV,然后,берло
674,gestern::ADV,昨天,толон
675,einst::ADV,曾经,огпол
676,einst::ADV,曾经,одӥг пол
677,damals::ADV,当时,соку
678,danach::ADV,随后,собере
679,vorher::ADV,事先,азьло
680,vorher::ADV,事先,азьвыл
681,zuerst::ADV,首先,азьло
682,einmal::ADV,一次,огпол
683,manchmal::ADV,有时,куддыръя
684,oft::ADV,时常,ӵем
685,immer::ADV,总是,пыр
686,immer::ADV,总是,котьку
687,niemals::ADV,从未,уз ноку
688,hier::ADV,这里,татын
689,hierhin::ADV,到这里,татчы
690,von hier::ADV,由此,татысь
691,dort::ADV,那里,отӥ
692,dort::ADV,那里,отын
693,dorthin::ADV,到那里,отчы
694,geradeaus::ADV,一直往前,меӵак
695,vorwärts::ADV,向前,азьлань
696,rückwärts::ADV,向后,берлань
697,zurück::ADV,退后,берен
698,zurück::ADV,退后,берлань
699,unten::ADV,下面,улын
700,hinab::ADV,向下,улэ
701,oben::ADV,上面,вылын
702,oben::ADV,上面,вылӥын
703,hinauf::ADV,向上,вылэ
704,hinauf::ADV,向上,вылӥе
705,hinauf::ADV,向上,выллань
706,überall::ADV,到处,котькытын
707,überall::ADV,到处,пасьтана
708,nicht::ADV,不,уз
709,ein wenig::ADV,一点儿,ичи
710,ein wenig::ADV,一点儿,ӧжыт
711,ein wenig::ADV,一点儿,огшап
712,kaum::ADV,几乎不,муртса
713,sehr::ADV,很,туж
714,sehr::ADV,很,лекос
715,so::ADV,如此,озьы
716,so::ADV,如此,тазьы
717,noch::ADV,还,на
718,nur::ADV,只,гинэ
719,schon::ADV,已经,ни
720,schon::ADV,已经,ини
721,wieder::ADV,又,нош
722,wieder::ADV,又,кайта
723,vor::PRP,在...面前,азьын
724,hinter::PRP,在...背后,берын
725,hinter::PRP,在...背后,бӧрсьы
726,unter::PRP,在...下面,улын
727,durch::PRP,穿过,пыр
728,durch::PRP,穿过,пыртӥ
729,neben::PRP,在...旁,бордын
730,zwischen::PRP,在...之间,вискын
731,wegen::PRP,由于,сэрен
732,dies::PRN,这,та
733,das::PRN,那,со
734,alles::PRN,一切,ваньмыз
735,ich::PRN,我,мон
736,du::PRN,你,тон
737,er::PRN,他,со
738,wir::PRN,我们,ми
739,ihr::PRN,你们,тӥ
740,sie::PRN,她,соос
741,was::FPRN,什么,ма
742,wer::FPRN,谁,кин
743,wo::FADV,哪里,кытын
744,wohin::FADV,去哪里,кытчы
745,wie::FADV,怎么,кызьы
746,warum::FADV,为什么,малы
747,wieviel::FNUM,多少,кӧня
