,Concept_ID,tr,ce
374,Gang::N,yürüyüş,лелар
375,Schritt::N,adım,гӏулч
376,Norden::N,kuzey,къилбаседе
377,Süden::N,güney,къилбе
378,Westen::N,batı,малхбузе
379,Osten::N,doğu,малхбале
380,Holz::N,ağaç,дечиг
381,Holz::N,tahta,дечиг
382,Brett::N,tahta,у
383,Platte::N,levha,у
384,Stütze::N,dayak,гӏopтоp
385,Stütze::N,destek,гӏopтоp
386,Stange::N,çubuk,гӏуркх
387,Stock::N,sopa,ӏаса
388,Stock::N,değnek,ӏаса
389,Stab::N,sırık,гӏаж
390,Stab::N,baston,гӏаж
391,Rohr::N,boru,биргӏа
392,Haus::N,ev,цӏа
393,Heim::N,ev,кхерч
394,Heim::N,yurt,кхерч
395,Ofen::N,soba,кхерч
396,Fußboden::N,taban,цӏенкъа
397,Fußboden::N,döşeme,цӏенкъа
398,Tisch::N,masa,шун
399,Stuhl::N,iskemle,гӏант
400,Stuhl::N,sandalye,гӏант
401,Wiege::N,beşik,ага
402,Bett::N,yatak,маьнга
403,Regal::N,raf,терхи
404,Kiste::N,sandık,яьшка
405,Fenster::N,pencere,кор
406,Tür::N,kapı,неӏ
407,Tor::N,kapı,ков
408,Zaun::N,çit,керт
409,Dach::N,dam,тхов
410,Dach::N,çatı,тхов
411,Leiter::N,merdiven,лами
412,Besen::N,süpürge,нуй
413,Spaten::N,bel,бел
414,Schaufel::N,kürek,аьшкал
415,Gabel::N,çatal,мӏара
416,Löffel::N,kaşık,ӏайг
417,Messer::N,bıçak,урс
418,Nagel::N,çivi,хьостам
419,Netz::N,ağ,бой
420,Haken::N,çengel,мӏара
421,Griff::N,kulp,
422,Griff::N,tutamak,
423,Schloss::N,kilit,чӏега
424,Bild::N,imaj,сурт
425,Bild::N,resim,сурт
426,Figur::N,şekil,
427,Figur::N,heykel,
428,Puppe::N,kukla,тайниг
429,Beutel::N,kese,гали
430,Beutel::N,torba,гали
431,Bündel::N,deste,кочар
432,Tasche::N,çanta,тӏоьрмиг
433,Eimer::N,kova,чийлик
434,Deckel::N,kapak,негӏар
435,Geschirr::N,kap kacak,пхьегӏа
436,Sack::N,torba,гали
437,Tasse::N,fincan,кад
438,Topf::N,tencere,яй
439,Kessel::N,kazan,яй
440,Essen::N,yemek,юург
441,Nahrung::N,gıda,кхача
442,Nahrung::N,besin,кхача
443,Speise::N,yemek,юург
444,Fleisch::N,et,жижиг
445,Getreide::N,tahıl,буьртиг
446,Getreide::N,hububat,буьртиг
447,Brei::N,ezme,xудар
448,Brot::N,ekmek,бепиг
449,Brot::N,ekmek,кхаллар
450,Scheibe::N,dilim,цастар
451,Fett::N,yağ,мохь
452,Butter::N,tereyağı,налха
453,Öl::N,yağ,даьтта
454,Öl::N,akar yağ,даьтта
455,Salz::N,tuz,туьха
456,Suppe::N,çorba,чорпа
457,Honig::N,bal,моз
458,Milch::N,süt,шура
459,Tee::N,çay,чай
460,Leder::N,deri,цӏока
461,Leder::N,meşin,цӏока
462,Wolle::N,yün,тӏapгӏa
463,Stoff::N,kumaş,кӏади
464,Nadel::N,iğne,маха
465,Faden::N,tire,тай
466,Faden::N,iplik,тай
467,Knopf::N,düğme,нуьйда
468,Knoten::N,düğüm,шад
469,Farbe::N,boya,сир
470,Farbe::N,boya,басар
471,Kleidung::N,giyim,бедар
472,Hemd::N,gömlek,коч
473,Kragen::N,yaka,кач
474,Ärmel::N,yen,пхьош
475,Ärmel::N,elbise kolu,пхьош
476,Hose::N,pantolon,хеча
477,Gürtel::N,kuşak,доьхка
478,Mütze::N,bere,куй
479,Mütze::N,kasket,куй
480,Schuh::N,kundura,мача
481,Schuh::N,ayakkabı,мача
482,Stiefel::N,çizme,этка
483,Ring::N,yüzük,чӏуг
484,Band::N,bağ,лента
485,Band::N,şerit,лента
486,Kamm::N,tarak,ехк
487,Spiegel::N,ayna,куьзга
488,Riemen::N,kayış,доьхка
489,Schnur::N,ip,муш
490,Schnur::N,sicim,муш
491,Leine::N,kayış,кочатосу доьхка
492,Decke::N,örtü,юргӏа
493,Decke::N,yorgan,юргӏа
494,Kissen::N,yastık,гIайба
495,Tuch::N,bez,исхар
496,Handtuch::N,havlu,гата
497,Kraft::N,güç,гӏора
498,Kraft::N,kuvvet,гӏора
499,Stärke::N,kuvvet,гӏап
500,Gesundheit::N,sağlık,могашалла
501,Krankheit::N,hastalık,цамгар
502,Schmerz::N,ağrı,лазар
503,Schmerz::N,sancı,лазар
504,Wunde::N,yara,чов
505,Fieber::N,ateş,xорша
506,Arznei::N,ilâç,молха
507,Brücke::N,köprü,тӏай
508,Brunnen::N,kuyu,гӏу
509,Brunnen::N,çeşme,гӏу
510,Weide::N,otlak,дак
511,Pfad::N,patika,тача
512,Pfad::N,keçiyolu,тача
513,Weg::N,yol,некъ
514,Straße::N,yol,урам
515,Straße::N,cadde,урам
516,Dorf::N,köy,юрт
517,Stadt::N,kent,гӏала
518,Stadt::N,şehir,гӏала
519,Brief::N,mektup,кехат
520,Buch::N,kitap,жайна
521,Buchstabe::N,harf,элп
522,Zeitung::N,gazete,газет
523,Leben::N,hayat,дахар
524,Tod::N,ölüm,далар
525,Tod::N,ölüm,ӏожалла
526,Grab::N,kabir,каш
527,Kirche::N,kilise,килс
528,Sünde::N,günah,къа
529,Gott::N,tanrı,дела
530,Arbeiter::N,işçi,белхало
531,Chef::N,şef,хьаькам
532,Chef::N,müdür,хьаькам
533,Meister::N,usta,говзанча
534,Arzt::N,hekim,лор
535,Arzt::N,doktor,лор
536,Lehrer::N,hoca,хьехархо
537,Lehrer::N,öğretmen,хьехархо
538,Geld::N,para,aхча
539,Geschäft::N,ticaret,туька
540,Laden::N,dükkân,туька
541,Preis::N,fiyat,мах
542,Ware::N,mal,хlума
543,Nutzen::N,fayda,пайда
544,Reichtum::N,servet,хьал
545,Reichtum::N,zenginlik,хьал
546,Welt::N,dünya,дуьне
547,Land::N,ülke,мохк
548,Staat::N,devlet,пачхьалкх
549,König::N,kral,паччахь
550,Macht::N,kudret,ӏедал
551,Macht::N,iktidar,ӏедал
552,Grenze::N,had,доза
553,Grenze::N,sınır,доза
554,Krieg::N,savaş,тӏом
555,Feind::N,düşman,мостагӏ
556,Gewalt::N,zor,гӏело
557,Gewalt::N,cebir,гӏело
558,Kampf::N,savaş,къийсам
559,Bogen[Waffe]::N,yay,
560,Pfeil::N,ok,пха
561,Gewehr::N,tüfek,топ
562,Fehler::N,hata,гӏалат
563,Fehler::N,yanlış,гӏалат
564,Lüge::N,yalan,аьшпаш
565,Schaden::N,zarar,зен
566,Unglück::N,felâket,бала
567,Unglück::N,talihsizlik,бала
568,Schuld::N,suç,бехк
569,Schuld::N,kabahat,бехк
570,Alter::N,yaş,хан
571,Schluss::N,son,чакхе
572,Zeit::N,zaman,хан
573,Tag::N,gün,де
574,Morgen::N,sabah,ӏуьйре
575,Mittag::N,öğle,делкъе
576,Abend::N,akşam,суьйре
577,Nacht::N,gece,буьйса
578,Woche::N,hafta,кӏира
579,Monat::N,ay,бутт
580,Jahr::N,yıl,шо
581,Jahr::N,sene,шо
582,Frühling::N,ilkbahar,бӏаьсте
583,Sommer::N,yaz,аьхке
584,Herbst::N,güz,гуьйре
585,Herbst::N,sonbahar,гуьйре
586,Winter::N,kış,ӏа
587,Januar::N,ocak,январь
588,Februar::N,şubat,февраль
589,März::N,mart,март
590,April::N,nisan,апрель
591,Mai::N,mayıs,май
592,Juni::N,haziran,июнь
593,Juli::N,temmuz,июль
594,August::N,ağustos,август
595,September::N,eylül,сентябрь
596,Oktober::N,ekim,октябрь
597,November::N,kasım,ноябрь
598,Dezember::N,aralık,декабрь
599,Montag::N,pazartesi,оршот
600,Dienstag::N,salı,шинара
601,Mittwoch::N,çarşamba,кхаара
602,Donnerstag::N,perşembe,еара
603,Freitag::N,cuma,пӏераска
604,Samstag::N,cumartesi,шот
605,Sonntag::N,pazar,кӏиранде
606,groß::A,büyük,доккха
607,klein::A,ufak,кегий
608,klein::A,küçük,кегий
609,lang::A,uzun,еха
610,kurz::A,kısa,доца
611,breit::A,enli,шуьйра
612,breit::A,geniş,шуьйра
613,schmal::A,dar,готта
614,dicht::A,sık,луьста
615,dicht::A,yoğun,луьста
616,dick[Gegenstand]::A,kalın,стомма
617,dick[Gegenstand]::A,iri,стомма
618,dünn::A,ince,дуткъа
619,fein::A,ince,ховха
620,fein::A,narin,ховха
621,fest::A,sabit,чӏогӏа
622,fest::A,sağlam,чӏогӏа
623,flach::A,düz,чӏапа
624,flach::A,yassı,чӏапа
625,glatt::A,düz,шера
626,hart::A,katı,чӏогӏa
627,weich::A,yumuşak,кӏеда
628,rund::A,yuvarlak,горга
629,spitz::A,sivri,ира
630,scharf::A,keskin,ира
631,stumpf::A,kör,аьртa
632,schwer::A,ağır,деза
633,schön::A,güzel,хаза
634,heiß::A,kızgın,довха
635,warm::A,sıcak,довха
636,kalt::A,soğuk,шийла
637,kühl::A,serin,шийла
638,frisch::A,taze,керла
639,feucht::A,nemli,тӏуьна
640,feucht::A,rutubetli,тӏуьна
641,nass::A,yaş,тӏеда
642,nass::A,ıslak,тӏеда
643,trocken::A,kuru,eкъа
644,voll::A,dolu,дуьзна
645,voll::A,dolmuş,дуьзна
646,leer::A,boş,яьсса
647,offen::A,açık,диллина
648,geschlossen::A,kapalı,дӏакъевлина
649,geschlossen::A,kapalı,дӏачӏагӏдина
650,sauber::A,pak,цӏена
651,sauber::A,temiz,цӏена
652,schmutzig::A,pis,боьха
653,schmutzig::A,kirli,боьха
654,roh::A,çiğ,буьйда
655,reif::A,olgun,хилла
656,lecker::A,lezzetli,чоме
657,süß::A,tatlı,мерза
658,süß::A,şekerli,мерза
659,bitter::A,acı,къаьхьа
660,sauer::A,ekşi,муьста
661,hell::A,aydınlık,сирла
662,dunkel::A,karanlık,бодане
663,schwarz::A,kara,ӏаьржа
664,schwarz::A,siyah,ӏаьржа
665,weiß::A,ak,кӏайн
666,weiß::A,beyaz,кӏайн
667,rot::A,kırmızı,цӏен
668,gelb::A,sarı,можа
669,blau::A,mavi,сийна
670,grün::A,yeşil,баьццара
671,grau::A,boz,cира
672,grau::A,boz,мокха
673,bunt::A,renkli,къорза
674,billig::A,ucuz,дораха
675,teuer::A,pahalı,деза
676,wertvoll::A,değerli,мехала
677,blind::A,kör,бӏаьрзе
678,taub::A,sağır,къора
679,kräftig::A,dinç,нуьцкъала
680,kräftig::A,kuvvetli,нуьцкъала
681,stark::A,güçlü,зоьртала
682,stark::A,güçlü,нуьцкъала
683,stark::A,kuvvetli,зоьртала
684,stark::A,kuvvetli,нуьцкъала
685,schwach::A,zayıf,гӏорасиза
686,schwach::A,güçsüz,гӏорасиза
687,fett::A,şişman,дерстана
688,schlank::A,narin,куц долу
689,hübsch::A,güzel,хаза
690,hübsch::A,sevimli,хаза
691,böse::A,kötü,вон
692,dumm::A,aptal,сонта
693,faul::A,tembel,мало ен
694,fleißig::A,çalışkan,тӏера
695,geizig::A,cimri,пис
696,geizig::A,cimri,сутара
697,klug::A,zekî,хьекъале
698,klug::A,akıllı,хьекъале
699,geschickt::A,becerikli,тӏахъаьлла
700,lieb::A,sevimli,хьоме
701,lustig::A,neşeli,самукъане
702,sanft::A,nazik,кlеда
703,hungrig::A,aç,меца
704,krank::A,hasta,цомгуш долу
705,krank::A,rahatsız,цомгуш долу
706,nackt::A,çıplak,дерзана
707,traurig::A,kederli,самукъане воцу
708,traurig::A,üzüntülü,самукъане воцу
709,lebendig::A,canlı,дийна
710,gut::A,iyi,дика
711,schlecht::A,kötü,вон
712,richtig::A,doğru,нийса
713,schlimm::A,kötü,вон
714,wahr::A,doğru,бакъдолу
715,wahr::A,gerçek,бакъдолу
716,alt::A,eski,къена
717,neu::A,yeni,керла
718,ehemalig::A,önceki,хилла
719,alt[Lebewesen]::A,yaşlı,къена
720,jung::A,genç,къона
721,arm::A,fakir,къен
722,reich::A,zengin,хьоле
723,bekannt::A,bilinen,девзаш долу
724,berühmt::A,ünlü,цӏеяхана
725,berühmt::A,meşhur,цӏеяхана
726,fremd::A,yabancı,нехан
727,verschieden::A,ayrı,тайп-тайпанара
728,verschieden::A,farklı,тайп-тайпанара
729,nah::A,yakın,гергара
730,nah::A,bitişik,гергара
731,fern::A,uzak,гена
732,fern::A,uzak,генара
733,linker::A,sol,аьрру
734,rechter::A,sağ,аьтту
735,anderer::A,diğer,кхин
736,erster::A,ilk,хьалхара
737,erster::A,birinci,хьалхара
738,zweiter::A,ikinci,шолгIа
739,dritter::A,üçüncü,кхоалгӏа
740,letzter::A,son,тӏаьххьара
741,letzter::A,sonuncu,тӏаьххьара
742,allein::ADV,yalnız,цхьаъ
743,allein::ADV,tek başına,цхьаъ
744,auf einmal::ADV,birden,цу сохьтта
745,zusammen::ADV,beraber,цхьана
746,zusammen::ADV,birlikte,цхьана
747,lange::ADV,çok,дукха
748,lange::ADV,uzun,дукха
749,plötzlich::ADV,ansızın,цIеххьана
750,plötzlich::ADV,birdenbire,цIеххьана
751,sofort::ADV,hemen,цу сохьтта
752,sofort::ADV,derhal,цу сохьтта
753,später::ADV,daha sonra,тӏаьхьо
754,jetzt::ADV,şimdi,хӏинца
755,heute::ADV,bugün,тахана
756,morgen::ADV,yarın,кхана
757,bald::ADV,yakında,кеста
758,dann::ADV,sonra,тӏаккха
759,gestern::ADV,dün,селхана
760,einst::ADV,eskiden,цкъа
761,damals::ADV,o zamanlar,хӏетахьь
762,danach::ADV,sonradan,тӏаккха
763,danach::ADV,ondan sonra,тӏаккха
764,vorher::ADV,önce,хьалхa
765,vorher::ADV,önceden,хьалхa
766,zuerst::ADV,ilk önce,хьалха
767,einmal::ADV,bir defa,цкъа
768,manchmal::ADV,bazan,цкъаццкъа
769,oft::ADV,sık sık,кест-кеста
770,oft::ADV,çok defa,кест-кеста
771,immer::ADV,daima,даим
772,immer::ADV,her zaman,даим
773,niemals::ADV,asla değil,цкъа а
774,niemals::ADV,hiçbir zaman,цкъа а
775,hier::ADV,burada,кхузахь
776,hierhin::ADV,buraya,кхуза
777,von hier::ADV,buradan,кхузара
778,dort::ADV,orada,цигахь
779,dort::ADV,şurada,цигахь
780,dorthin::ADV,oraya,цига
781,dorthin::ADV,şuraya,цига
782,geradeaus::ADV,doğru,нийса дӏа
783,vorwärts::ADV,ileri,хьалха
784,rückwärts::ADV,geri,юха
785,zurück::ADV,geriye,юха
786,unten::ADV,aşağıda,лахахь
787,hinab::ADV,aşağıya,охьа
788,oben::ADV,yukarıda,лакхахь
789,hinauf::ADV,yukarı,хьала
790,hinauf::ADV,yukarıya,хьала
791,überall::ADV,her yerde,массанхьа
