,Concept_ID,lez,da
672,oft::ADV,гзаф вахтара,ofte
673,immer::ADV,гьамиша,altid
674,niemals::ADV,са чӏавузни,aldrig
675,niemals::ADV,са вахтундани,aldrig
676,hier::ADV,ина,her
677,hierhin::ADV,иниз,hid
678,hierhin::ADV,иниз,herhen
679,von hier::ADV,инай,herfra
680,dort::ADV,ана,der
681,dorthin::ADV,аниз,derhen
682,geradeaus::ADV,дуьз,lige ud
683,vorwärts::ADV,вилик,fremad
684,vorwärts::ADV,виликди,fremad
685,rückwärts::ADV,кьулухъ,baglæns
686,unten::ADV,агъада,nede
687,unten::ADV,агъада,forneden
688,hinab::ADV,агъуз,ned
689,hinab::ADV,агъуз,nedad
690,oben::ADV,винел,oppe
691,oben::ADV,винел,ovenpå
692,hinauf::ADV,виниз,op
693,hinauf::ADV,виниз,opad
694,überall::ADV,вирина,overalt
695,nicht::ADV,ваъ,ikke
696,ein wenig::ADV,са тӏимил,lidt
697,kaum::ADV,жизви,knap
698,kaum::ADV,жизви,næppe
699,sehr::ADV,лап,meget
700,so::ADV,икӏ,så
701,noch::ADV,гьеле,endnu
702,nur::ADV,анжах,kun
703,nur::ADV,анжах,bare
704,schon::ADV,хъувуна,alt
705,schon::ADV,хъувуна,allerede
706,schon::ADV,мадни дардиз,alt
707,schon::ADV,мадни дардиз,allerede
708,schon::ADV,мадни гуьтӏуьз,alt
709,schon::ADV,мадни гуьтӏуьз,allerede
710,schon::ADV,мадни гуьтӏуь я,alt
711,schon::ADV,мадни гуьтӏуь я,allerede
712,vergebens::ADV,нагьакь,forgæves
713,vergebens::ADV,нагьакьа,forgæves
714,vor::PRP,вилик,foran
715,vor::PRP,вилик,uden for
716,hinter::PRP,кьулухъ,bag
717,hinter::PRP,кьулухъ,bagved
718,unter::PRP,кӏаник,under
719,durch::PRP,арадай,gennem
720,durch::PRP,арадай,igennem
721,durch::PRP,-кай хкатна,gennem
722,durch::PRP,-кай хкатна,igennem
723,neben::PRP,патав,ved siden af
724,neben::PRP,мукьув,ved siden af
725,zwischen::PRP,ара,mellem
726,zwischen::PRP,арада,mellem
727,wegen::PRP,гъиляй,på grund af
728,dies::PRN,и,dette
729,dies::PRN,им,dette
730,das::PRN,а,det
731,das::PRN,ам,det
732,alles::PRN,вири,alt
733,alles::PRN,михьиз,alt
734,ich::PRN,за,jeg
735,ich::PRN,зун,jeg
736,du::PRN,вун,du
737,er::PRN,ам,han
738,er::PRN,гьа,han
739,wir::PRN,чун,vi
740,ihr::PRN,куьн,I
741,sie::PRN,абур,de
742,was::FPRN,вуч,hvad
743,wer::FPRN,вуж,hvem
744,wo::FADV,гьина,hvor
745,wohin::FADV,гьиниз,hvorhen
746,wie::FADV,гьикӏ,hvordan
747,warum::FADV,вучиз,hvorfor
748,wieviel::FNUM,шумуд,hvor meget
749,eins::NUM,са,én
750,zwei::NUM,кьвед,to
751,drei::NUM,пуд,tre
752,vier::NUM,кьуд,fire
753,fünf::NUM,вад,fem
754,sechs::NUM,ругуд,seks
755,sieben::NUM,ирид,syv
756,acht::NUM,муьжуьд,otte
757,neun::NUM,кӏуьд,ni
758,zehn::NUM,цӏуд,ti
759,elf::NUM,цӏусад,elleve
760,zwölf::NUM,цӏикьвед,tolv
761,zwanzig::NUM,къад,tyve
762,dreißig::NUM,къанницӏуд,tredive
763,vierzig::NUM,яхцӏур,fyrre
764,vierzig::NUM,яхцӏур,fyrretyve
765,fünfzig::NUM,яхцӏурни цӏуд,halvtreds
766,sechzig::NUM,пудкъад,tres
767,siebzig::NUM,пудкъанни цӏуд,halvfjerds
768,achtzig::NUM,кьудкъад,firs
769,neunzig::NUM,кьудкъанни цӏуд,halvfems
770,hundert::NUM,виш,hundrede
771,tausend::NUM,агъзур,tusind
772,und::CNJ,ва,og
773,oder::CNJ,я,eller
774,stehen::V,акъвазун,stå
775,sitzen::V,ацукьун,sidde
776,liegen::V,къаткун,ligge
777,hängen::V,куьрс хьун,hænge
778,werden::V,хьун,blive
779,passieren::V,хьун,ske
780,passieren::V,хьун,hænde
781,beginnen::V,башламиш хьун,begynde
782,enden::V,куьтягь хьун,ende
783,wechseln::V,дегиш хьун,veksle
784,aufgehen[Sonne]::V,экъечӏун,gå op
785,aufgehen[Sonne]::V,экъечӏун,stå op
786,untergehen[Sonne]::V,акӏун,gå ned
787,scheinen[Sonne]::V,ишигь гун,skinne
788,donnern::V,къукърумар авун,tordne
789,strömen::V,авахьун,strømme
790,fließen::V,авахьун,flyde
791,sich drehen::V,элкъуьн,dreje sig
792,schwanken::V,юзун,vakle
793,schwingen::V,галтад хьун,svinge
794,fallen::V,аватун,falde
795,brennen::V,кун,brænde
796,brennen::V,ккун,brænde
797,regnen::V,къун,regne
798,gefrieren::V,муркӏади кьун,fryse
799,tauen::V,цӏурун,tø
800,schmelzen::V,цӏурун,smelte
801,trocknen::V,кьурун,tørre
802,sieden::V,ругун,koge
803,faulen::V,кутӏун,rådne
804,verfaulen::V,чуьруьтмиш хьун,rådne
805,verfaulen::V,кутӏун,rådne
806,reißen::V,атӏун,briste
807,reißen::V,къазунун,briste
808,versinken::V,батмиш хьун,synke
809,versinken::V,батмиш хьун,synke ned
810,vergehen::V,алатун,forløbe
811,erscheinen::V,майдандиз акъатун,vise sig
812,verschwinden::V,квахьун,forsvinde
813,sinken::V,элекьун,synke
814,abnehmen::V,тӏимил хьун,aftage
815,abnehmen::V,гъвечӏи хьун,aftage
816,zunehmen::V,артух хьун,tiltage
817,steigen::V,хкаж хьун,stige
818,wachsen::V,экъечӏун,gro
819,wachsen::V,экъечӏун,vokse
820,glänzen::V,цӏарцӏар гун,glinse
821,funkeln::V,нур гун,tindre
822,lärmen::V,ван авун,larme
823,läuten::V,зенг ягъун,ringe
824,klingeln::V,зенг ягъун,ringe
825,klirren::V,зигринг авун,klirre
