,Concept_ID,tt,uz
446,Krankheit::N,хаста,kasallik
447,Krankheit::N,сырхау,kasallik
448,Schmerz::N,авырту,og'riq
449,Wunde::N,яра,yara
450,Wunde::N,җәрәхәт,yara
451,Fieber::N,бизгәк,bezgak
452,Arznei::N,дару,dori
453,Brücke::N,күпер,ko'prik
454,Brunnen::N,кое,buloq
455,Weide::N,утлавык,yaylov
456,Pfad::N,сукмак,dorojka
457,Weg::N,юл,yo'l
458,Straße::N,урам,ko'cha
459,Dorf::N,авыл,ovul
460,Stadt::N,шәһәр,shahar
461,Brief::N,хат,maktub
462,Buch::N,китап,kitob
463,Buchstabe::N,хәреф,harf
464,Zeitung::N,газет,gazet
465,Zeitung::N,газета,gazet
466,Leben::N,гомер,hayot
467,Leben::N,тормыш,hayot
468,Leben::N,тереклек,hayot
469,Tod::N,үлем,o'lim
470,Grab::N,гүр,go'r
471,Grab::N,кабер,go'r
472,Kirche::N,чиркәү,cherkov
473,Sünde::N,язык,gunoh
474,Sünde::N,гөнаһ,gunoh
475,Gott::N,алла,olloh
476,Gott::N,ходай,olloh
477,Arbeiter::N,эшче,ishchi
478,Chef::N,башлык,rais
479,Meister::N,оста,usta
480,Arzt::N,врач,hakim
481,Arzt::N,табиб,hakim
482,Lehrer::N,укытучы,muallim
483,Lehrer::N,мөгаллим,muallim
484,Geld::N,акча,pul
485,Geschäft::N,эш,savdo
486,Laden::N,кибет,do'kon
487,Laden::N,магазин,do'kon
488,Preis::N,бәя,baho
489,Preis::N,бәһа,baho
490,Ware::N,товар,mol
491,Nutzen::N,файда,foyda
492,Reichtum::N,байлык,boylik
493,Welt::N,дөнья,olam
494,Land::N,ил,o'lka
495,Staat::N,дәүләт,davlat
496,König::N,патша,qirol
497,Macht::N,хакимият,iqtidor
498,Grenze::N,чик,chegara
499,Krieg::N,сугыш,harb
500,Feind::N,дошман,dushman
501,Gewalt::N,көчләү,zo'rlik
502,Kampf::N,көрәш,kurash
503,Bogen[Waffe]::N,җәя,yoy
504,Pfeil::N,ук,o'q
505,Gewehr::N,мылтык,vintovka
506,Fehler::N,хата,xato
507,Lüge::N,ялган,yolg'on
508,Schaden::N,зыян,ziyon
509,Schaden::N,зарар,ziyon
510,Unglück::N,бәла,balo
511,Schuld::N,гаеп,ayb
512,Alter::N,яшь,yosh
513,Schluss::N,ахыр,tamom
514,Zeit::N,заман,vaqt
515,Tag::N,көн,kun
516,Morgen::N,иртә,saboh
517,Mittag::N,өйлә,kun tushlik
518,Abend::N,кич,oqshom
519,Nacht::N,төн,tun
520,Woche::N,атна,hafta
521,Monat::N,ай,oy
522,Jahr::N,ел,yil
523,Frühling::N,яз,bahor
524,Sommer::N,җәй,yoz
525,Herbst::N,көз,kuz
526,Herbst::N,көз,xazon
527,Winter::N,кыш,qish
528,Januar::N,гыйнвар,yanvar'
529,Februar::N,февраль,fevral'
530,März::N,март,mart
531,April::N,апрель,aprel'
532,Mai::N,май,may
533,Juni::N,июнь,iyun'
534,Juli::N,июль,iyul'
535,August::N,август,avgust
536,September::N,сентябрь,sentyabr'
537,Oktober::N,октябрь,oktyabr'
538,November::N,ноябрь,noyabr'
539,Dezember::N,декабрь,dekabr'
