,Concept_ID,lbe,sl
585,lang::A,лахъисса,dólg
586,kurz::A,кутӏасса,krátek
587,breit::A,уттасса,širòk
588,schmal::A,уттакӏюласса,ózek
589,dicht::A,ццунсса,góst
590,dick[Gegenstand]::A,ганзсса,dêbel
591,dünn::A,кӏюласса,tánek
592,fest::A,цӏакьсса,tŕden
593,fest::A,кьянкьасса,tŕden
594,flach::A,баягъисса,plán
595,flach::A,баягъисса,plòsk
596,flach::A,цӏубакъасса,plán
597,flach::A,цӏубакъасса,plòsk
598,flach::A,куртӏ дакъасса,plán
599,flach::A,куртӏ дакъасса,plòsk
600,glatt::A,дюрчӏусса,gládek
601,hart::A,кьянкьасса,tŕd
602,weich::A,кӏукӏлусса,mehák
603,rund::A,ккурккисса,okrógel
604,spitz::A,ярксса,šílast
605,spitz::A,дайлсса,šílast
606,spitz::A,мицӏ бусса,šílast
607,scharf::A,ярксса,óster
608,scharf::A,дайлсса,óster
609,scharf::A,мицӏ бусса,óster
610,stumpf::A,къуркъасса,tóp
611,stumpf::A,къуркъасса,skŕhan
612,schwer::A,кӏусса,têžek
613,schön::A,аьнтӏикӏасса,lép
614,schön::A,аьнтӏикӏасса,krásen
615,heiß::A,кӏирисса,vròč
616,warm::A,гъелисса,tôpel
617,kalt::A,дяркъусса,mŕzel
618,kalt::A,дяркъусса,hláden
619,kühl::A,дюхлулсса,hláden
620,frisch::A,цӏусса,svéž
621,feucht::A,атилсса,vlážen
622,feucht::A,хъавтусса,vlážen
623,nass::A,атилсса,móker
624,nass::A,хъавтусса,móker
625,trocken::A,кьавкьсса,súh
626,trocken::A,кьакьан бувсса,súh
627,voll::A,бувцӏусса,póln
628,leer::A,бачӏвасса,prázen
629,offen::A,тӏивтӏусса,odpŕt
630,geschlossen::A,лавкьусса,zapŕt
631,sauber::A,марцӏсса,číst
632,sauber::A,марцӏсса,líčen
633,schmutzig::A,чапалсса,umázan
634,roh::A,шакъавхьсса,suròv
635,reif::A,дирсса,zrèl
636,lecker::A,нахӏусса,okúsen
637,lecker::A,тӏааьнсса,okúsen
638,süß::A,нацӏусса,sládek
639,bitter::A,кьурчӏисса,grenák
640,sauer::A,туршсса,kísel
641,hell::A,чаннасса,svetèl
642,dunkel::A,цӏансса,temèn
