,Concept_ID,hy,sq
574,Macht::N,իշխանություն,fuqi
575,Macht::N,իշխանություն,pushtet
576,Grenze::N,սահման,kufi
577,Krieg::N,պատերազմ,luftë
578,Feind::N,թշնամի,armik
579,Gewalt::N,բռնություն,dhunë
580,Gewalt::N,սաստկություն,dhunë
581,Kampf::N,մարտ,luftim
582,Bogen[Waffe]::N,աղեղ,hark
583,Pfeil::N,նետ,shigjetë
584,Gewehr::N,հրացան,pushkë
585,Fehler::N,սխալ,gafë
586,Fehler::N,սխալ,gabim
587,Lüge::N,սուտ,gënjeshtër
588,Schaden::N,վնաս,dëm
589,Schaden::N,վնաս,zarar
590,Unglück::N,դժբախտություն,fatkeqësi
591,Schuld::N,պակասություն,faj
592,Alter::N,հասակ,moshë
593,Schluss::N,վերջ,fund
594,Schluss::N,վախճան,fund
595,Zeit::N,ժամանակ,kohë
596,Tag::N,օր,ditë
597,Morgen::N,առավոտ,mëngjes
598,Mittag::N,կեսօր,mesditë
599,Abend::N,երեկո,mbrëmje
600,Nacht::N,գիշեր,natë
601,Woche::N,շաբաթ,javë
602,Monat::N,ամիս,muaj
603,Jahr::N,տարի,vit
604,Frühling::N,գարուն,pranverë
605,Sommer::N,ամառ,verë
606,Herbst::N,աշուն,vjeshtë
607,Winter::N,ձմեռ,dimër
608,Januar::N,հունվար,janar
609,Februar::N,փետրվար,shkurt
610,März::N,մարտ,mars
611,April::N,ապրիլ,prill
612,Mai::N,մայիս,maj
613,Juni::N,հունիս,qershor
614,Juli::N,հուլիս,korrik
615,August::N,օգոստոս,gusht
616,September::N,սեպտեմբեր,shtator
617,Oktober::N,հոկտեմբեր,tetor
618,November::N,նոյեմբեր,nëntor
619,Dezember::N,դեկտեմբեր,dhjetor
620,Montag::N,երկուշաբթի,hënë
621,Dienstag::N,երեքշաբթի,martë
622,Mittwoch::N,չորեքշաբթի,mërkurë
623,Donnerstag::N,հինգշաբթի,enjte
624,Freitag::N,ուրբաթ,premte
625,Samstag::N,շաբաթ,shtunë
626,Sonntag::N,կիրակի,diel
627,groß::A,մեծ,madh
628,groß::A,խոշոր,madh
629,klein::A,պստիկ,vogël
630,klein::A,փոքրիկ,vogël
631,lang::A,երկար,gjatë
632,kurz::A,կարճ,shkurtër
633,breit::A,լայն,gjerë
634,schmal::A,նեղ,ngushtë
635,dicht::A,խիտ,dendur
636,dick[Gegenstand]::A,հաստ,trashë
637,dünn::A,բարակ,hollë
638,fein::A,նուրբ,imët
639,fest::A,ամուր,fortë
640,fest::A,պինդ,fortë
641,flach::A,տափակ,sheshtë
642,glatt::A,հարթ,rrafshët
