,Concept_ID,mdf,cy
488,Spiegel::N,ванома,drych
489,Riemen::N,шнань каркс,strap
490,Schnur::N,пикс,llinyn
491,Schnur::N,карькскя,llinyn
492,Leine::N,вядьме,tennyn
493,Decke::N,вельхкс,blanced
494,Decke::N,вельхкс,gwrthban
495,Kissen::N,тоду,clustog
496,Kissen::N,тоду,gobennydd
497,Tuch::N,руця́,sgarff
498,Handtuch::N,на́рдама,tywel
499,Handtuch::N,на́рдама,lliain sychu
500,Kraft::N,вий,grym
501,Stärke::N,вииши,nerth
502,Stärke::N,вииши,cryfder
503,Gesundheit::N,шумбраши́,iechyd
504,Krankheit::N,урма́,afiechyd
505,Krankheit::N,урма́,anhwylder
506,Krankheit::N,сярядема,afiechyd
507,Krankheit::N,сярядема,anhwylder
508,Schmerz::N,маряма,poen
509,Schmerz::N,маряма,gwayw
510,Wunde::N,керф,clwyf
511,Fieber::N,маштыкс,twymyn
512,Arznei::N,надо́бья,meddyginiaeth
513,Arznei::N,пъчка́фтома,meddyginiaeth
514,Brücke::N,седь,pont
515,Brunnen::N,эши,ffynnon
516,Weide::N,ванома васта,porfa
517,Pfad::N,ян,llwybr
518,Pfad::N,киня́,llwybr
519,Weg::N,ки,ffordd
520,Straße::N,ки,heol
521,Straße::N,ки,ffordd
522,Dorf::N,веле,pentref
523,Stadt::N,ош,tref
524,Brief::N,сёрма,llythyr
525,Buch::N,книга,llyfr
526,Buchstabe::N,бу́ква,llythyren
527,Zeitung::N,газе́та,papur newydd
528,Leben::N,эряф,bywyd
529,Leben::N,эряма,bywyd
530,Tod::N,кулома́,marwolaeth
531,Grab::N,калма,bedd
532,Kirche::N,це́рькав,eglwys
533,Sünde::N,пежеть,pechod
534,Sünde::N,муворкс,pechod
535,Gott::N,шкай,duw
536,Arbeiter::N,трудендай,gweithiwr
537,Arbeiter::N,работник,gweithiwr
538,Chef::N,азор,pennaeth
539,Chef::N,оцюня,pennaeth
540,Meister::N,мастяр,meistr
