,Concept_ID,ar,kl
231,Asche::N,رماد,arsat
232,Dreck::N,قذر,minguk
233,Eisen::N,حديد,savimineq
234,Eisen::N,حديد,saffiugassaq
235,Gold::N,ذهب,kuulti
236,Silber::N,فضة,siilviuvoq
237,Kohle::N,فحم,aamarsuit aamaruutissat
238,Glas::N,زجاج,igalaaq
239,Glas::N,زجاج,imertarfik
240,Glas::N,زجاج,igalaamineq
241,Lehm::N,طين,marraq
242,Sand::N,رمل,sioqqat
243,Mensch::N,إنسان,inuk
244,Mensch::N,إنسان,silamiu
245,Mann::N,رجل,angut
246,Frau::N,امرأة,arnaq
247,Kind::N,طفل,meeraq
248,Junge::N,ولد,nukappiaraq
249,Mädchen::N,بنت,arnannguaq
250,Familie::N,عائلة,ilaqutakka
251,Familie::N,عائلة,ilaqutariit
252,Großvater::N,جد,aatak
253,Großmutter::N,جدة,aanaq
254,Eltern::N,أبوان,angajoqqaat
255,Eltern::N,والدان,angajoqqaat
256,Vater::N,أب,ataata
257,Vater::N,أب,ataataq
258,Mutter::N,أم,anaana
259,Sohn::N,إبن,erneq
260,Tochter::N,بنت,panik
261,Tochter::N,إبنة,panik
262,Bruder::N,أخ,ani
263,Bruder::N,أخ,aqqaluk
264,Bruder::N,أخ,qatanngut
265,Bruder::N,شقيق,ani
266,Bruder::N,شقيق,aqqaluk
267,Bruder::N,شقيق,qatanngut
268,Schwester::N,أخت,naja
269,Schwester::N,أخت,aleqa
270,Schwester::N,أخت,qatanngut
271,Onkel::N,عم,akkak
272,Tante::N,عمة,aja
273,Tante::N,عمة,ajak
274,Tante::N,عمة,atsak
275,Ehemann::N,زوج,ui
276,Ehefrau::N,زوجة,nuliaq
277,Freude::N,فرح,tipaatsussuseq
278,Freude::N,سرور,tipaatsussuseq
279,Gelächter::N,قهقهة,illaq
280,Glück::N,سعادة,usornaat
281,Glück::N,سعادة,usornarsuseq
282,Kummer::N,غم,
283,Wunsch::N,منية,kissaat
284,Lust::N,شهوة,illigussuseq
285,Lust::N,شهوة,piummaseq
286,Geist::N,روح,anerneq
287,Geist::N,روح,toornaq
288,Gedanke::N,فكرة,isumassaq
289,Gedächtnis::N,ذاكرة,eqqaamannissuseq
290,Verstand::N,عقل,isuma
291,Verstand::N,عقل,sianissut
292,Verstand::N,عقل,misigissut
293,Verstand::N,عقل,sianissuseq
294,Verstand::N,عقل,silaqassuseq
295,Sinn::N,معنى,isuma
296,Grund::N,سبب,patsit
297,Wahrheit::N,حقيقة,sallusuissut
298,Gespräch::N,محادثة,
299,Märchen::N,خرافة,oqalualaarut
300,Märchen::N,خرافة,oqaluasaaq
301,Erzählung::N,قصة,oqaluttuaq
302,Erzählung::N,حكاية,oqaluttuaq
303,Nachricht::N,خبر,oqaassut
304,Nachricht::N,خبر,oqqersuut
305,Neuigkeit::N,خبر جديد,tusarnartaq
306,Name::N,اسم,ateq
