,Concept_ID,ta,sah
246,Märchen::N,நம்பத்தகாத கதை,остуоруйа
247,Erzählung::N,கதை,кэпсээн
248,Nachricht::N,செய்தி,биллэриллии
249,Neuigkeit::N,செய்தி,сонун
250,Name::N,பெயர்,аат
251,Rätsel::N,புதிர்,таабырын
252,Rede::N,பேச்சு,этии
253,Sprache::N,மொழி,тыл
254,Stimme::N,குரல்,куолас
255,Wort::N,வார்த்தை,тыл
256,Zeichen::N,குறி,бэлиэ
257,Ruf::N,அழைப்பு,ыҥырыы
258,Lärm::N,சத்தம்,айдаан
259,Laut::N,ஒலி,тыас
260,Ton::N,குரல்,дорҕоон
261,Lied::N,பாட்டு,ырыа
262,Ruhe::N,அமைதி,уу чуумпу
263,Leute::N,மக்கள்,дьон
264,Volk::N,மக்கள்,дьон
265,Volk::N,மக்கள்,норуот
266,Arbeit::N,வேலை,үлэ
267,Gast::N,விருந்தாளி,ыалдьыт
268,Geschenk::N,பரிசுப் பொருள்,бэлэх
269,Spiel::N,விளையாட்டு,оонньуу
270,Gesellschaft::N,சமுதாயம்,общество
271,Hilfe::N,உதவி,көмө
272,Freund::N,நண்பன்,доҕор
273,Kamerad::N,உடனிருப்பவன்,атас
274,Angelegenheit::N,செய்தி,дьыала
275,Anzahl::N,எண்ணிக்கை,ахсаан
276,Art::N,வகை,биис
277,Stück::N,துண்டம்,кырбас
278,Teil::N,பகுதி,ирээт
279,Hälfte::N,பாதி,аҥар
280,Kreis::N,வட்டம்,төгүрүк
281,Kreis::N,வட்டம்,төгүрүмтэ
282,Kreuz::N,சிலுவை,кириэс
283,Linie::N,கோடு,сурааһын
284,Strich::N,வாத நோய்,сурааһын
285,Abstand::N,இடைவெளி,арыт
286,Entfernung::N,தூரம்,ыраах
287,Gegend::N,வட்டாரம்,сир
288,Platz::N,வெற்றிடம்,арыт
289,Ort::N,இடம்,сир
290,Seite::N,பக்கம்,өрүт
291,Seite::N,பக்கம்,сирэй
292,Mitte::N,இடைப்பகுதி,орто
293,Gegenstand::N,உருப்படி,предмет
294,Sache::N,பொருள்,мал
295,Rand::N,தொங்கு,кытыы
296,Rand::N,தொங்கு,ойоҕос
297,Kante::N,விளிம்பு,кырыы
298,Ecke::N,மூலை,муннук
299,Spitze::N,முனை,чыпчаал
300,Ende::N,முடிவு,төбө
301,Loch::N,துளை,тэһэҕэс
302,Loch::N,துளை,дьөлөҕөс
303,Winkel::N,கோணம்,муннук
304,Muster::N,பாங்கு,оһуор
305,Größe::N,அளவு,кээмэй
306,Länge::N,நீளம்,уста
307,Höhe::N,உயரம்,үрдүк
308,Gewicht::N,எடை,ыйааһын
309,Menge::N,தொகை,ахсаан
310,Haufen::N,குவியல்,чөмчөх
311,Reihe::N,வரிசை,кэккэ
312,Boot::N,படகு,оҥочо
313,Ruder::N,துடுப்பு,эрдии
314,Schlitten::N,சகடையிலா வண்டி,сыарҕа
315,Ski::N,பனிச் சறுக்கல்,хайыһар
316,Lagerfeuer::N,மூட்டம்,кутаа
317,Last::N,பாரம்,ыарахан
318,Gang::N,நடை,хаамыы
319,Schritt::N,காலடி,хардыы
320,Norden::N,வடக்கு,хоту
321,Süden::N,தெற்கு,соҕуруу
322,Westen::N,மேற்கு திசை,арҕаа
323,Osten::N,கிழக்கு,илин
324,Holz::N,மரக்கட்டை,мас
325,Brett::N,பலகை,дуоска
326,Brett::N,பலகை,хаптаһын
327,Platte::N,பலகம்,билиитэ
328,Stütze::N,அடைப்புகன்,тулааһын
329,Stange::N,கம்பம்,ураҕас
330,Stock::N,குச்சி,мас
331,Stock::N,குச்சி,баалкы
332,Stab::N,கம்பு,ураҕас
333,Rohr::N,குழாய்,турба
334,Haus::N,வீடு,дьиэ
335,Heim::N,வீடு,дьиэ
336,Ofen::N,அடுப்பு,оһох
337,Fußboden::N,தரை,муоста
338,Tisch::N,மேசை,остуол
339,Stuhl::N,நாற்காலி,устуул
340,Wiege::N,தொட்டில்,биһик
341,Bett::N,படுக்கை,кырабаат
342,Regal::N,அலமாரி,долбуур
343,Kiste::N,பெட்டி,дьааһык
344,Fenster::N,சாளரம்,түннүк
345,Tür::N,கதவு,аан
346,Tor::N,வாசற்கதவு,аан
347,Zaun::N,வேலி,соппулуот
348,Dach::N,கூரை,кырыыса
349,Leiter::N,ஏணி,кирилиэс
350,Besen::N,விளக்குமாறு,миинньик
351,Spaten::N,மண்வெட்டி,күрдьэх
352,Schaufel::N,அடிதண்டா,күрдьэх
353,Gabel::N,முட்கரண்டி,биилкэ
354,Löffel::N,கரண்டி,луоска
355,Messer::N,கத்தி,быһах
356,Nagel::N,ஆணி,тоһоҕо
357,Netz::N,வலை,илим
358,Haken::N,கொக்கி,көхө
359,Griff::N,கைப்பிடி,ук
360,Griff::N,கைப்பிடி,тутаах
361,Schloss::N,பூட்டு,күлүүс
362,Bild::N,படம்,хартыына
363,Figur::N,எண்ணிக்கை,фигура
364,Puppe::N,பொம்மை,куукула
365,Beutel::N,பை,мөһөөччук
366,Bündel::N,பொதி,баайыы
367,Tasche::N,பை,суумка
368,Eimer::N,வாளி,биэдэрэ
369,Deckel::N,உறை,хаппах
370,Geschirr::N,பாத்திரம்,иһит
371,Sack::N,பை,куул
372,Tasse::N,கிண்ணம்,сэлиэнэй
373,Topf::N,பானை,көстүрүүҥкэ
374,Kessel::N,கெண்டி,хочуол
375,Essen::N,உணவருந்துதல்,аһылык
376,Nahrung::N,உணவு,ас
377,Speise::N,உணவு வகை,аһылык
378,Fleisch::N,இறைச்சி,эт
379,Getreide::N,மக்காச்சோளம்,злактар
380,Brei::N,கஞ்சி,хааһы
381,Brot::N,ரொட்டி,килиэп
382,Scheibe::N,துண்டு,куһуок
383,Fett::N,கொழுப்பு,сыа
384,Butter::N,வெண்ணெய்,арыы
385,Öl::N,எண்ணெய்,арыы
386,Salz::N,உப்பு,туус
387,Suppe::N,ரசம்,мин
388,Honig::N,தேன்,мүөт
389,Milch::N,பால்,үүт
390,Tee::N,தெனீர்,чэй
391,Leder::N,பதம் செய்யப்பட்ட தோல்,тирии
392,Wolle::N,கம்பளி,түү
393,Stoff::N,துணி,таҥас
394,Nadel::N,ஊசி,иннэ
395,Faden::N,நூல்,сап
396,Knopf::N,பொத்தான்,тимэх
397,Knoten::N,முடிச்சு,түмүк
398,Farbe::N,வண்ணக் குழம்பு,кырааска
399,Kleidung::N,ஆடைகள்,таҥас
400,Hemd::N,சட்டை,ырбаахы
401,Kragen::N,கழுத்துப் பட்டை,саҕа
402,Ärmel::N,சட்டைக்கை,сиэх
403,Hose::N,கால்சட்டை,ыстаан
404,Hose::N,கால்சட்டை,бүрүүкэ
405,Gürtel::N,பெல்ட்,кур
406,Mütze::N,தொப்பி,бэргэһэ
407,Schuh::N,காலணி,бачыыҥка
408,Stiefel::N,காலணி,саппыкы
409,Ring::N,மோதிரம்,биһилэх
410,Band::N,நாடா,лиэнтэ
411,Kamm::N,கீப்பு,тараах
412,Spiegel::N,ஆடி,сиэркилэ
413,Spiegel::N,கண்ணாடி,сиэркилэ
414,Riemen::N,வார்,кур
