,Concept_ID,lez,ca
746,ein wenig::ADV,са тӏимил,una mica
747,kaum::ADV,жизви,a penes
748,sehr::ADV,лап,molt
749,so::ADV,икӏ,així
750,noch::ADV,гьеле,encara
751,nur::ADV,анжах,només
752,schon::ADV,хъувуна,ja
753,schon::ADV,мадни дардиз,ja
754,schon::ADV,мадни гуьтӏуьз,ja
755,schon::ADV,мадни гуьтӏуь я,ja
756,vergebens::ADV,нагьакь,en va
757,vergebens::ADV,нагьакьа,en va
758,vor::PRP,вилик,davānt
759,vor::PRP,вилик,enfront de
760,hinter::PRP,кьулухъ,darrera
761,unter::PRP,кӏаник,sota
762,durch::PRP,арадай,per
763,durch::PRP,-кай хкатна,per
764,neben::PRP,патав,al costāt de
765,neben::PRP,мукьув,al costāt de
766,zwischen::PRP,ара,entre
767,zwischen::PRP,арада,entre
768,wegen::PRP,гъиляй,a causa de
769,dies::PRN,и,aquest
770,dies::PRN,им,aquest
771,das::PRN,а,això
772,das::PRN,ам,això
773,alles::PRN,вири,tot
774,alles::PRN,михьиз,tot
775,ich::PRN,за,jo
776,ich::PRN,зун,jo
777,du::PRN,вун,tu
778,er::PRN,ам,ell
779,er::PRN,гьа,ell
780,wir::PRN,чун,nosaltres
781,ihr::PRN,куьн,vosaltres
782,sie::PRN,абур,ells
783,sie::PRN,абур,elles
784,was::FPRN,вуч,què
785,wer::FPRN,вуж,qui
786,wo::FADV,гьина,on
787,wohin::FADV,гьиниз,cap a on
788,wie::FADV,гьикӏ,com
789,warum::FADV,вучиз,per què
790,wieviel::FNUM,шумуд,quant
791,eins::NUM,са,u
792,zwei::NUM,кьвед,dos
793,drei::NUM,пуд,tres
794,vier::NUM,кьуд,quatre
795,fünf::NUM,вад,cinc
796,sechs::NUM,ругуд,sis
797,sieben::NUM,ирид,set
798,acht::NUM,муьжуьд,vuit
799,neun::NUM,кӏуьд,nou
800,zehn::NUM,цӏуд,deu
801,elf::NUM,цӏусад,onze
802,zwölf::NUM,цӏикьвед,dotze
803,zwanzig::NUM,къад,vint
804,dreißig::NUM,къанницӏуд,trenta
805,vierzig::NUM,яхцӏур,quaranta
806,fünfzig::NUM,яхцӏурни цӏуд,cinquanta
807,sechzig::NUM,пудкъад,seixanta
808,siebzig::NUM,пудкъанни цӏуд,setanta
