,Concept_ID,mhr,kl
415,Stange::N,лома́ш,kaaviffik
416,Stock::N,тоя́,ajaappissat
417,Stab::N,вара́,ajaappissat
418,Stab::N,кашта́,ajaappissat
419,Rohr::N,пуч,sullulik
420,Haus::N,пӧрт,illu
421,Heim::N,мӧ́ҥгӧ,
422,Ofen::N,комака́,kissarsuut
423,Fußboden::N,кӱва́р,nateq
424,Tisch::N,ӱсте́л,allattarfik
425,Stuhl::N,пӱке́н,issiavik
426,Stuhl::N,пӱке́н,issiaffik
427,Wiege::N,шепка́,uaasoq
428,Bett::N,ва́кшыш,nallavik
429,Regal::N,шӧ́рлык,ilisivik
430,Kiste::N,шо́ндык,sakissat
431,Kiste::N,шо́ндык,illerfiusaq
432,Kiste::N,я́шлык,sakissat
433,Kiste::N,я́шлык,illerfiusaq
434,Fenster::N,окна́,aki
435,Fenster::N,окна́,igalaaq
436,Tür::N,омса́,matu
437,Tor::N,капка́,isaaffik
438,Zaun::N,сава́р,saputit
439,Dach::N,леве́дыш,qaliaq
440,Leiter::N,тошка́лтыш,tummeqqat
441,Leiter::N,тошка́лтыш,majuartarfiit
442,Besen::N,ӱштерво́штыр,saligutit
443,Spaten::N,ко́льмо,nivaataq
444,Schaufel::N,сово́к,nivaataq
445,Schaufel::N,су́ско,nivaataq
446,Gabel::N,ви́лке,qilluaq
447,Gabel::N,ви́лке,ajassaatit
448,Löffel::N,па́не,alussaat
449,Löffel::N,совла́,alussaat
450,Messer::N,кӱ́зӧ,savik
451,Nagel::N,пуда́,kukik
452,Netz::N,вапш,anguffaseq
453,Haken::N,са́гыле,nissik
454,Haken::N,са́гыле,qarsorsaq
455,Haken::N,са́гыле,qarsorsartoq
456,Griff::N,кыл,ipi
457,Schloss::N,кӧгӧ́н,illussaarsuaq
458,Bild::N,сӱре́т,assiliaq
459,Figur::N,фигу́р,kisitsit
460,Puppe::N,курча́к,inuusaq
461,Beutel::N,меша́к,
462,Bündel::N,арша́ш,qilertaq
463,Tasche::N,сумка́,pooqattaq
464,Eimer::N,ведра́,
465,Deckel::N,ко́мдыш,matu
466,Geschirr::N,а́те,anut
467,Sack::N,куль,
468,Sack::N,меша́к,
469,Tasse::N,чу́кыр,tiitorfik
470,Tasse::N,чу́кыр,tiitorfiup ilorlia
471,Tasse::N,чашка́,tiitorfik
472,Tasse::N,чашка́,tiitorfiup ilorlia
473,Topf::N,ми́ске,qoqqoq
474,Kessel::N,под,uunnaavik
475,Essen::N,ко́чкыш,igaaq
476,Nahrung::N,ку́рго,neqissaq
477,Speise::N,ко́чкыш,nerisassat
478,Fleisch::N,шыл,neqi
479,Getreide::N,шу́рно,maannineq
480,Brei::N,пу́чымыш,
481,Brot::N,ки́нде,iffit
482,Brot::N,ки́нде,iffiaq
483,Scheibe::N,ка́тыш,igalaassiaq
484,Fett::N,коя́,tarnutissaq
485,Fett::N,коя́,tarnutissiaq
486,Butter::N,ӱй,punneq
487,Öl::N,ӱй,uulia
488,Salz::N,шинча́л,taratsut
489,Suppe::N,шӱр,qajoq
490,Honig::N,мӱй,tungusunnitsuut
491,Milch::N,шӧр,immuk
492,Tee::N,чай,tii
493,Tee::N,чай,teeq
494,Leder::N,сура́н,
495,Leder::N,шӱ́штӧ,
496,Wolle::N,пун,nuersagassiaq
497,Stoff::N,куэ́м,milliaq
498,Stoff::N,куэ́м,qarlissiaq
499,Stoff::N,посто́,milliaq
500,Stoff::N,посто́,qarlissiaq
501,Nadel::N,и́ме,meqqut
502,Faden::N,шӱ́ртӧ,ujalussiaq
503,Knopf::N,по́лдыш,attat
504,Knoten::N,пышке́м,akeroq
505,Knoten::N,пышке́м,qilerneq
506,Farbe::N,чия́,qalipaat
507,Kleidung::N,чие́м,atisat
508,Kleidung::N,чие́м,annoraaq
509,Kleidung::N,вурге́м,atisat
510,Kleidung::N,вурге́м,annoraaq
511,Hemd::N,ту́выр,ilupaaq
512,Kragen::N,сога́,qungasiinnaq
513,Ärmel::N,шокш,aaq
514,Hose::N,йола́ш,qarliit
515,Gürtel::N,ӱ́штӧ,qiterut
516,Gürtel::N,ӱ́штӧ,unngersaq
517,Mütze::N,упш,nasaq
518,Schuh::N,боти́нке,skuu
519,Schuh::N,боти́нке,ikernuk
520,Schuh::N,боти́нке,ateraasaq
521,Stiefel::N,кем,kamik
522,Ring::N,шерга́ш,assammiu
523,Band::N,тасма́,qilerutissiaq
524,Band::N,ле́нте,qilerutissiaq
525,Kamm::N,шерге́,illaagutit
526,Kamm::N,шерге́,illaajaatit pl.
527,Spiegel::N,вошто́нчыш,tarrarsuut
528,Riemen::N,кӱзанӱ́штӧ,allunaaq
529,Schnur::N,кере́м,kujaaq
530,Schnur::N,кере́м,allunaasaq
531,Schnur::N,кандыра́,kujaaq
532,Schnur::N,кандыра́,allunaasaq
533,Leine::N,вӱра́ҥ,aleq
534,Decke::N,леве́дыш,qipik
535,Decke::N,одея́л,qipik
536,Kissen::N,кӱ́пчык,akit
537,Tuch::N,шо́выч,qarlissiaq
538,Handtuch::N,со́лык,allarut
539,Handtuch::N,со́лык,allarterut
540,Kraft::N,вий,pissak
541,Kraft::N,куа́т,pissak
542,Stärke::N,куа́т,qerattarsaat
543,Stärke::N,карма́н,qerattarsaat
544,Gesundheit::N,таза́лык,peqqisusseq
545,Krankheit::N,чер,nappaat
546,Schmerz::N,ко́рштыш,anniaat
547,Wunde::N,су́сыр,iki
548,Fieber::N,йӱштыму́ж,nappaat qanimanartoq
549,Fieber::N,лихора́дке,nappaat qanimanartoq
550,Arznei::N,эм,imigassaq
551,Brücke::N,кӱва́р,ikaartarfik
552,Brunnen::N,вӱдвыне́м,tissaluttuliaq
553,Weide::N,нурше́р,masarsuk
554,Pfad::N,йолго́рно,aqqut
555,Pfad::N,сокма́к,aqqut
556,Weg::N,ко́рно,aggerfik
557,Straße::N,ко́рно,aqqusineq
558,Dorf::N,ял,nunaqarfik
559,Stadt::N,ола́,illorpaat
560,Stadt::N,ола́,illorpalik
561,Brief::N,се́рыш,allagarsiaq
562,Buch::N,книга́,atuakkat
563,Buch::N,книга́,mappersagaq
564,Buchstabe::N,буква́,naqinneq
565,Zeitung::N,газе́т,aviisi
566,Leben::N,и́лыш,inuussuseq
567,Tod::N,колыма́ш,toqu
568,Tod::N,колыма́ш,toquneq
569,Grab::N,шӱга́р,iliveq
570,Grab::N,шӱга́р,illissat
