,Concept_ID,sah,mhr
599,flach::A,хаптаҕай,лапка́
600,glatt::A,кылааккай,яклака́
601,hart::A,хатан,пе́ҥгыде
602,hart::A,кытаанах,пе́ҥгыде
603,weich::A,сымнаҕас,пу́шкыдо
604,rund::A,төгүрүк,йырге́шке
605,spitz::A,сытыы,коша́р
606,spitz::A,уһуктаах,коша́р
607,scharf::A,сытыы,пӱ́сӧ
608,stumpf::A,сыппах,токма́к
609,schwer::A,ыарахан,не́ле
610,schön::A,кыраһыабай,сы́лне
611,heiß::A,итии,шо́кшо
612,warm::A,ичигэс,ле́ве
613,kalt::A,тымныы,йӱ́штӧ
614,kühl::A,сөрүүн,юа́лге
615,kühl::A,сөрүүн,южгата́
616,frisch::A,ыраас,свежа́
617,frisch::A,сөрүүн,свежа́
618,frisch::A,тымныы,свежа́
619,feucht::A,сииктээх,вӱ́дыжгӧ
620,nass::A,инчэҕэй,нӧ́рӧ
621,trocken::A,кураан,ку́кшо
622,voll::A,толору,тич
623,leer::A,иччитэх,яра́
624,offen::A,аһаҕас,виш
625,geschlossen::A,бүтэй,пе́тырыме
626,geschlossen::A,бүтэй,тӱ́чмӧ
627,sauber::A,сэбэр,ару́
628,sauber::A,сэбэр,янда́р
629,schmutzig::A,кирдээх,лавыра́н
630,schmutzig::A,кирдээх,ла́выргыше
631,roh::A,сиикэй,кӱ́чымӧ
632,reif::A,буспут,лӧза́
633,reif::A,сиппит-хоппут,лӧза́
634,lecker::A,минньигэс,ту́тло
635,süß::A,минньигэс,ше́ре
636,bitter::A,аһыы,ко́чо
637,sauer::A,аһыы,шо́по
638,hell::A,сырдык,во́лгыдо
639,dunkel::A,хараҥа,пычке́мыш
640,schwarz::A,хара,шола́
641,weiß::A,үрүҥ,ош
642,weiß::A,маҥан,ош
643,rot::A,кыһыл,йошка́р
644,gelb::A,саһархай,сар
645,blau::A,күөх,ка́нде
646,grün::A,күөх,ужа́р
647,grün::A,от күөҕэ,ужа́р
648,grau::A,сиэрэй,сур
649,bunt::A,эриэн,олача́
650,billig::A,чэпчэки,шу́лдо
651,teuer::A,сыаналаах,ше́рге
652,wertvoll::A,сыаналаах,шергака́н
653,blind::A,хараҕа суох,со́кыр
654,taub::A,дьүлэй,соҥгыра́
655,kräftig::A,модун,куа́тле
656,stark::A,күүстээх,вия́н
657,schwach::A,мөлтөх,а́лдыме
658,fett::A,эмис,коя́
659,schlank::A,дьылҕан,йоштката́
660,schlank::A,дьылҕан,яжу́
661,schlank::A,дьыпсаҕай,йоштката́
662,schlank::A,дьыпсаҕай,яжу́
663,hübsch::A,олус кэрэ,чеве́р
664,hübsch::A,көрүөхтэн үчүгэй,чеве́р
665,böse::A,өһүөннээх,шы́де
666,dumm::A,акаары,аҥыра́
667,faul::A,нэс,його
668,fleißig::A,кыһамньылаах,ты́ршыше
669,geizig::A,иҥсэлээх,чаҥга́
670,klug::A,өйдөөх,уша́н
671,geschickt::A,наһаа дьоҕурдаах,уста́
672,lieb::A,тапталлаах,ала́л
673,lustig::A,көрдөөх,весела́
