,Concept_ID,sq,ce
703,sofort::ADV,menjëherë,цу сохьтта
704,sofort::ADV,aty për aty,цу сохьтта
705,später::ADV,më vonë,тӏаьхьо
706,jetzt::ADV,tash,хӏинца
707,heute::ADV,sot,тахана
708,morgen::ADV,nesër,кхана
709,bald::ADV,shpejt,кеста
710,bald::ADV,së shpejti,кеста
711,dann::ADV,pastaj,тӏаккха
712,gestern::ADV,dje,селхана
713,einst::ADV,dikur,цкъа
714,damals::ADV,atëherë,хӏетахьь
715,danach::ADV,mandej,тӏаккха
716,vorher::ADV,më parë,хьалхa
717,zuerst::ADV,së pari,хьалха
718,einmal::ADV,njëherë,цкъа
719,manchmal::ADV,nganjëherë,цкъаццкъа
720,oft::ADV,shpesh,кест-кеста
721,immer::ADV,përherë,даим
722,immer::ADV,gjithnjë,даим
723,niemals::ADV,kurrë,цкъа а
724,niemals::ADV,asnjëherë,цкъа а
725,hier::ADV,këtu,кхузахь
726,hierhin::ADV,knej,кхуза
727,von hier::ADV,që këtej,кхузара
728,von hier::ADV,prej këtej,кхузара
729,dort::ADV,aty,цигахь
730,dort::ADV,atje,цигахь
731,dorthin::ADV,anej,цига
732,geradeaus::ADV,drejt,нийса дӏа
733,vorwärts::ADV,mbroth,хьалха
734,vorwärts::ADV,përpara,хьалха
735,rückwärts::ADV,mbrapsht,юха
736,zurück::ADV,prapa,юха
737,zurück::ADV,mbrapsht,юха
738,unten::ADV,poshtë,лахахь
739,hinab::ADV,përposh,охьа
740,oben::ADV,lart,лакхахь
741,oben::ADV,sipër,лакхахь
742,hinauf::ADV,lart,хьала
743,hinauf::ADV,përpjetë,хьала
744,überall::ADV,kudo,массанхьа
745,nicht::ADV,s',ца
746,nicht::ADV,nuk,ца
747,ein wenig::ADV,një tis,кӏеззиг
748,kaum::ADV,mezi,халла
749,sehr::ADV,fort,вуно
750,sehr::ADV,shumë,вуно
751,so::ADV,ashtu,
752,so::ADV,kështu,
753,noch::ADV,ende,кхин
754,noch::ADV,akoma,кхин
755,nur::ADV,vetëm,бен ...ца
756,schon::ADV,tashmë,хӏинцале
757,wieder::ADV,përsëri,юха а
758,vergebens::ADV,kot,эрна
759,vor::PRP,para,хьалха
760,hinter::PRP,prapa,тӏехьа
761,hinter::PRP,mbrapa,тӏехьа
762,unter::PRP,nën,кIелахь
763,durch::PRP,nëpër,чекх
764,neben::PRP,pranë,юххе
765,neben::PRP,përbri,юххе
766,zwischen::PRP,midis,юккъехь
767,zwischen::PRP,ndërmjet,юккъехь
768,wegen::PRP,për,дуьхьа
769,dies::PRN,ky,и
770,dies::PRN,ky,иза
771,das::PRN,ky,и
772,das::PRN,ky,иза
773,alles::PRN,gjithçka,дерриг
774,ich::PRN,unë,cо
775,du::PRN,ti,хьо
776,er::PRN,ai,и
777,er::PRN,ai,иза
778,wir::PRN,ne,тхо
779,wir::PRN,ne,вай
780,ihr::PRN,ju,шу
781,sie::PRN,ata,уьш
782,was::FPRN,ç',хӏун
