,Concept_ID,,it
683,neu::A,,nuovo
684,ehemalig::A,,vecchio
685,ehemalig::A,,d'una_volta
686,alt[Lebewesen]::A,,anziano
687,jung::A,,giovane
688,arm::A,,pòvero
689,reich::A,,ricco
690,bekannt::A,,noto
691,bekannt::A,,conosciuto
692,berühmt::A,,famoso
693,berühmt::A,,cèlebre
694,fremd::A,,estràneo
695,fremd::A,,straniero
696,verschieden::A,,diverso
697,verschieden::A,,differente
698,nah::A,,vicino
699,nah::A,,propinquo
700,fern::A,,lontano
701,linker::A,,sinistro
702,rechter::A,,destro
703,anderer::A,,altro
704,erster::A,,primo
705,zweiter::A,,secondo
706,dritter::A,,terzo
707,letzter::A,,ùltimo
708,allein::ADV,,solo
709,allein::ADV,,da solo
710,auf einmal::ADV,,insieme
711,zusammen::ADV,,insieme
712,lange::ADV,,a lungo
713,plötzlich::ADV,,all'improvviso
714,sofort::ADV,,sùbito
715,sofort::ADV,,all'istante
716,später::ADV,,più tardi
717,jetzt::ADV,,ora
718,jetzt::ADV,,adesso
719,heute::ADV,,oggi
720,morgen::ADV,,domani
721,bald::ADV,,presto
722,bald::ADV,,tra poco
723,dann::ADV,,allora
724,gestern::ADV,,ieri
725,einst::ADV,,prima
726,einst::ADV,,un tempo
727,damals::ADV,,allora
728,danach::ADV,,poi
729,danach::ADV,,dopo
730,vorher::ADV,,prima
731,zuerst::ADV,,prima
732,zuerst::ADV,,dapprima
733,einmal::ADV,,una volta
734,manchmal::ADV,,talvolta
735,manchmal::ADV,,qualche volta
736,oft::ADV,,spesso
737,immer::ADV,,sempre
738,niemals::ADV,,non mai
739,hier::ADV,,qua
740,hierhin::ADV,,qua
741,von hier::ADV,,ne
742,von hier::ADV,,da qui
743,dort::ADV,,lì
744,dorthin::ADV,,là
745,geradeaus::ADV,,diritto
746,vorwärts::ADV,,avanti
747,rückwärts::ADV,,all'indietro
748,zurück::ADV,,di indietro
749,unten::ADV,,giù
750,unten::ADV,,sotto
751,hinab::ADV,,giù
752,hinab::ADV,,in giù
753,oben::ADV,,su
754,oben::ADV,,sopra
755,hinauf::ADV,,in sù
756,hinauf::ADV,,in alto
