,Concept_ID,mn,mdf
93,Wetter::N,тэнгэр,уша
94,Wetter::N,цаг уур,уша
95,Nebel::N,будан,тума́н
96,Wolke::N,үүл,ковол
97,Regen::N,бороо,пизем
98,Schnee::N,цас,лов
99,Eis::N,мөс,эй
100,Frost::N,хүйт,ке́льме
101,Kälte::N,хүйт,якшама
102,Hitze::N,халуун,пси
103,Raureif::N,цан,леш
104,Raureif::N,хяруу,леш
105,Regenbogen::N,солонго,а́тямъёнга
106,Donner::N,тэнгэрийн дуу,атям
107,Strömung::N,урсгал,шудема́
108,Tropfen::N,дусал,путькс
109,Tropfen::N,дусал,пътняфкс
110,Schaum::N,хөөс,шов
111,Schmutz::N,хир,ърда́з
112,Schmutz::N,шавхай,ърда́з
113,See::N,нуур,эрьхке
114,Sumpf::N,намаг,шяй
115,Sumpf::N,балчиг,шяй
116,Moor::N,хүлрийн намаг,шяй
117,Wiese::N,нуга,луга
118,Wald::N,ой,вирь
119,Hügel::N,болдог,губо́р
120,Hügel::N,болдог,пандоня
121,Anhöhe::N,гүвээ,губо́р
122,Berg::N,уул,панда
123,Gipfel::N,орой,пря
124,Gipfel::N,оргил,пря
125,Höhle::N,агуй,у́нда
126,Abhang::N,хүр,па́нда ша́ма
127,Quelle::N,булаг,эшиня
128,Bach::N,горхи,шудерькс
129,Fluss::N,гол,ляй
130,Fluss::N,мөрөн,ляй
131,Ufer::N,эрэг,търва́
132,Küste::N,эрэг,ляйтърва́
133,Festland::N,хуурай газар,мода
134,Meer::N,далай,моря
135,Meer::N,тэнгис,моря
136,Bucht::N,булан,ведьуське
137,Bucht::N,далайн тохой,ведьуське
138,Insel::N,арал,цёнга
139,Blume::N,цэцэг,панчф
140,Gras::N,өвс,тише
141,Gras::N,ногоо,тише
142,Wurzel::N,үндэс,юр
143,Wurzel::N,үндэс,ункс
144,Baum::N,мод,шуфта
145,Stamm::N,иш,ро́нга
146,Stamm::N,гуалин,ро́нга
147,Rinde::N,холтос,кер
148,Ast::N,гишүү,морга
149,Zweig::N,салаа,тарад
150,Blatt::N,навч,лопа
151,Birke::N,хус,ке́лу
152,Kiefer[Baum]::N,нарс,пиче
153,Weide[Baum]::N,уд,каль
154,Weide[Baum]::N,бургас,каль
155,Tanne::N,гачуур,куз
156,Horn::N,эвэр,сюра
157,Feder::N,өд,толга
158,Fell::N,арьс,кедь
159,Flügel::N,жигүүр,паця
160,Flügel::N,далавч,паця
161,Klaue::N,савар,кенже
162,Klaue::N,хумс,кенже
163,Kralle::N,савар,кенже
164,Schwanz::N,сүүл,пула
165,Ei::N,өндөг,ал
166,Nest::N,үүр,пиза
167,Bau::N,нүх,пиза
168,Bau::N,элүү,пиза
169,Tier::N,амьтан,жува́та
170,Tier::N,адгуус,жува́та
171,Herde::N,сүрэг,нал
172,Herde::N,сүрэг,стада
173,Kuh::N,үнээ,скал
174,Kuh::N,үнээ,тракс
175,Bulle::N,бух,бука
176,Pferd::N,морь,лишме
177,Pferd::N,адуу,лишме
178,Schaf::N,хонь,уча́
179,Schwein::N,гахай,тува
180,Hund::N,нохой,пине
181,Katze::N,муур,катоня
182,Katze::N,муур,аваката
183,Katze::N,мигуй,катоня
184,Katze::N,мигуй,аваката
185,Bär::N,баавгай,офта
186,Eichhörnchen::N,хэрэм,ур
187,Elch::N,хандгай,ся́рда
188,Fuchs::N,үнэг,келазь
189,Hase::N,туулай,ну́мол
190,Maus::N,хулгана,шеер
191,Wolf::N,чоно,върьгаз
192,Vogel::N,шувуу,нармонь
193,Schwarm::N,сүрэг,ко́вол
194,Schwarm::N,сүрэг,ме́швеле
195,Huhn::N,тахиа,сараз
196,Hahn::N,эр тахиа,а́тякш
197,Gans::N,галуу,маци
198,Adler::N,бүргэд,куцькан
199,Ente::N,нугас,яксярга
200,Eule::N,ууль,ко́рож
201,Kranich::N,тогоруу,ка́рга
202,Krähe::N,хэрээ,ва́рси
203,Kuckuck::N,хөхөө,ку́ку
204,Schwan::N,хун,ло́ксти
205,Fisch::N,загас,кал
206,Barsch::N,алгана,о́кунь
207,Hecht::N,цурхай,щу́ка
208,Schlange[Tier]::N,могой,куй
209,Wurm::N,өт,сукс
210,Wurm::N,хорхой,сукс
211,Spinne::N,аалз,унжа́
212,Ameise::N,шоргоолж,панжам
213,Laus::N,бөөс,си
214,Mücke::N,шумуул,ся́ське
215,Fliege::N,ялаа,кару
216,Schmetterling::N,эрвээхэй,ме́лав
217,Beere::N,жимсгэнэ,и́мож
218,Apfel::N,алим,марь
219,Pilz::N,мөөг,панга
220,Zwiebel::N,сонгино,шурьхкя́
221,Saat::N,тариа,видьмот
222,Korn::N,үр,сёра
223,Korn::N,мөхлөг,сёра
224,Heu::N,өвс,тише
225,Schale::N,хальс,кедь
226,Grube::N,алам,лотка
227,Grube::N,нүх,лотка
228,Falle::N,хавх,туфкс
229,Falle::N,хавх,кунда́ма
230,Falle::N,занга,туфкс
231,Falle::N,занга,кунда́ма
232,Schlinge::N,урхи,килькш
233,Spur::N,мөр,пильгоки́
234,Asche::N,үнс,кулу
235,Dreck::N,хир,ърда́з
236,Eisen::N,төмөр,кшни
237,Gold::N,алт,ока
238,Gold::N,алт,золота
239,Silber::N,мөнгө,сия́
240,Kohle::N,нүүрс,седь
241,Kohle::N,нүүрс,седьвальмя
242,Glas::N,шил,кля́нцек
243,Lehm::N,шавар,сёвонь
244,Sand::N,элс,шува́р
245,Mensch::N,хүн,ломань
