,Concept_ID,ga,myv
563,Weg::N,bealach,ки
564,Straße::N,bóthar,ки
565,Dorf::N,sráidbhaile,веле
566,Stadt::N,baile,ош
567,Stadt::N,cathair,ош
568,Brief::N,litir,сёрма
569,Buch::N,cín,книга
570,Buch::N,leabhar,книга
571,Buchstabe::N,litir,буква
572,Zeitung::N,nuachtán,газета
573,Leben::N,saol,эрямо
574,Leben::N,beatha,эрямо
575,Tod::N,bás,кулома
576,Grab::N,uaigh,калмо
577,Kirche::N,eaglais,церькова
578,Sünde::N,peaca,чумочи
579,Gott::N,dia,паз
580,Arbeiter::N,oibrí,робочей
581,Chef::N,saoiste,прявт
582,Chef::N,ceannasaí,прявт
583,Meister::N,máistir,кол тевень тенця
584,Arzt::N,lia,врач
585,Arzt::N,dochtúir,врач
586,Lehrer::N,oide,учитель
587,Lehrer::N,oide,тонавтыця
588,Lehrer::N,múinteoir,учитель
589,Lehrer::N,múinteoir,тонавтыця
590,Geld::N,airgead,ярмак
591,Geschäft::N,gnó,ладязь тев
592,Laden::N,siopa,лавка
593,Preis::N,praghas,питне
594,Ware::N,earra,миевкс
595,Ware::N,earra,рамавкс
596,Nutzen::N,tairbhe,паро
597,Nutzen::N,tairbhe,лезэ
598,Reichtum::N,rachmas,сюпавчи
599,Reichtum::N,saibhreas,сюпавчи
600,Welt::N,domhan,мир
601,Welt::N,domhan,мастор ланго
602,Land::N,tír,мастор
603,Staat::N,stát,государства
604,König::N,rí,король
605,Macht::N,cumhacht,азорксчи
606,Grenze::N,críoch,буен тешкс
607,Grenze::N,teorainn,буен тешкс
608,Krieg::N,cogadh,война
609,Feind::N,namhaid,душман
610,Gewalt::N,foréigean,нарьгамо
611,Kampf::N,troid,тюрема
612,Bogen[Waffe]::N,bogha,нал
613,Pfeil::N,saighead,нал
614,Gewehr::N,gunna,ружия
615,Gewehr::N,gunna,винтовка
616,Fehler::N,botún,ильведькс
617,Fehler::N,botún,ильведевкс
618,Fehler::N,meancóg,ильведькс
619,Fehler::N,meancóg,ильведевкс
620,Lüge::N,bréag,манчема
621,Lüge::N,bréag,кенгелема
622,Lüge::N,éitheach,манчема
623,Lüge::N,éitheach,кенгелема
624,Schaden::N,dochar,зыян
625,Schaden::N,damáiste,зыян
626,Unglück::N,drochrath,зыян
627,Schuld::N,locht,чумочи
628,Schuld::N,milleán,чумочи
629,Alter::N,aois,шка
630,Schluss::N,deireadh,пе
631,Zeit::N,am,шка
632,Zeit::N,am,пинге
633,Zeit::N,aimsir,шка
634,Zeit::N,aimsir,пинге
635,Tag::N,lá,чи
636,Morgen::N,maidin,валске
637,Mittag::N,nóin,чикуншка
638,Abend::N,tráthnóna,чокшнэ
639,Nacht::N,oíche,ве
640,Woche::N,seachtain,недля
641,Monat::N,mí,ков
642,Jahr::N,bliain,ие
643,Frühling::N,earrach,тундо
644,Sommer::N,samhradh,кизэ
645,Herbst::N,fómhar,сёксь
646,Winter::N,geimhreadh,теле
647,Januar::N,Eanáir,якшамков
648,Februar::N,Feabhra,февраль
649,März::N,Márta,март
650,April::N,Aibreán,апрель
651,Mai::N,Bealtaine,май
652,Juni::N,Meitheamh,июнь
653,Juli::N,Iúil,июль
654,August::N,Lúnasa,август
655,September::N,Meán Fómhair,сентября
656,Oktober::N,Deireadh Fómhair,октября
657,November::N,Samhain,ноября
658,November::N,Mí na Samhna,ноября
659,Dezember::N,Mí na Nollag,декабря
660,Montag::N,Luan,пондельник
661,Montag::N,Dé Luain,пондельник
662,Dienstag::N,Máirt,овторник
663,Dienstag::N,Dé Máirt,овторник
664,Mittwoch::N,Céadaoin,серёда
665,Mittwoch::N,Dé Céadaoin,серёда
666,Donnerstag::N,Déardaoin,цетьверьг
667,Freitag::N,Aoine,пеця
668,Freitag::N,Dé hAoine,пеця
669,Samstag::N,Satharn,субута
670,Samstag::N,Satharn,шлямочи
671,Samstag::N,Dé Sathairn,субута
672,Samstag::N,Dé Sathairn,шлямочи
673,Sonntag::N,Domhnach,недлячи
674,Sonntag::N,Dé Domhnaigh,недлячи
675,groß::A,mór,ине
676,groß::A,mór,покш
677,klein::A,beag,вишка
678,lang::A,fada,кувака
679,kurz::A,gearr,нурькине
680,kurz::A,gairid,нурькине
681,breit::A,leathan,келей
682,breit::A,fairsing,келей
683,schmal::A,cúng,теине
684,dicht::A,dlúth,тусто
685,dick[Gegenstand]::A,tiubh,эчке
686,dünn::A,caol,човине
687,dünn::A,tanaí,човине
688,fein::A,scáinte,човине
689,fein::A,fíneálta,човине
690,fest::A,daingean,кеме
691,flach::A,cothrom,лапужа
692,glatt::A,mín,валаня
693,glatt::A,sleamhain,валаня
694,hart::A,crua,калгодо
695,weich::A,bog,чевте
696,rund::A,cruinn,кеверь
697,spitz::A,gobach,пшти
698,spitz::A,biorach,пшти
699,scharf::A,géar,пшти
700,scharf::A,faobhrach,пшти
701,stumpf::A,maol,ношка
702,schwer::A,trom,стака
703,schön::A,álainn,мазый
704,heiß::A,te,пси
705,warm::A,te,лембе
706,kalt::A,fuar,якшамо
707,kühl::A,fionnuar,экше
708,frisch::A,úr,свежа
709,frisch::A,friseáilte,свежа
710,feucht::A,tais,летьке
711,nass::A,fliuch,начко
712,trocken::A,tirim,коське
713,voll::A,lán,пешксе
714,leer::A,folamh,чаво
715,offen::A,oscailte,панжадо
716,offen::A,oscailte,виде
717,geschlossen::A,dúnta,пекстазь
718,geschlossen::A,dúnta,сёлгозь
