,Concept_ID,mn,ml
331,Linie::N,шугам,രേഖ
332,Strich::N,зураас,പക്ഷാഘാതം
333,Abstand::N,зай,വിടവ്
334,Entfernung::N,зай,അകലം
335,Entfernung::N,хол ойр,അകലം
336,Gegend::N,хавь,പ്രദേശം
337,Gegend::N,газар,പ്രദേശം
338,Platz::N,зай,ഇടം
339,Platz::N,завсар,ഇടം
340,Ort::N,газар,സ്ഥലം
341,Ort::N,байр,സ്ഥലം
342,Seite::N,тал,വശം
343,Seite::N,этгээд,വശം
344,Mitte::N,төв,മധ്യസ്ഥാനം
345,Mitte::N,дунд,മധ്യസ്ഥാനം
346,Gegenstand::N,юм,സാധനം
347,Sache::N,үйл,വസ്തു
348,Sache::N,хэрэг,വസ്തു
349,Rand::N,зах,തൊങ്ങൽ
350,Rand::N,хөвөө,തൊങ്ങൽ
351,Kante::N,ирмэг,അറ്റം
352,Ecke::N,өнцөг,മൂല
353,Spitze::N,үзүүр,അഗ്രം
354,Ende::N,зах,അവസാനം
355,Ende::N,үзүүр,അവസാനം
356,Loch::N,цоорхой,ദ്വാരം
357,Loch::N,онгорхой,ദ്വാരം
358,Winkel::N,өнцөг,കോൺ
359,Muster::N,хээ,ക്രമം
360,Muster::N,угалз,ക്രമം
361,Größe::N,хэмжээ,വലുപ്പം
362,Länge::N,урт,നീളം
363,Höhe::N,өндөр,ഉയരം
364,Gewicht::N,жин,കട്ടി
365,Menge::N,тоо,അളവ്
366,Haufen::N,бөөн,കൂമ്പാരം
367,Reihe::N,эгнээ,വരി
368,Boot::N,завь,ബോട്ട്
369,Ruder::N,сэлүүр,പങ്കായം
370,Schlitten::N,чарга,ഉരുളില്ലാവണ്ടി
371,Ski::N,цана,ഹിമപാദുകം
372,Lagerfeuer::N,түүдэг,തീ
373,Last::N,ачаа,ഭാരം
374,Gang::N,явдал,നടത്തം
375,Schritt::N,алхам,ചുവട്
376,Norden::N,умар,വടക്ക്
377,Süden::N,урд,തെക്ക്
378,Süden::N,өмнө,തെക്ക്
379,Westen::N,өрнө,പടിഞ്ഞാറ്
380,Westen::N,баруун,പടിഞ്ഞാറ്
381,Osten::N,зүүн,കിഴക്ക്
382,Osten::N,дорно,കിഴക്ക്
383,Holz::N,мод,തടി
384,Brett::N,банз,ബോർഡ്
385,Platte::N,хавтан,തകിട്
386,Stütze::N,тулгуур,താങ്ങ്
387,Stütze::N,тулга,താങ്ങ്
388,Stange::N,сургааг,കമ്പ്
389,Stock::N,саваа,വടി
390,Stab::N,таяг,കുറുവടി
391,Rohr::N,хоолой,കുഴൽ
392,Haus::N,гэр,വീട്
393,Haus::N,байшин,വീട്
394,Heim::N,гэр,വീട്
395,Ofen::N,зуух,സ്റ്റൌ
396,Ofen::N,пийшин,സ്റ്റൌ
397,Fußboden::N,шал,തറ
398,Tisch::N,ширээ,മേശ
399,Stuhl::N,сандал,കസേര
400,Wiege::N,өлгий,തൊട്ടിൽ
401,Bett::N,ор,കിടക്ക
402,Regal::N,тавиур,ഷെൽഫ്
403,Kiste::N,авдар,പെട്ടി
404,Kiste::N,хайрцаг,പെട്ടി
405,Fenster::N,гэгээвч,ജനൽ
406,Tür::N,үүд,വാതിൽ
407,Tür::N,хаалга,വാതിൽ
408,Tor::N,хаалга,കവാടം
409,Zaun::N,хашаа,വേലി
