,Concept_ID,udm,hi
353,Kind::N,нуны,बच्चा
354,Kind::N,пинал,बाल
355,Kind::N,пинал,बच्चा
356,Junge::N,пи,लड़का
357,Mädchen::N,ныл,लड़की
358,Mädchen::N,ныл,कुमारी
359,Familie::N,семья,परिवार
360,Großvater::N,песятай,दादा
361,Großvater::N,пересь атай,दादा
362,Großmutter::N,песянай,नानी
363,Großmutter::N,пересь анай,नानी
364,Eltern::N,атай-анай,माँ-बाप
365,Eltern::N,атай-анай,माता-पिता
366,Eltern::N,бубы-мумы,माँ-बाप
367,Eltern::N,бубы-мумы,माता-पिता
368,Vater::N,айы,बाप
369,Vater::N,айы,पिता
370,Vater::N,атай,बाप
371,Vater::N,атай,पिता
372,Mutter::N,мумы,माँ
373,Mutter::N,мумы,माता
374,Sohn::N,пи,बेटा
375,Sohn::N,пи,पुत्र
376,Tochter::N,ныл,बेटी
377,Tochter::N,ныл,पुत्री
378,Bruder::N,агай,भाई
379,Bruder::N,агай,भ्राता
380,Schwester::N,апа,बहन
381,Schwester::N,апа,भगिनी
382,Schwester::N,сузэр,बहन
383,Schwester::N,сузэр,भगिनी
384,Onkel::N,агай,ताऊ
385,Onkel::N,агай,काका
386,Tante::N,апа,बूआ
387,Tante::N,апа,फूफी
388,Tante::N,апа,ख़ाला
389,Tante::N,кенак,बूआ
390,Tante::N,кенак,फूफी
391,Tante::N,кенак,ख़ाला
392,Ehemann::N,карт,पति
393,Ehemann::N,карт,शौहर
394,Ehefrau::N,кышно,बीवी
395,Freude::N,шумпотон,आनंद
396,Freude::N,шумпотон,प्रसन्नता
397,Gelächter::N,горем,हँसी
398,Gelächter::N,горем,क़हक़हा
399,Glück::N,шуд,आनंद
400,Glück::N,шуд,ख़ुशी
401,Kummer::N,кайгу,शोक
402,Kummer::N,кайгу,दुःख
403,Kummer::N,куректон,शोक
404,Kummer::N,куректон,दुःख
405,Wunsch::N,мылпотон,इच्छा
406,Wunsch::N,мылпотон,अभिलाषा
407,Lust::N,потон,चाह
408,Lust::N,потон,कामना
409,Geist::N,лул,जान
410,Geist::N,лул,प्राण
411,Gedanke::N,малпан,विचार
412,Gedächtnis::N,йырсазь,याददाश्त
413,Gedächtnis::N,йырсазь,स्मरण-शक्ति
414,Gedächtnis::N,тодэваён,याददाश्त
415,Gedächtnis::N,тодэваён,स्मरण-शक्ति
416,Verstand::N,йырвизь,समझ
417,Verstand::N,йырвизь,अक़्ल
418,Verstand::N,йырвизь,बुद्धि
419,Sinn::N,смысл,अर्थ
420,Grund::N,муг,वजह
421,Grund::N,муг,कारण
422,Grund::N,ньӧм,वजह
423,Grund::N,ньӧм,कारण
424,Wahrheit::N,зэм,सत्य
425,Wahrheit::N,зэм,सच्चाई
426,Wahrheit::N,шонер,सत्य
427,Wahrheit::N,шонер,सच्चाई
428,Gespräch::N,вераськон,चर्चा
429,Gespräch::N,вераськон,वार्ता
430,Gespräch::N,вераськон,बात-चीत
431,Märchen::N,выжыкыл,क़िस्सा
432,Erzählung::N,верос,कथा
433,Erzählung::N,верос,कहानी
434,Nachricht::N,ивор,सूचना
435,Nachricht::N,ивор,समाचार
436,Neuigkeit::N,выльивор,ख़बर
437,Neuigkeit::N,выльивор,समाचार
438,Name::N,ним,नाम
439,Rätsel::N,мадькыл,पहेली
440,Rede::N,верам,वचन
441,Rede::N,верам,भाषण
442,Sprache::N,кыл,भाषा
443,Sprache::N,кыл,ज़बान
444,Stimme::N,куара,स्वर
445,Stimme::N,куара,आवाज़
446,Wort::N,кыл,शब्द
447,Wort::N,кыл,लफ़्ज़
448,Zeichen::N,пус,निशान
449,Zeichen::N,тодмет,निशान
450,Ruf::N,ӧтён,पुकार
451,Ruf::N,ӧтён,आह्वान
452,Ruf::N,чортон,पुकार
453,Ruf::N,чортон,आह्वान
454,Lärm::N,ӵашетон,शोर
455,Lärm::N,ӵашетон,हुल्लड़
456,Laut::N,куара,स्वर
457,Laut::N,куара,ध्वनि
458,Ton::N,куара,सुर
459,Ton::N,куара,स्वर
460,Lied::N,кырӟан,गीत
461,Ruhe::N,чалмыт улон,आराम
462,Ruhe::N,чалмыт улон,ख़ामोशी
463,Leute::N,адямиос,लोग
464,Volk::N,калык,क़ौम
465,Volk::N,калык,प्रजा
466,Arbeit::N,уж,काम
467,Gast::N,куно,अतिथि
468,Gast::N,куно,मेहमान
469,Geschenk::N,салам,उपहार
470,Geschenk::N,салам,तोहफ़ा
471,Geschenk::N,кузьым,उपहार
472,Geschenk::N,кузьым,तोहफ़ा
473,Spiel::N,шудон,खेल
474,Spiel::N,шудон,क्रीड़ा
475,Gesellschaft::N,калык,साथ
476,Hilfe::N,юрттон,मदद
477,Hilfe::N,юрттон,सहायता
478,Freund::N,эш,मित्र
479,Freund::N,юлтош,मित्र
480,Kamerad::N,тодмо,साथी
481,Kamerad::N,тодмо,कामरेड
482,Angelegenheit::N,уж,बात
483,Angelegenheit::N,уж,मामला
484,Anzahl::N,лыд,तादाद
485,Anzahl::N,лыд,संख्या
486,Art::N,тус,तरह
487,Art::N,тус,क़िस्म
488,Stück::N,юдэс,फाँक
489,Stück::N,юдэс,टुकड़ा
490,Teil::N,люкет,भाग
491,Teil::N,люкет,हिस्सा
492,Hälfte::N,ӝыны,अर्धभाग
493,Kreis::N,котырес,चक्कर
494,Kreuz::N,крест,सलीब
495,Kreuz::N,крест,क्रूस
496,Linie::N,гож,लाइन
497,Strich::N,гож,लकीर
498,Abstand::N,вис,अंतर
499,Abstand::N,вис,फ़ासला
500,Abstand::N,кусып,अंतर
501,Abstand::N,кусып,फ़ासला
502,Entfernung::N,кусып,दूरी
503,Entfernung::N,кусып,फ़ासला
504,Gegend::N,инты,इलाक़ा
505,Platz::N,инты,जगह
506,Platz::N,инты,स्थान
507,Ort::N,инты,स्थल
508,Ort::N,инты,स्थान
509,Ort::N,места,स्थल
510,Ort::N,места,स्थान
511,Seite::N,пал,ओर
512,Seite::N,пал,तरफ़
513,Mitte::N,шор,बीच
514,Mitte::N,шор,मध्य
515,Gegenstand::N,арбери,चीज़
516,Gegenstand::N,арбери,पदार्थ
517,Sache::N,котыр,चीज़
518,Sache::N,котыр,वस्तु
519,Rand::N,дур,छोर
520,Rand::N,дур,उपांत
521,Rand::N,шаер,छोर
522,Rand::N,шаер,उपांत
523,Kante::N,дур,कोर
524,Kante::N,дур,किनारा
525,Ecke::N,сэрег,कोना
526,Ecke::N,сэрег,नुक्कड़
527,Spitze::N,йыл,नोक
528,Ende::N,пум,छोर
529,Ende::N,пум,सिरा
530,Loch::N,пась,छेद
531,Loch::N,пась,सूराख़
532,Winkel::N,сэрег,कोण
533,Winkel::N,сэрег,कोना
534,Muster::N,пужы,नमूना
535,Muster::N,пужы,डिज़ाइन
536,Größe::N,быдӟала,परिमाण
537,Größe::N,быдӟала,विस्तार
538,Länge::N,кузьдала,लंबाई
539,Höhe::N,ӝуждала,ऊँचाई
540,Höhe::N,ӝуждала,उच्चता
541,Gewicht::N,сектала,भार
542,Gewicht::N,сектала,वज़न
543,Gewicht::N,секытлык,भार
544,Gewicht::N,секытлык,वज़न
545,Menge::N,лыд,मात्रा
546,Menge::N,лыдпус,मात्रा
547,Haufen::N,люк,ढेर
548,Haufen::N,люк,अंबार
549,Reihe::N,чур,क़तार
550,Reihe::N,чур,पंक्ति
551,Boot::N,пыж,नाव
552,Boot::N,пыж,नौका
553,Boot::N,лодка,नाव
554,Boot::N,лодка,नौका
555,Ruder::N,полыс,चप्पू
556,Schlitten::N,додьы,बर्फ़-गाड़ी
557,Ski::N,куас,स्की
558,Lagerfeuer::N,тылскем,अलाव
559,Lagerfeuer::N,тылскем,कैंप-फ़ायर
560,Last::N,секыт,भार
561,Gang::N,ветлон,चाल
562,Schritt::N,вамыш,डग
563,Schritt::N,вамыш,क़दम
564,Norden::N,уйпал,उत्तर
565,Süden::N,лымшор,दक्खिन
566,Westen::N,шунды пуксён,पश्चिम
567,Osten::N,шунды ӝужан,पूरब
568,Holz::N,пу,काठ
569,Holz::N,пу,काष्ठ
570,Brett::N,пул,पटरा
571,Brett::N,пул,तख़्ता
572,Platte::N,плита,फलक
573,Platte::N,плита,तख़्ता
574,Stütze::N,пыкет,टेक
575,Stütze::N,пыкет,थूनी
576,Stange::N,пуӵ,छड़
577,Stange::N,пуӵ,बाँस
578,Stock::N,боды,लाठी
579,Stab::N,пуӵ,लग्गा
580,Stab::N,боды,लग्गा
581,Rohr::N,труба,नल
582,Haus::N,юрт,घर
583,Haus::N,юрт,मकान
584,Heim::N,корка,घर
585,Heim::N,корка,गृह
586,Ofen::N,гур,चूल्हा
587,Fußboden::N,выж,फ़र्श
588,Tisch::N,ӝӧк,मेज़
589,Stuhl::N,пукон,कुरसी
590,Wiege::N,кӧкы,पालना
591,Wiege::N,кӧкы,हिंडोला
592,Wiege::N,зыбка,पालना
593,Wiege::N,зыбка,हिंडोला
594,Bett::N,валес,खाट
595,Bett::N,валес,पलंग
596,Regal::N,ӝажы,शेल्फ़
597,Kiste::N,ящик,पेटी
598,Kiste::N,ящик,डिब्बा
599,Fenster::N,укно,खिड़की
600,Fenster::N,косяк,खिड़की
601,Tür::N,ӧс,द्वार
602,Tür::N,ӧс,दरवाज़ा
603,Tor::N,ӟезьы,फाटक
604,Zaun::N,забор,बाड़ा
605,Dach::N,липет,छत
606,Dach::N,липет,छप्पर
607,Leiter::N,падӟа,सीढ़ी
608,Besen::N,ӵужон,झाड़ू
609,Besen::N,ӵужон,बुहारी
610,Besen::N,исьнер,झाड़ू
611,Besen::N,исьнер,बुहारी
612,Spaten::N,лопатка,कुदाल
613,Schaufel::N,ютырон,बेलचा
614,Schaufel::N,ютырон,फावड़ा
615,Gabel::N,тэчы,काँटा
616,Gabel::N,вилка,काँटा
617,Löffel::N,пуньы,चम्मच
618,Messer::N,пурт,छुरा
619,Messer::N,пурт,चाक़ू
620,Nagel::N,кортӵог,कील
621,Nagel::N,кортӵог,मेख़
622,Netz::N,сеть,जाल
623,Haken::N,курик,अंकुश
624,Griff::N,ныд,मूठ
625,Griff::N,ныд,हत्था
626,Schloss::N,тунгон,ताला
627,Bild::N,суред,चित्र
628,Figur::N,фигура,मूर्ति
629,Puppe::N,мунё,पुतली
630,Puppe::N,мунё,गुड़िया
631,Beutel::N,пуйы,झोला
632,Bündel::N,керттэт,पुलिंदा
633,Tasche::N,пуйы,बेग
634,Tasche::N,пуйы,बस्ता
635,Tasche::N,сумка,बेग
636,Tasche::N,сумка,बस्ता
637,Eimer::N,ведра,बाल्टी
638,Deckel::N,ӵоксэт,ढक्कन
639,Geschirr::N,тусьты-пуньы,बरतन-भाँड़े
640,Sack::N,пуйы,बोरा
641,Tasse::N,ӵаша,प्याला
642,Topf::N,миска,देग़चा
643,Kessel::N,пурты,देग़
644,Kessel::N,пурты,बटलोई
645,Essen::N,сиськон,खाना
646,Nahrung::N,сион,भोजन
647,Speise::N,сиён,खाना
648,Speise::N,сиён,व्यंजन
649,Fleisch::N,сӥль,मांस
650,Fleisch::N,сӥль,गोश्त
651,Getreide::N,ю тысь,अनाज
652,Brei::N,ӝук,भरता
653,Brei::N,ӝук,दलिया
654,Brot::N,нянь,रोटी
655,Scheibe::N,шорем,कतला
656,Fett::N,кӧй,वसा
657,Fett::N,кӧй,चरबी
658,Butter::N,вӧй,मक्खन
659,Öl::N,вӧй,तेल
660,Salz::N,сылал,नमक
661,Suppe::N,шыд,सूप
662,Suppe::N,шыд,शोरबा
663,Honig::N,чечы,शहद
664,Milch::N,йӧл,दूध
665,Tee::N,чай,चाय
666,Leder::N,сурон,चमड़ा
667,Wolle::N,гон,ऊन
