,Concept_ID,lbe,bg
391,Regal::N,чӏаму,етажерка
392,Kiste::N,яшикӏ,кутия
393,Kiste::N,яшикӏ,сандък
394,Kiste::N,къурши,кутия
395,Kiste::N,къурши,сандък
396,Fenster::N,чӏавахьулу,прозорец
397,Tür::N,нуз,врата
398,Tür::N,нузкьун,врата
399,Tor::N,къапу,врата
400,Tor::N,дарваза,врата
401,Zaun::N,дайгьузанну,ограда
402,Dach::N,магъи,покрив
403,Dach::N,цӏиялу,покрив
404,Leiter::N,чуртту,стълба
405,Besen::N,чӏатлу,метла
406,Spaten::N,бил,лопата
407,Schaufel::N,чӏатӏа,лопата
408,Gabel::N,гьиссилу,вилица
409,Löffel::N,къуса,лъжица
410,Messer::N,чӏила,нож
411,Nagel::N,мяр,гвоздей
412,Netz::N,къери,мрежа
413,Haken::N,къича,кука
414,Haken::N,къича,закачалка
415,Griff::N,куяму,ръчка
416,Griff::N,куяму,дръжка
417,Schloss::N,кьункьула,брава
418,Schloss::N,кьункьула,ключалка
419,Bild::N,сурат,картина
420,Puppe::N,ссихьу,кукла
421,Beutel::N,чантай,кесия
422,Bündel::N,гьи,връзка
423,Bündel::N,къар,връзка
424,Eimer::N,бадра,кофа
425,Deckel::N,къапаза,капак
426,Deckel::N,къапаза,похлупак
427,Geschirr::N,пюрунчӏул,съдове
428,Geschirr::N,тӏахӏникӏичӏу,съдове
429,Sack::N,къап,чувал
430,Sack::N,дарваг,чувал
431,Tasse::N,пижан,чаша
432,Tasse::N,пинжан,чаша
433,Tasse::N,инкираччатӏи,чаша
434,Tasse::N,цинцилттал бушкъап,чаша
435,Topf::N,кӏункӏур,гърне
436,Topf::N,кӏункӏур,тенджера
437,Kessel::N,чаг,котел
438,Kessel::N,кӏункӏур,котел
439,Essen::N,дукия,ядене
440,Essen::N,дукин,ядене
441,Nahrung::N,дукра,храна
442,Speise::N,дукра,ястие
443,Fleisch::N,дикӏ,месо
444,Getreide::N,къама,зърнено храни
445,Brei::N,ккурч,каша
446,Brot::N,ччатӏ,хляб
447,Scheibe::N,парча,резен
448,Fett::N,аьгъушиву,мазнина
449,Butter::N,нагь,масло
450,Butter::N,лагаву,масло
451,Salz::N,цӏву,сол
452,Suppe::N,накь,супа
453,Honig::N,ницӏ,мед
454,Milch::N,накӏ,мляко
455,Tee::N,чяй,чай
456,Leder::N,бурчу,кожа
457,Wolle::N,ппал,вълна
458,Stoff::N,янна,плат
459,Stoff::N,янна,материал
460,Nadel::N,ххалаххи,игла
461,Faden::N,ххал,конец
462,Knopf::N,банд,копче
463,Knoten::N,къурхъ,възел
464,Farbe::N,сир,боя
465,Kleidung::N,янна,дрехи
466,Kleidung::N,янна,облекло
467,Kleidung::N,лаххия,дрехи
468,Kleidung::N,лаххия,облекло
469,Hemd::N,гьухъа,риза
470,Kragen::N,дарвач,яка
471,Ärmel::N,кахха,ръкав
472,Hose::N,хӏажак,панталони
473,Gürtel::N,мухӏлу,пояс
474,Gürtel::N,мухӏлу,колан
475,Mütze::N,кьяпа,каскет
476,Mütze::N,кьяпа,фуражка
