,Concept_ID,ja,cs
300,Angelegenheit::N,件,záležitost
301,Anzahl::N,数,počet
302,Art::N,種類,druh
303,Stück::N,部分,kus
304,Stück::N,部分,kousek
305,Teil::N,部分,díl
306,Teil::N,部分,část
307,Hälfte::N,半分,půl
308,Kreis::N,円,kruh
309,Kreuz::N,十字,kříž
310,Linie::N,線,linka
311,Strich::N,線,čára
312,Strich::N,線,čárka
313,Abstand::N,距離,vzdálenost
314,Entfernung::N,距離,vzdálenost
315,Gegend::N,辺,krajina
316,Gegend::N,地域,krajina
317,Platz::N,ゆとり,prostor
318,Ort::N,所,místo
319,Ort::N,場所,místo
320,Seite::N,横,strana
321,Mitte::N,真ん中,střed
322,Mitte::N,真ん中,prostředek
323,Gegenstand::N,物件,předmět
324,Sache::N,物,věc
325,Rand::N,端,kraj
326,Rand::N,端,okraj
327,Kante::N,縁,hrana
328,Ecke::N,角,roh
329,Spitze::N,先頭,hrot
330,Spitze::N,先頭,špička
331,Ende::N,端,konec
332,Loch::N,穴,díra
333,Winkel::N,片隅,kout
334,Muster::N,模様,vzor
335,Größe::N,大きさ,velikost
336,Länge::N,長さ,délka
337,Höhe::N,高さ,výška
338,Gewicht::N,重さ,váha
339,Menge::N,量,množství
340,Haufen::N,堆積,kupa
341,Haufen::N,堆積,hromada
342,Reihe::N,並び,řada
343,Reihe::N,並び,řádek
344,Boot::N,ボート,člun
345,Ruder::N,オール,veslo
346,Schlitten::N,そり,sáně
347,Ski::N,スキー,lyže
348,Lagerfeuer::N,篝火,táborák
349,Last::N,荷物,náklad
350,Last::N,荷物,břemeno
351,Gang::N,歩み,chůze
352,Gang::N,歩み,chodba
353,Schritt::N,歩,krok
354,Norden::N,北,sever
355,Süden::N,南,jih
356,Westen::N,西,západ
357,Osten::N,東,východ
358,Holz::N,木,dřevo
359,Holz::N,木材,dřevo
360,Brett::N,板,prkno
361,Platte::N,盤,deska
362,Stütze::N,支柱,opěra
363,Stange::N,棒,tyč
364,Stange::N,棒,tyčka
365,Stock::N,杖,hůlka
366,Stab::N,棒,hůl
367,Rohr::N,管,trubka
368,Haus::N,家,dům
369,Heim::N,家,domov
370,Ofen::N,ストーブ,kamna
371,Fußboden::N,床,podlaha
372,Tisch::N,机,stůl
373,Stuhl::N,椅子,židle
374,Wiege::N,揺籃,kolébka
375,Bett::N,ベッド,postel
376,Regal::N,棚,regál
377,Regal::N,棚,police
378,Kiste::N,箱,bedna
379,Fenster::N,窓,okno
380,Tür::N,戸,dveře
381,Tür::N,ドア,dveře
382,Tor::N,門,vrata
383,Zaun::N,垣根,plot
384,Dach::N,屋根,střecha
385,Leiter::N,梯子,žebřík
386,Besen::N,ほうき,koště
387,Besen::N,ほうき,smeták
388,Spaten::N,スコップ,rýč
389,Schaufel::N,シャベル,lopata
390,Gabel::N,フォーク,vidlička
391,Löffel::N,スプーン,lžíce
392,Messer::N,ナイフ,nůž
393,Nagel::N,釘,hřebík
394,Netz::N,網,síť
395,Haken::N,鉤,hák
396,Haken::N,フック,hák
397,Griff::N,取っ手,držadlo
398,Schloss::N,錠,zámek
399,Bild::N,絵,obraz
400,Figur::N,像,figura
401,Puppe::N,人形,panenka
402,Beutel::N,袋,pytlík
403,Bündel::N,束,svazek
404,Bündel::N,包み,svazek
405,Tasche::N,かばん,taška
406,Tasche::N,かばん,brašna
407,Eimer::N,バケツ,kýbl
408,Eimer::N,バケツ,vědro
409,Deckel::N,蓋,víko
410,Deckel::N,蓋,příklop
411,Geschirr::N,食器,nádobí
412,Sack::N,袋,pytel
413,Tasse::N,カップ,šálek
414,Topf::N,鍋,hrnec
415,Kessel::N,釜,kotel
416,Essen::N,食事,jídlo
417,Nahrung::N,食物,strava
418,Nahrung::N,食物,potrava
419,Speise::N,料理,jídlo
420,Fleisch::N,肉,maso
421,Getreide::N,麦,obilí
422,Getreide::N,穀物,obilí
423,Brei::N,粥,kaše
424,Brot::N,パン,chléb
425,Scheibe::N,枚,krajíc
426,Scheibe::N,切れ,krajíc
427,Fett::N,脂肪,tuk
428,Fett::N,脂肪,omastek
429,Butter::N,バター,máslo
430,Öl::N,油,olej
431,Salz::N,塩,sůl
432,Suppe::N,スープ,polévka
433,Honig::N,蜂蜜,med
434,Milch::N,牛乳,mléko
435,Tee::N,茶,čaj
436,Tee::N,お茶,čaj
437,Leder::N,革,kůže
438,Wolle::N,毛糸,vlna
439,Stoff::N,布,látka
440,Nadel::N,針,jehla
441,Faden::N,糸,nit
442,Knopf::N,ボタン,knoflík
443,Knoten::N,結び目,uzel
444,Farbe::N,ペンキ,barva
445,Kleidung::N,衣服,šaty
446,Kleidung::N,衣服,šatstvo
447,Hemd::N,シャツ,košile
448,Kragen::N,襟,límec
449,Ärmel::N,袖,rukáv
450,Hose::N,ズボン,kalhoty
451,Gürtel::N,帯,pás
452,Gürtel::N,帯,opasek
453,Gürtel::N,ベルト,pás
454,Gürtel::N,ベルト,opasek
455,Mütze::N,帽子,čepice
456,Schuh::N,靴,bota
457,Stiefel::N,ブーツ,holínka
458,Ring::N,輪,prsten
459,Band::N,リボン,pásek
460,Kamm::N,櫛,hřeben
461,Spiegel::N,鏡,zrcadlo
462,Riemen::N,緒,řemen
463,Schnur::N,紐,šňůra
464,Leine::N,綱,vodítko
465,Decke::N,掛け布団,pokrývka
466,Decke::N,掛け布団,přikrývka
467,Kissen::N,枕,polštář
468,Tuch::N,スカーフ,šátek
469,Handtuch::N,タオル,ručník
470,Kraft::N,力,síla
471,Stärke::N,強さ,síla
472,Gesundheit::N,健康,zdraví
473,Krankheit::N,病気,nemoc
474,Krankheit::N,病気,choroba
475,Schmerz::N,痛み,bolest
476,Wunde::N,傷,rána
477,Fieber::N,熱,horečka
478,Arznei::N,薬,lék
479,Brücke::N,橋,most
480,Brunnen::N,井戸,studna
481,Weide::N,牧場,pastva
482,Weide::N,牧場,pastvina
483,Pfad::N,小路,pěšina
484,Weg::N,道,cesta
485,Straße::N,街道,silnice
486,Dorf::N,村,vesnice
487,Stadt::N,町,město
488,Stadt::N,都市,město
