,Concept_ID,ru,he
328,Rohr::N,труба,צנור
329,Haus::N,дом,בית
330,Heim::N,дом,בית
331,Ofen::N,печь,תנור
332,Fußboden::N,пол,רצפה
333,Tisch::N,стол,שלחן
334,Stuhl::N,стул,כסא
335,Wiege::N,колыбель,ערש
336,Bett::N,постель,מטה
337,Regal::N,полка,מדף
338,Kiste::N,ящик,תבה
339,Kiste::N,ящик,ארגז
340,Fenster::N,окно,חלון
341,Tür::N,дверь,דלת
342,Tor::N,ворота,שער
343,Zaun::N,забор,גדר
344,Dach::N,крыша,גג
345,Leiter::N,лестница,סלם
346,Besen::N,метла,מטאטא
347,Spaten::N,лопата,את
348,Schaufel::N,совок,את
349,Gabel::N,вилка,מזלג
350,Löffel::N,ложка,כף
351,Messer::N,нож,סכין
352,Nagel::N,гвоздь,מסמר
353,Netz::N,сеть,רשת
354,Haken::N,крюк,וו
355,Haken::N,крюк,קרס
356,Griff::N,ручка,ידית
357,Schloss::N,замок,מנעול
358,Bild::N,картина,תמונה
359,Figur::N,фигура,פסל
360,Puppe::N,кукла,בבה
361,Beutel::N,мешок,שק
362,Bündel::N,связка,צרור
363,Tasche::N,сумка,שקית
364,Eimer::N,ведро,דלי
365,Deckel::N,крышка,מכסה
366,Geschirr::N,посуда,כלים
367,Sack::N,мешок,שק
368,Tasse::N,чашка,ספל
369,Topf::N,кастрюля,סיר
370,Kessel::N,котел,קנקן
371,Essen::N,еда,אכל
372,Essen::N,еда,ארוחה
373,Nahrung::N,пища,הזנה
374,Nahrung::N,пища,תזונה
375,Speise::N,блюдо,מאכל
376,Speise::N,блюдо,ארוחה
377,Speise::N,кушанье,מאכל
378,Speise::N,кушанье,ארוחה
379,Fleisch::N,мясо,בשר
380,Getreide::N,хлеб,דגן
381,Brei::N,каша,מחית
382,Brot::N,хлеб,לחם
383,Scheibe::N,ломоть,עגול
384,Scheibe::N,ломоть,פרוסה
385,Fett::N,жир,שמן
386,Butter::N,масло,חמאה
387,Öl::N,масло,שמן
388,Salz::N,соль,מלח
389,Suppe::N,суп,מרק
390,Honig::N,мед,דבש
391,Milch::N,молоко,חלב
392,Tee::N,чай,תה
393,Leder::N,кожа,עור
394,Wolle::N,шерсть,צמר
395,Stoff::N,ткань,בד
396,Stoff::N,ткань,אריג
397,Nadel::N,игла,מחט
398,Faden::N,нитка,חוט
399,Knopf::N,пуговица,כפתור
400,Knoten::N,узел,קשר
401,Farbe::N,краска,צבע
402,Kleidung::N,одежда,בגדים
403,Hemd::N,рубашка,חלצה
404,Kragen::N,воротник,צוארון
405,Ärmel::N,рукав,שרוול
406,Hose::N,брюки,מכנסים
407,Gürtel::N,пояс,חגורה
408,Mütze::N,шапка,כובע
409,Schuh::N,ботинок,נעל
410,Stiefel::N,сапог,מגף
411,Ring::N,кольцо,טבעת
412,Band::N,лента,סרט
413,Kamm::N,расческа,מסרק
414,Spiegel::N,зеркало,מראה
415,Riemen::N,ремень,רצועה
416,Schnur::N,веревка,חבל
417,Leine::N,поводок,מושכות
418,Decke::N,одеяло,שמיכה
419,Kissen::N,подушка,כרית
420,Tuch::N,платок,צעיף
421,Handtuch::N,полотенце,מגבת
422,Kraft::N,сила,כוח
423,Stärke::N,крепость,און
424,Gesundheit::N,здоровье,בריאות
425,Krankheit::N,болезнь,מחלה
426,Schmerz::N,боль,כאב
427,Wunde::N,рана,פציעה
428,Fieber::N,лихорадка,חם
429,Fieber::N,температура,חם
430,Arznei::N,лекарство,תרופה
431,Brücke::N,мост,גשר
432,Brunnen::N,колодец,באר
433,Weide::N,пастбище,אחו
434,Weide::N,пастбище,מרעה
435,Pfad::N,тропа,שביל
436,Pfad::N,тропа,מדרכה
437,Weg::N,путь,דרך
438,Weg::N,дорога,דרך
439,Straße::N,улица,כביש
440,Straße::N,дорога,כביש
441,Dorf::N,деревня,כפר
442,Stadt::N,город,עיר
443,Brief::N,письмо,מכתב
444,Buch::N,книга,ספר
445,Buchstabe::N,буква,אות
446,Zeitung::N,газета,עתון
447,Leben::N,жизнь,חיים
448,Tod::N,смерть,מות
449,Grab::N,могила,קבר
450,Kirche::N,церковь,כנסיה
451,Sünde::N,грех,חטא
452,Gott::N,бог,אל
453,Arbeiter::N,рабочий,פועל
454,Chef::N,начальник,ראש
455,Chef::N,начальник,מנהל
456,Meister::N,мастер,ממחה
457,Arzt::N,врач,רופא
458,Lehrer::N,учитель,מורה
459,Geld::N,деньги,כסף
460,Geschäft::N,занятие,עסקה
461,Laden::N,магазин,חנות
462,Preis::N,цена,מחיר
463,Ware::N,товар,סחורה
464,Nutzen::N,выгода,תועלת
465,Reichtum::N,богатство,עשר
466,Welt::N,мир,עולם
467,Land::N,страна,ארץ
468,Staat::N,государство,מדינה
469,König::N,король,מלך
470,Macht::N,власть,כוח
471,Grenze::N,граница,גבול
472,Krieg::N,война,מלחמה
473,Feind::N,враг,אויב
474,Gewalt::N,насилие,אלימות
475,Kampf::N,борьба,קרב
476,Kampf::N,борьба,לחימה
477,Bogen[Waffe]::N,лук,קשת
478,Pfeil::N,стрела,חץ
479,Gewehr::N,ружье,רובה
480,Fehler::N,ошибка,טעות
481,Lüge::N,ложь,שקר
482,Schaden::N,вред,נזק
483,Unglück::N,беда,מזל רע
484,Schuld::N,вина,אשמה
485,Alter::N,возраст,גיל
486,Schluss::N,окончание,סיום
487,Zeit::N,время,זמן
488,Tag::N,день,יום
489,Morgen::N,утро,בקר
490,Mittag::N,полдень,צהרים
491,Abend::N,вечер,ערב
492,Nacht::N,ночь,לילה
493,Woche::N,неделя,שבוע
494,Monat::N,месяц,חדש
495,Jahr::N,год,שנה
496,Frühling::N,весна,אביב
497,Sommer::N,лето,קיץ
498,Herbst::N,осень,סתו
499,Winter::N,зима,חרף
500,Januar::N,январь,ינואר
501,Februar::N,февраль,פברואר
502,März::N,март,מרץ
503,April::N,апрель,אפריל
504,Mai::N,май,מאי
505,Juni::N,июнь,יוני
506,Juli::N,июль,יולי
507,August::N,август,אוגוסט
508,September::N,сентябрь,ספטמבר
509,Oktober::N,октябрь,אוקטובר
510,November::N,ноябрь,נובמבר
511,Dezember::N,декабрь,דצמבר
512,Montag::N,понедельник,יום שני
513,Dienstag::N,вторник,יום שלישי
514,Mittwoch::N,среда,יום רביעי
515,Donnerstag::N,четверг,יום חמישי
516,Freitag::N,пятница,יום ששי
517,Samstag::N,суббота,יום שבת
518,Sonntag::N,воскресенье,יום ראשון
519,groß::A,большой,גדול
520,klein::A,маленький,קטן
521,lang::A,длинный,ארך
522,kurz::A,короткий,קצר
523,breit::A,широкий,רחב
524,schmal::A,узкий,צר
525,dicht::A,густой,צפוף
526,dick[Gegenstand]::A,толстый,עבה
527,dünn::A,тонкий,דק
528,fein::A,тонкий,מעדן
529,fest::A,крепкий,מוצק
530,flach::A,плоский,שטוח
531,glatt::A,гладкий,חלק
532,hart::A,твердый,קשיח
533,weich::A,мягкий,רך
534,rund::A,круглый,עגל
535,spitz::A,остроконечный,חד
536,scharf::A,острый,חד
537,stumpf::A,тупой,קהה
538,schwer::A,тяжелый,כבד
539,schön::A,красивый,יפה
540,heiß::A,жаркий,חם
541,warm::A,теплый,חם
542,kalt::A,холодный,קר
543,kühl::A,прохладный,צונן
544,frisch::A,свежий,טרי
545,feucht::A,влажный,לח
546,nass::A,мокрый,רטוב
547,trocken::A,сухой,יבש
548,voll::A,полный,מלא
549,voll::A,наполненный,מלא
550,leer::A,пустой,ריק
551,offen::A,открытый,פתוח
552,geschlossen::A,закрытый,סגור
553,sauber::A,чистый,נקי
554,schmutzig::A,грязный,מלכלך
555,roh::A,сырой,חי
556,reif::A,зрелый,בשל
557,lecker::A,вкусный,טעים
558,süß::A,сладкий,מתוק
559,bitter::A,горький,מר
560,sauer::A,кислый,חמוץ
561,hell::A,светлый,בהיר
562,dunkel::A,темный,עמום
563,schwarz::A,черный,שחר
564,weiß::A,белый,לבן
565,rot::A,красный,אדם
566,gelb::A,желтый,צהב
567,blau::A,синий,כחל
568,grün::A,зеленый,ירק
569,grau::A,серый,אפר
570,bunt::A,пестрый,צבעוני
571,billig::A,дешевый,זול
572,teuer::A,дорогой,יקר
573,wertvoll::A,ценный,יקר ערך
574,blind::A,слепой,עור
575,taub::A,глухой,חרש
576,kräftig::A,могучий,חסן
577,stark::A,сильный,חזק
578,schwach::A,слабый,חלש
579,fett::A,жирный,שמן
580,schlank::A,стройный,רזה
581,hübsch::A,прелестный,יפה תאר
582,böse::A,злой,רשע
583,dumm::A,глупый,טפש
584,faul::A,ленивый,עצלן
585,fleißig::A,прилежный,חרוץ
586,geizig::A,жадный,קמצן
587,klug::A,умный,נבון
588,klug::A,умный,פקח
589,geschickt::A,искусный,מימן
590,lieb::A,милый,יקר
591,lieb::A,милый,אהוב
592,lustig::A,веселый,עליז
593,sanft::A,нежный,עדין
594,hungrig::A,голодный,רעב
595,krank::A,больной,חולה
596,nackt::A,голый,ערום
597,traurig::A,грустный,עצוב
598,lebendig::A,живой,חי
599,gut::A,хороший,טוב
600,schlecht::A,плохой,גרוע
601,richtig::A,правильный,נכון
602,schlimm::A,отвратительный,רע
603,schlimm::A,мерзкий,רע
604,wahr::A,настоящий,אמתי
605,alt::A,старый,ישן
606,neu::A,новый,חדש
607,ehemalig::A,бывший,לשעבר
608,alt[Lebewesen]::A,пожилой,זקן
609,jung::A,молодой,צעיר
610,arm::A,бедный,עני
611,reich::A,богатый,עשיר
612,bekannt::A,знакомый,ידוע
613,berühmt::A,знаменитый,מפרסם
614,fremd::A,чужой,זר
615,verschieden::A,разный,שונה
616,nah::A,близкий,קרוב
617,fern::A,далекий,רחוק
618,linker::A,левый,שמאלי
619,rechter::A,правый,ימין
620,anderer::A,другой,אחר
621,erster::A,первый,ראשון
622,zweiter::A,второй,שני
623,dritter::A,третий,שלישי
624,letzter::A,последний,אחרון
625,allein::ADV,один,לבד
626,auf einmal::ADV,сразу,בו-זמנית
627,zusammen::ADV,вместе,ביחד
628,lange::ADV,долго,הרבה זמן
629,plötzlich::ADV,вдруг,לפתע
630,plötzlich::ADV,вдруг,פתאום
631,sofort::ADV,тотчас,מיד
632,später::ADV,позже,לאחר זמן
633,später::ADV,позже,יותר מאחר
634,jetzt::ADV,сейчас,עכשיו
635,heute::ADV,сегодня,היום
636,morgen::ADV,завтра,מחר
637,bald::ADV,скоро,בקרוב
638,dann::ADV,потом,אחר-כך
639,gestern::ADV,вчера,אתמול
