,Concept_ID,fa,kv
540,Macht::N,قدرت,власть
541,Macht::N,اختیار,власть
542,Grenze::N,مرز,граница
543,Krieg::N,جنگ,война
544,Feind::N,دشمن,враг
545,Gewalt::N,زور,
546,Gewalt::N,خشونت,
547,Kampf::N,نبرد,нярасьӧм
548,Kampf::N,نبرد,вермасьӧм
549,Kampf::N,مبارزه,нярасьӧм
550,Kampf::N,مبارزه,вермасьӧм
551,Bogen[Waffe]::N,کمان,лук
552,Pfeil::N,تیر,ньӧв
553,Gewehr::N,تفنگ,ружьё
554,Fehler::N,غلط,ошибка
555,Fehler::N,اشتباه,ошибка
556,Lüge::N,دروغ,ылӧтӧм
557,Lüge::N,دروغ,пӧрьялӧм
558,Schaden::N,آسیب,лёк
559,Schaden::N,خسارت,лёк
560,Unglück::N,بلا,пик
561,Unglück::N,بلا,оказзё
562,Schuld::N,گناه,вина
563,Schuld::N,تقصیر,вина
564,Alter::N,سن,
565,Alter::N,عمر,
566,Schluss::N,انتها,ком
567,Zeit::N,وقت,кад
568,Zeit::N,زمان,кад
569,Tag::N,روز,лун
570,Morgen::N,صبح,асыв
571,Mittag::N,ظهر,луншӧр кад
572,Abend::N,شب,рыт
573,Abend::N,عصر,рыт
574,Nacht::N,شب,ой
575,Woche::N,هفته,неделя
576,Monat::N,ماه,тӧлicь
577,Jahr::N,سال,год
578,Frühling::N,بهار,тулыс
579,Sommer::N,تابستان,гожум
580,Herbst::N,پاییز,ар
581,Winter::N,زمستان,тӧв
582,Januar::N,ژانویه,январ
583,Februar::N,فوریه,февраль
584,März::N,مارس,март
585,April::N,آوریل,апрель
586,Mai::N,مه,май
587,Juni::N,ژوئن,юнь
588,Juli::N,ژویه,юль
589,August::N,اوت,август
590,September::N,سپتامبر,сентяб
591,Oktober::N,اکتبر,октяб
592,November::N,نوامبر,нояб
593,Dezember::N,دسامبر,декаб
594,Montag::N,دو‌شنبه,вильлун
595,Dienstag::N,سه‌شنبه,мӧдӧдзлун
596,Mittwoch::N,چهار‌شنبه,шӧрлун
597,Donnerstag::N,پنج شنبه,нёльӧдзлун
598,Freitag::N,جمعه,витӧдзлун
599,Samstag::N,شنبه,пывсянлун
600,Sonntag::N,یکشنبه,кресення
601,groß::A,بزرگ,ыджыт
602,klein::A,کوچک,учӧтик
603,lang::A,بلند,кузь
604,kurz::A,کوتاه,дженыт
605,breit::A,پهن,ота
606,schmal::A,تنگ,векнит
607,schmal::A,نازک,векнит
608,dicht::A,چگال,тшӧк
609,dicht::A,انبوه,тшӧк
610,dick[Gegenstand]::A,ضخیم,кыз
611,dünn::A,نازک,вӧснит
612,fein::A,ریز,вӧснит
613,fein::A,باریک,вӧснит
614,fest::A,محکم,крепыт
615,flach::A,صاف,лапкӧса
616,flach::A,مسطح,лапкӧса
617,glatt::A,لیز,волькыт
618,hart::A,سفت,чӧрыт
619,weich::A,نرم,небыт
620,weich::A,ملایم,небыт
621,rund::A,گرد,гӧгрӧса
622,spitz::A,تیز,ёся
623,spitz::A,نوک‌تیز,ёся
624,scharf::A,تیز,лэчыт
625,scharf::A,برنده,лэчыт
626,stumpf::A,کند,ныж
627,schwer::A,سنگین,сьӧкыт
628,schön::A,زیبا,басӧк
629,heiß::A,داغ,жар
630,warm::A,گرم,шоныт
631,kalt::A,سرد,кӧдзыт
632,kühl::A,خنک,сайкыт
633,frisch::A,تازه,виль
634,feucht::A,مرطوب,вакодь
635,nass::A,تر,ва
636,nass::A,خیش,ва
637,trocken::A,خشک,кӧс
638,voll::A,پر,тыра
639,leer::A,خالی,тыртӧм
640,offen::A,باز,оссьӧм
641,geschlossen::A,بسته,игана
642,geschlossen::A,بسته,пӧдана
643,sauber::A,پاک,сӧдз
644,sauber::A,پاک,сӧстӧм
645,sauber::A,تمیز,сӧдз
646,sauber::A,تمیز,сӧстӧм
647,schmutzig::A,کثیف,нятьӧсь
648,schmutzig::A,آلوده,нятьӧсь
649,roh::A,خام,путӧм
650,reif::A,رسیده,кисьмалӧм
651,lecker::A,لذیذ,кӧра 
652,lecker::A,خوشمزه,кӧра 
653,süß::A,شیرین,чӧскыт
654,bitter::A,تلخ,курыт
655,sauer::A,ترش,шӧма 
656,hell::A,روشن,югыт
657,dunkel::A,تاریک,пемыт
658,schwarz::A,سیاه,сьӧд
659,weiß::A,سفید,чочком
660,rot::A,سرخ,гӧрд
661,rot::A,قرمز,гӧрд
662,gelb::A,زرد,веж
663,blau::A,آبی,лӧз
664,grün::A,سبز,веж
665,grau::A,طوسی,руд
666,grau::A,طوسی,бусӧй
667,grau::A,خاکستری,руд
668,grau::A,خاکستری,бусӧй
669,bunt::A,رنگارنگ,быдрӧма
670,billig::A,ارزان,донтӧм
671,teuer::A,گران,дона
