,Concept_ID,be,kk
287,Neuigkeit::N,навіна,жаңалық
288,Name::N,імя,ат
289,Name::N,імя,атау
290,Rätsel::N,загадка,жұмбақ
291,Rede::N,прамова,сөз
292,Sprache::N,мова,тіл
293,Stimme::N,голас,үн
294,Stimme::N,голас,әуен
295,Stimme::N,голас,дауыс
296,Wort::N,слова,сөз
297,Zeichen::N,знак,ишара
298,Ruf::N,кліч,айғай
299,Lärm::N,шум,айғай-шу
300,Lärm::N,шум,айғай-ұйғай
301,Laut::N,гук,дыбыс
302,Laut::N,гук,дауыс
303,Ton::N,гучанне,әуен
304,Lied::N,песня,ән
305,Lied::N,песня,жыр
306,Lied::N,песня,ән-жыр
307,Ruhe::N,спакой,тыныштық
308,Leute::N,людзі,кісілер
309,Volk::N,народ,халық
310,Arbeit::N,праца,еңбек
311,Arbeit::N,работа,еңбек
312,Gast::N,госць,қонақ
313,Gast::N,госць,мейман
314,Geschenk::N,падарунак,қадия
315,Spiel::N,гульня,ойын
316,Gesellschaft::N,таварыства,қауым
317,Gesellschaft::N,таварыства,жұртшылық
318,Hilfe::N,дапамога,жэрдем
319,Freund::N,друг,дос
320,Freund::N,сябар,дос
321,Kamerad::N,прыяцель,дос-жар
322,Angelegenheit::N,справа,жұмыс
323,Anzahl::N,колькасць,сан
324,Anzahl::N,колькасць,саны
325,Art::N,від,түр
326,Stück::N,кусок,тілім
327,Stück::N,кавалак,тілім
328,Teil::N,частка,үлес
329,Teil::N,частка,бөлшек
330,Hälfte::N,палова,жарты
331,Hälfte::N,палавіна,жарты
332,Kreis::N,круг,шеңбер
333,Kreuz::N,крыж,крест
334,Linie::N,лінія,сызық
335,Strich::N,рыса,сызық
336,Abstand::N,прамежак,ара
337,Abstand::N,прамежак,аралық
338,Entfernung::N,адлегласць,аралық
339,Gegend::N,мясцовасць,өңір
340,Platz::N,месца,орны
341,Ort::N,месца,орын
342,Seite::N,бок,жақ
343,Seite::N,бок,бүйір
344,Mitte::N,сярэдзіна,ортасы
345,Gegenstand::N,прадмет,зат
346,Gegenstand::N,прадмет,нәрсе
347,Sache::N,рэч,бұйым
348,Rand::N,край,шет
349,Rand::N,край,шеті
350,Kante::N,руб,қыр
351,Kante::N,руб,қыры
352,Kante::N,кант,қыр
353,Kante::N,кант,қыры
354,Ecke::N,вугал,қыры
355,Ecke::N,вугал,бұрыш
356,Spitze::N,кончык,ұшы
357,Ende::N,канец,аяқ
358,Ende::N,канец,соңы
359,Loch::N,дзірка,тесік
360,Winkel::N,вугал,мүйіс
361,Muster::N,узор,мәнер
362,Größe::N,памер,ауқым
363,Größe::N,памер,көлемдік
364,Länge::N,даўжыня,бой
365,Länge::N,даўжыня,ұзындық
366,Höhe::N,вышыня,жоғарылық
367,Höhe::N,вышыня,биіктік
368,Gewicht::N,вага,салмақ
369,Menge::N,колькасць,мөлшер
370,Haufen::N,куча,үйме
371,Haufen::N,куча,үйінді
372,Reihe::N,рад,сап
373,Boot::N,лодка,қайық
374,Ruder::N,вясло,ескек
375,Schlitten::N,сані,шана
376,Ski::N,лыжа,шаңғы
377,Lagerfeuer::N,вогнішча,алау
378,Last::N,цяжар,ауырлық
379,Last::N,цяжар,ауыр зат
380,Gang::N,ход,жүріс
381,Schritt::N,шаг,адым
382,Schritt::N,крок,адым
383,Norden::N,поўнач,солтүстік
384,Norden::N,поўнач,терістік
385,Süden::N,поўдзень,оңтүстік
386,Westen::N,захад,батыс
387,Osten::N,усход,күншығыс
388,Holz::N,дрэва,ағаш
389,Holz::N,дрэва,сүрек
390,Holz::N,драўніна,ағаш
391,Holz::N,драўніна,сүрек
392,Brett::N,дошка,тақта
393,Platte::N,пліта,тақта
394,Stütze::N,падпорка,тіреу
395,Stange::N,жэрдка,қада
396,Stock::N,палка,сойыл
397,Stab::N,шост,сырық
398,Rohr::N,труба,құбыр
399,Haus::N,дом,үй
400,Heim::N,дом,үйлі
401,Heim::N,дом,шаңырақ
402,Heim::N,хата,үйлі
403,Heim::N,хата,шаңырақ
404,Ofen::N,печ,ошақ
405,Ofen::N,печ,пеш
406,Fußboden::N,падлога,еден
407,Tisch::N,стол,үстел
408,Stuhl::N,стул,орындық
409,Stuhl::N,крэсла,орындық
410,Wiege::N,калыска,бесік
411,Bett::N,ложак,кереует
412,Bett::N,пасцель,кереует
413,Regal::N,паліца,сөре
414,Kiste::N,скрынка,жәшік
415,Fenster::N,акно,терезе
416,Tür::N,дзверы,есік
417,Tor::N,вароты,дарбаза
418,Zaun::N,агароджа,дуал
419,Dach::N,дах,шатыр
420,Leiter::N,лесвіца,саты
421,Leiter::N,лесвіца,басқыш
422,Besen::N,мятла,сыпырғыш
423,Spaten::N,лапата,күрек
424,Spaten::N,жалязняк,күрек
425,Schaufel::N,шуфлік,қалақ
426,Schaufel::N,лапатка,қалақ
427,Gabel::N,відэлец,аша
428,Gabel::N,відэлец,шанышқы
429,Löffel::N,лыжка,қасық
430,Messer::N,нож,пышақ
431,Nagel::N,цвік,мық
432,Nagel::N,цвік,шеге
433,Netz::N,сетка,керегекөз
434,Haken::N,крук,ілмек
435,Griff::N,ручка,сап
436,Griff::N,ручка,тұтқа
437,Schloss::N,замок,құлып
438,Schloss::N,замок,бекіткіш
439,Bild::N,карціна,сурет
440,Figur::N,фігура,тұлға
441,Puppe::N,лялька,қуыршақ
442,Beutel::N,мяшок,қапшық
443,Bündel::N,вязка,байлам
444,Tasche::N,торба,дорба
445,Eimer::N,вядро,шелек
446,Deckel::N,накрыўка,жапқыш
447,Geschirr::N,пасуда,ыдыс
448,Sack::N,мех,қап
449,Tasse::N,кубак,шыныаяқ
450,Topf::N,каструля,кәстрөл
451,Kessel::N,кацёл,қазан
452,Essen::N,ежа,ас
453,Nahrung::N,харч,ас
454,Nahrung::N,харч,тамақ
455,Speise::N,страва,тағам
456,Fleisch::N,мяса,ет
457,Getreide::N,збожжа,дәнді
458,Brei::N,каша,ботқа
459,Brot::N,хлеб,күлше
460,Scheibe::N,луста,тілім
461,Scheibe::N,скібка,тілім
462,Fett::N,тлушч,май
463,Butter::N,масла,май
464,Öl::N,алей,май
465,Salz::N,соль,тұз
466,Suppe::N,суп,көже
467,Honig::N,мёд,бал
468,Milch::N,малако,сүт
469,Tee::N,чай,шай
470,Tee::N,гарбата,шай
471,Leder::N,скура,көн
472,Wolle::N,воўна,жүн
473,Stoff::N,тканіна,мата
474,Stoff::N,тканіна,кездеме
475,Nadel::N,іголка,ине
476,Faden::N,нітка,жіп
477,Knopf::N,гузік,түйме
478,Knoten::N,вузел,түйін
479,Farbe::N,фарба,рең
480,Kleidung::N,адзенне,киім
481,Hemd::N,кашуля,жейде
482,Kragen::N,каўнер,жаға
483,Ärmel::N,рукаў,жең
484,Hose::N,штаны,шалбар
485,Gürtel::N,пояс,белбеу
486,Mütze::N,шапка,қалпақ
487,Schuh::N,чаравік,кебіс
488,Stiefel::N,бот,етік
489,Ring::N,кольца,жүзік
490,Band::N,стужка,таспа
491,Kamm::N,расчоска,тарақ
492,Spiegel::N,люстра,айна
493,Riemen::N,рэмень,қайыс
494,Schnur::N,вяроўка,жіп
495,Leine::N,павадок,тізгін
496,Decke::N,коўдра,көрпе
497,Kissen::N,падушка,жастық
498,Tuch::N,хустка,орамал
499,Handtuch::N,ручнік,сүлгі
500,Kraft::N,сіла,қуат
501,Kraft::N,сіла,қарқын
502,Kraft::N,сіла,әл-шама
503,Kraft::N,сіла,әл-дәрмен
504,Stärke::N,моц,әл
505,Stärke::N,моц,күш
506,Gesundheit::N,здароўе,денсаулык
507,Krankheit::N,хвароба,ауру
508,Schmerz::N,боль,ауру
509,Wunde::N,рана,зақым
510,Wunde::N,рана,жарақат
511,Fieber::N,гарачка,безгек
512,Fieber::N,гарачка,қалтырау
513,Fieber::N,гарачка,қызу көтерілуі
514,Fieber::N,ліхаманка,безгек
515,Fieber::N,ліхаманка,қалтырау
516,Fieber::N,ліхаманка,қызу көтерілуі
517,Arznei::N,лекі,дәрі
518,Arznei::N,лекі,дәрі-дәрмек
519,Brücke::N,мост,көпір
520,Brunnen::N,калодзеж,құдық
521,Weide::N,паша,өріс
522,Weide::N,паша,жайылым
523,Pfad::N,сцежка,жол
524,Weg::N,шлях,жол
525,Weg::N,дарога,жол
526,Straße::N,вуліца,жол
527,Dorf::N,вёска,ауыл
528,Stadt::N,горад,қала
529,Stadt::N,горад,шаһар
530,Brief::N,ліст,хат
531,Brief::N,ліст,жазу
532,Brief::N,пісьмо,хат
533,Brief::N,пісьмо,жазу
534,Buch::N,кніга,кітап
535,Buchstabe::N,літара,әріп
536,Buchstabe::N,літара,қаріп
537,Zeitung::N,газета,газет
538,Leben::N,жыццё,өмір
539,Leben::N,жыццё,тіршілік
540,Tod::N,смерць,опат
541,Grab::N,магіла,мола
542,Grab::N,магіла,мазар
543,Kirche::N,касцёл,шіркеу
544,Kirche::N,царква,шіркеу
545,Sünde::N,грэх,күнә
546,Gott::N,бог,алла
547,Gott::N,бог,құдай
548,Gott::N,бог,тәңірі
549,Gott::N,бог,пәруардігер
550,Gott::N,бог,жаратқан тәңірі
551,Arbeiter::N,рабочы,жүмысшы
552,Chef::N,начальнік,басшы
553,Chef::N,начальнік,жұмыс басқарушысы
554,Meister::N,майстар,шебер
555,Meister::N,майстар,өнерпаз
556,Arzt::N,урач,дәрігер
557,Lehrer::N,настаўнік,мұғалім
558,Geld::N,грошы,пұл
559,Geschäft::N,заняцце,бизнес
560,Laden::N,крама,дүкен
561,Laden::N,магазін,дүкен
562,Preis::N,цана,ақы
563,Preis::N,цана,құны
564,Preis::N,цана,нарық
565,Ware::N,тавар,тауар
566,Nutzen::N,выгада,пайда
567,Reichtum::N,багацце,бақ-дәулет
568,Welt::N,свет,әлем
569,Welt::N,свет,жиһан
570,Land::N,краіна,аймақ
571,Staat::N,дзяржава,мемлекет
572,König::N,кароль,патша
573,Macht::N,улада,өкімет
574,Macht::N,улада,қожалық
575,Grenze::N,граніца,шек
576,Krieg::N,вайна,соғыс
577,Feind::N,вораг,жау
578,Feind::N,вораг,дұшпан
579,Gewalt::N,насілле,зорлык
580,Gewalt::N,насілле,зорлық-зомбылык
581,Kampf::N,барацьба,күрес
582,Kampf::N,барацьба,алыспақ
583,Bogen[Waffe]::N,лук,саржа
584,Pfeil::N,страла,жебе
585,Gewehr::N,ружжо,қару
586,Fehler::N,памылка,әбес
587,Fehler::N,памылка,қаталық
588,Lüge::N,хлусня,өтірік
589,Schaden::N,шкода,зиян
590,Schaden::N,шкода,зарар
591,Unglück::N,ліха,пәле
592,Unglück::N,ліха,қасырет
593,Unglück::N,ліха,ауыртпалық
594,Unglück::N,бядота,пәле
595,Unglück::N,бядота,қасырет
596,Unglück::N,бядота,ауыртпалық
597,Schuld::N,віна,айыптылық
598,Alter::N,узрост,жас
599,Alter::N,узрост,жас шамасы
600,Schluss::N,канец,ада
601,Schluss::N,канец,бітуі
602,Zeit::N,час,уақыт
603,Tag::N,дзень,күн
604,Morgen::N,ранак,таң
605,Morgen::N,ранак,таңертең
606,Morgen::N,раніца,таң
607,Morgen::N,раніца,таңертең
608,Mittag::N,паўдня,талтүс
609,Mittag::N,поўдзень,талтүс
610,Abend::N,вечар,кеш
611,Nacht::N,ноч,түн
612,Woche::N,тыдзень,апта
613,Monat::N,месяц,ай
614,Jahr::N,год,жыл
615,Frühling::N,вясна,көктем
616,Sommer::N,лета,жаз
617,Herbst::N,восень,күз
618,Winter::N,зіма,қыс
619,Januar::N,студзень,каңтар
620,Februar::N,люты,ақпан
621,März::N,сакавік,наурыз
622,April::N,красавік,сәуір
623,Mai::N,май,мамыр
624,Mai::N,травень,мамыр
625,Juni::N,чэрвень,маусым
626,Juli::N,ліпень,шілде
627,August::N,жнівень,сүмбіле
628,August::N,жнівень,тамыз
629,September::N,верасень,қыркүйек
630,Oktober::N,кастрычнік,ақырап
631,November::N,лістапад,қараша
632,Dezember::N,снежань,желтоқсан
633,Montag::N,панядзелак,дүйсенбі
634,Dienstag::N,аўторак,сейсенбі
635,Mittwoch::N,серада,сәрсенбі
636,Donnerstag::N,чацвер,бейсенбі
637,Freitag::N,пятніца,жұма
638,Samstag::N,субота,сенбі
639,Sonntag::N,нядзеля,жексембі
640,groß::A,вялікі,алпамсадай
641,klein::A,маленькі,кішкене
642,klein::A,маленькі,қарғадай
643,lang::A,доўгі,сопақ
644,lang::A,доўгі,сорайған
645,kurz::A,кароткі,кеспелтек
646,breit::A,шырокі,айдынды
647,schmal::A,вузкі,қысық
648,dicht::A,густы,жиі
649,dick[Gegenstand]::A,тоўсты,шомбал
650,dünn::A,тонкі,жұқа
651,dünn::A,тонкі,жіңішке
652,fein::A,тонкі,қаңылтақ
653,fest::A,моцны,берік
654,fest::A,моцны,мызғымас
655,flach::A,плоскі,жалпак
656,glatt::A,гладкі,типыл
657,hart::A,цвёрды,қатты
658,weich::A,мяккі,жұмсақ
659,rund::A,круглы,домалақ
660,spitz::A,спічасты,үшкір
661,spitz::A,востраканцовы,үшкір
662,scharf::A,востры,сүйрік
663,stumpf::A,тупы,доғал
664,stumpf::A,тупы,өтпейтін
665,schwer::A,цяжкі,салмақты
