,Concept_ID,ru,bn
560,stark::A,сильный,শক্তিশালী
561,schwach::A,слабый,দুর্বল
562,fett::A,жирный,মোটা
563,schlank::A,стройный,কৃশ
564,hübsch::A,прелестный,সুন্দর
565,böse::A,злой,খারাপ
566,dumm::A,глупый,মূর্খ
567,faul::A,ленивый,শ্রমবিমুখ
568,fleißig::A,прилежный,পরিশ্রমী
569,geizig::A,жадный,ব্যয়কুণ্ঠ
570,klug::A,умный,দক্ষ
571,geschickt::A,искусный,পটু
572,lieb::A,милый,প্রেয়
573,lustig::A,веселый,প্রফুল্ল
574,sanft::A,нежный,নম্র
575,hungrig::A,голодный,ক্ষুধার্ত
576,krank::A,больной,অসুস্থ
577,nackt::A,голый,উলঙ্গ
578,traurig::A,грустный,দুঃখিত
579,lebendig::A,живой,জীবিত
580,gut::A,хороший,ভালো
581,schlecht::A,плохой,মন্দ
582,richtig::A,правильный,ঠিক
583,schlimm::A,отвратительный,কদর্য
584,schlimm::A,мерзкий,কদর্য
585,wahr::A,настоящий,বাস্তব
586,alt::A,старый,পুরাতন
587,neu::A,новый,নব
588,neu::A,новый,নূতন
589,ehemalig::A,бывший,পূর্বকালীন
590,alt[Lebewesen]::A,пожилой,বৃদ্ধ
591,jung::A,молодой,তরুণ
592,arm::A,бедный,ক্ষুদ্র
593,reich::A,богатый,ধনবান্
594,bekannt::A,знакомый,সুপরিচিত
595,berühmt::A,знаменитый,বিখ্যাত
596,fremd::A,чужой,বিদেশি
597,verschieden::A,разный,বিসদৃশ
598,nah::A,близкий,নিকটবতী
599,fern::A,далекий,দুরবতী
600,linker::A,левый,বাম
601,rechter::A,правый,ডান
602,rechter::A,правый,ডাইন
603,anderer::A,другой,অন্যতর
604,erster::A,первый,প্রথম
605,zweiter::A,второй,দ্বিতীয়
606,dritter::A,третий,তৃতীয়
607,letzter::A,последний,সর্বশেষ
608,allein::ADV,один,একক
609,auf einmal::ADV,сразу,জলদি
610,zusammen::ADV,вместе,একসঙ্গে
611,lange::ADV,долго,লম্বা
612,plötzlich::ADV,вдруг,হঠাৎ
613,sofort::ADV,тотчас,মুহ্ণর্তমধ্যে
614,später::ADV,позже,পশ্চাতে
615,jetzt::ADV,сейчас,এখন
616,heute::ADV,сегодня,আজ
617,morgen::ADV,завтра,আগামিকাল
618,bald::ADV,скоро,অস্পকালমধ্যে
619,dann::ADV,потом,তখন
620,gestern::ADV,вчера,গতকাল
621,einst::ADV,однажды,একবার মাত্র
622,damals::ADV,тогда,তখন
623,danach::ADV,затем,পরে
624,vorher::ADV,раньше,আগে
625,zuerst::ADV,сперва,আগে
626,einmal::ADV,раз,একবার
627,manchmal::ADV,иногда,কখনও কখনও
628,oft::ADV,часто,ঘনঘন
629,immer::ADV,всегда,সর্বদা
630,niemals::ADV,никогда,কখলও নহে
631,hier::ADV,здесь,এখানে
632,hierhin::ADV,сюда,এখানে
633,von hier::ADV,отсюда,ত্রই স্তান হইতে
634,dort::ADV,там,ওখানে
635,dorthin::ADV,туда,ওখানে
636,geradeaus::ADV,прямо,অগ্রগামী
637,vorwärts::ADV,вперед,সন্মুখিকে
638,rückwärts::ADV,назад,খিরিয়া
639,zurück::ADV,обратно,পিঠ
640,unten::ADV,внизу,নীচে
641,hinab::ADV,вниз,নিম্নগামী
642,oben::ADV,наверху,উপরে
643,hinauf::ADV,вверх,উচ্চতর অংশে
644,überall::ADV,везде,সর্বত্র
