,Concept_ID,ku,ab
1083,packen::V,pê girtin,анкра
1084,packen::V,pê girtin,аҵкаара
1085,verstecken::V,hîlanin,аҵəахра
1086,teilen::V,parvekirin,ашара
1087,schicken::V,şandin,ашьҭра
1088,bringen::V,anîn,аагара
1089,bringen::V,birin,аагара
1090,hinzufügen::V,dan ser,ацҵара
1091,hinzufügen::V,li tiştekî zêde kirin,ацҵара
1092,bekommen::V,standin,аҧшаара
1093,bekommen::V,standin,архиара
1094,bekommen::V,standin,аура
1095,erhalten::V,standin,аиура
1096,nehmen::V,girtin,агара
1097,wählen::V,ray dan,алҧшаара
1098,auswählen::V,bijartin,алхра
1099,bewahren::V,rê li ber girtin,
1100,bewahren::V,lê xwedî derketin,
1101,behindern::V,bara wi,аҧырхагахара
1102,verderben::V,heram bûn,алгара
1103,verderben::V,heram bûn,абжьыхра
1104,verderben::V,heram bûn,аҧхасҭатəра
1105,beschädigen::V,xerab kirin,аҧхасҭатəра
1106,zerbrechen::V,şikênandin,аҧҽра
1107,zerbrechen::V,perçe kirin,аҧҽра
1108,zerreißen::V,qelişandin,аҧжəара
1109,zerstören::V,hilşandin,аилаҧыххаара
1110,verbrennen::V,şewitandin,абылра
1111,geben::V,dan,аҭара
1112,geben::V,dayin,аҭара
1113,reichen::V,besbûn,аҭара
1114,reichen::V,têrkirin,аҭара
1115,schenken::V,diyarî kirin,аҩгара
1116,versprechen::V,soz dan,ақəргəыӷра
1117,wünschen::V,dil kirin,
1118,loben::V,pesinandin,арҽхəара
1119,küssen::V,maçkirin,агəӡра
1120,wiegen::V,lorandin,
1121,wiegen::V,wezinandin,
1122,zudecken::V,nixumandin,аҵахҩара
1123,zudecken::V,nixumandin,ақəршəра
1124,wecken::V,bixwe hesandin,арҿыхара
1125,zeigen::V,şanîdan,арбара
1126,führen::V,raber kirin,аныҟəгара
1127,lehren::V,hîn kirin,арҵара
1128,unterrichten::V,ders dan,арҧхьара
1129,aufziehen::V,mesinkirin,ааӡара
1130,leiten::V,rêberî kirin,ахагылазаара
1131,antreiben::V,bezandin,арццакра
1132,lassen::V,berdan,арҟаҵара
1133,lassen::V,hiştin,арҟаҵара
1134,einladen::V,dawet kirin,ааҕхьара
1135,einladen::V,dawet kirin,анаҧхьара
1136,vereinigen::V,bi yek kirin,аилаҵара
1137,besuchen::V,mêvan bûn,абара
1138,treffen::V,rast hatin,аҧылара
1139,sich versammeln::V,li hev çivîn,аизара
1140,spielen::V,listin,ахəмарра
1141,singen::V,stran,ашəаҳəара
1142,tanzen::V,reqisîn,акəашара
1143,sich trennen::V,hew berdan,аилыҵра
1144,verlassen::V,tanê hişt,акажьра
1145,verlassen::V,bêkes,акажьра
1146,retten::V,rihakirin,Аиқəрхара
1147,bewachen::V,raçavkirin,ахьчара
1148,schützen::V,hemet kirin,ацəыхьчара
1149,verteidigen::V,paraztin,ахьчара
1150,sich schlagen::V,li hev bezîn,аисра
1151,schießen::V,agir kirin,ахысра
1152,siegen::V,biser ketin,аиааира
1153,ärgern::V,xeyirandin,аргəаара
1154,schlagen::V,lêdan,асра
1155,schlagen::V,lêdan,аҭасра
1156,schlagen::V,lêxistin,асра
1157,schlagen::V,lêxistin,аҭасра
1158,treten::V,têlekirin,
1159,stechen::V,têrekirin,алакшара
1160,stoßen::V,lêketin,агəҭасра
1161,stehlen::V,dizîn,аӡара
1162,stehlen::V,dizî birin,аӡара
1163,stören::V,aciz kirin,аҧырхагахара
1164,belästigen::V,li tela yeki ketin,аргəамҵра
1165,verbergen::V,veşartin,аӡара
1166,verbergen::V,kemîndanîn,аӡара
1167,täuschen::V,xapandin,ажьара
1168,täuschen::V,lê zexeli kirin,ажьара
1169,betrügen::V,xapandin,ажьара
1170,töten::V,kûştin,ашьра
1171,wohnen::V,rûniştin,анхара
1172,arbeiten::V,kar kirin,аусура
1173,arbeiten::V,şêxulin,аусура
1174,sammeln::V,komkirin,аҟəшəара
1175,pflücken::V,çinîn,аҿыршəара
1176,pflücken::V,çinîn,аҿыхра
1177,jagen::V,nêçîr kirin,ашəарыцара
1178,fischen::V,masî girtin,аҧсыӡ икуеит
1179,fassen::V,pê girtin,акра
1180,fassen::V,sêm kirin,акра
1181,hüten::V,hei jê man,арҳəра
1182,hüten::V,hei jê man,ахьчара
1183,treiben::V,bêherandin,акацара
1184,anbinden::V,tewilandin,адҳəалара
1185,füttern::V,xwarine dan lê,акырҿаҵара
1186,melken::V,dotin,ахьара
1187,hacken::V,kolandin,аҟəаҟəара
1188,gießen::V,av dan,аҵаҭəара
1189,reifen::V,kemilîn,ашəра
1190,reifen::V,kemilîn,аҟалара
1191,zubereiten::V,çe kirin,ацура
1192,kochen::V,xwarin çe kirin,ажəра
1193,kochen::V,kelandin,ажəра
1194,backen::V,pijandin,аӡра
1195,braten::V,qelandin,аӡра
1196,braten::V,sor kirin,аӡра
1197,umrühren::V,têvdan,аилрыхра
1198,stricken::V,hûnan,аҧара
1199,nähen::V,kêl kirin,аӡахра
1200,färben::V,boyax kirin,ашəра
1201,reinigen::V,paqijkirin,арыцқьара
1202,waschen::V,şuştin,аӡәӡәара
1203,abwischen::V,pakîj kirin,арбара
1204,spülen::V,şuştin,аҭыршара
1205,fegen::V,maliştin,аҧссара
1206,kehren::V,maliştin,
1207,baden::V,serîşûştin,аҽыкəабара
1208,sich waschen::V,serîşûştin,аҽыӡəӡəара
1209,ausziehen::V,jê kirin,ашəыхра
1210,anziehen::V,pê kirin,ашəҵара
1211,sich anziehen::V,xwe kirin,аҽеилаҳəара
1212,kämmen::V,şeh kirin,аҳəара
1213,schmücken::V,xemilandin,арҧшӡара
1214,sagen::V,gotin,аҳəара
1215,sagen::V,peyivîn,аҳəара
1216,sprechen::V,peyivîn,ацəажəара
1217,reden::V,axaftin,ацəажəара
1218,reden::V,axaftin,аицәажәара
1219,sich unterhalten::V,hev biştaxilin,аицәажәара
1220,fragen::V,pirsîn,азҵаара
1221,fragen::V,pirs kirin,азҵаара
1222,bitten::V,tika kirin,аҳəара
1223,erzählen::V,behs kirin,аҳəара
1224,mitteilen::V,vegotin,азыцҳара
1225,nennen::V,bi nav kirin,ахьӡҵара
1226,rufen::V,bakirin,азҿыҭра
1227,prahlen::V,pesnê xwe dan,аҽхəара
1228,übersetzen::V,qulibandin,аиҭагара
1229,übersetzen::V,derbas kirin,аиҭагара
1230,denken::V,fikirîn,азхəыцра
1231,glauben::V,bawer bûn,ахаҵара
1232,bemerken::V,bala xwe dan,агəаҭара
1233,bemerken::V,çac lê ketin,агəаҭара
1234,erkennen::V,pêhesîn,адырра
1235,begreifen::V,fêmkirin,аилкаара
1236,verstehen::V,fêmkirin,аҳара
1237,lernen::V,halmandin,аҵара
1238,lernen::V,fêrbun,аҵара
1239,wissen::V,zanîn,адырра
1240,sich erinnern an::V,bir bûn,агəаларшəара
1241,vergessen::V,ji bir kirin,ахашҭра
1242,messen::V,pê kanîn,ашəара
1243,zählen::V,hejmardin,аҧхьаӡара
1244,rechnen::V,hesibandin,аҳасабра
1245,lesen::V,xwendin,аҧхьара
1246,malen::V,rengandin,
1247,malen::V,boyax kirin,
1248,zeichnen::V,işaret kirin,
1249,schreiben::V,nivîsandin,
1250,besitzen::V,hebûn,амазаара
1251,kaufen::V,kirîn,Аахəара
1252,verkaufen::V,firotin,аҭира
1253,bezahlen::V,pere dan,ахҭынҵара
1254,bezahlen::V,pere dan,ашəара
1255,zahlen::V,pere dan,ашəара
1256,zahlen::V,dayin,ашəара
1257,beherrschen::V,zebt kirin,
1258,beherrschen::V,hukim kirin,
1259,ertragen::V,bihêzkirin,ачҳара
