,Concept_ID,nl,hi
784,Nutzen::N,nut,फ़ायदा
785,Nutzen::N,voordeel,लाभ
786,Nutzen::N,voordeel,फ़ायदा
787,Reichtum::N,rijkdom,धन
788,Reichtum::N,rijkdom,दौलत
789,Welt::N,wereld,विश्व
790,Welt::N,wereld,दुनिया
791,Land::N,land,देश
792,Land::N,land,मुल्क
793,Staat::N,staat,राज्य
794,Staat::N,staat,राष्ट्र
795,König::N,koning,राजा
796,König::N,koning,बादशाह
797,Macht::N,macht,शासन
798,Macht::N,macht,सत्ता
799,Grenze::N,grens,सरहद
800,Krieg::N,oorlog,जंग
801,Krieg::N,oorlog,युद्ध
802,Feind::N,vijand,शत्रु
803,Feind::N,vijand,दुश्मन
804,Gewalt::N,geweld,हिंसा
805,Kampf::N,strijd,लड़ाई
806,Kampf::N,strijd,संघर्ष
807,Kampf::N,gevecht,लड़ाई
808,Kampf::N,gevecht,संघर्ष
809,Bogen[Waffe]::N,boog,कमान
810,Pfeil::N,pijl,बान
811,Gewehr::N,geweer,बंदूक़
812,Fehler::N,fout,भूल
813,Fehler::N,fout,ग़लती
814,Lüge::N,leugen,झूठ
815,Lüge::N,leugen,असत्य
816,Schaden::N,schade,हानि
817,Schaden::N,schade,नुक़सान
818,Unglück::N,tegenspoed,मुसीबत
819,Unglück::N,tegenspoed,विपात्ति
820,Schuld::N,schuld,दोष
821,Schuld::N,schuld,क़सूर
822,Alter::N,leeftijd,आयु
823,Alter::N,leeftijd,उम्र
824,Schluss::N,slot,अंत
825,Schluss::N,slot,समाप्ति
826,Zeit::N,tijd,काल
827,Zeit::N,tijd,वक़्त
828,Tag::N,dag,दिन
829,Tag::N,dag,रोज़
830,Morgen::N,morgen,सुबह
831,Morgen::N,ochtend,सुबह
832,Mittag::N,middag,दोपहर
833,Mittag::N,middag,मध्याह्न
834,Abend::N,avond,शाम
835,Abend::N,avond,संध्या
836,Nacht::N,nacht,रात
837,Nacht::N,nacht,रात्रि
838,Woche::N,week,हफ़्ता
839,Monat::N,maand,मास
840,Monat::N,maand,महीना
