,Concept_ID,ka,bn
630,hübsch::A,ეშხიანი,সুন্দর
631,hübsch::A,მშვენიერი,সুন্দর
632,böse::A,ავი,খারাপ
633,böse::A,ბოროტი,খারাপ
634,dumm::A,ბოთე,মূর্খ
635,dumm::A,სულელი,মূর্খ
636,faul::A,ზანტი,শ্রমবিমুখ
637,faul::A,ზარმაცი,শ্রমবিমুখ
638,fleißig::A,ბეჯითი,পরিশ্রমী
639,fleißig::A,მუყაითი,পরিশ্রমী
640,geizig::A,ძუნწი,ব্যয়কুণ্ঠ
641,klug::A,ჭკვიანი,দক্ষ
642,geschickt::A,მარჯვე,পটু
643,geschickt::A,გაწაფული,পটু
644,lieb::A,სატრფიალო,প্রেয়
645,lustig::A,მხიარული,প্রফুল্ল
646,sanft::A,ალერსიანი,নম্র
647,sanft::A,გრძნობიერი,নম্র
648,hungrig::A,მშიერი,ক্ষুধার্ত
