,Concept_ID,az,hr
1002,regnen::V,yağmaq,kišiti
1003,regnen::V,yağmaq,daždjeti
1004,gefrieren::V,donmaq,smrznuti se
1005,tauen::V,ərimək,kopnjeti
1006,tauen::V,ərimək,kraviti se
1007,schmelzen::V,ərimək,topiti se
1008,trocknen::V,qurumaq,sušiti se
1009,sieden::V,qaynamaq,kipjeti
1010,sieden::V,qaynamaq,ključati
1011,faulen::V,çürümək,gnjiti
1012,verfaulen::V,çürümək,sagnjiti
1013,reißen::V,yırtılmaq,otrgnuti se
1014,versinken::V,batmaq,tonuti
1015,versinken::V,batmaq,propasti
1016,vergehen::V,ötmək,prolaziti
1017,erscheinen::V,görünmək,pojaviti se
1018,verschwinden::V,yox olmaq,nestati
1019,verschwinden::V,yox olmaq,izgubiti se
1020,sinken::V,enmək,trgnuti
1021,sinken::V,enmək,spustiti se
1022,abnehmen::V,azalmaq,opasti
1023,zunehmen::V,artmaq,povećati se
1024,steigen::V,yüksəlmək,uzići
1025,steigen::V,yüksəlmək,nadoći
1026,wachsen::V,böyümək,rasti
1027,glänzen::V,parlamaq,blistati
1028,glänzen::V,parlamaq,sjati se
1029,funkeln::V,parıldamaq,svjetlucati
1030,lärmen::V,səs-küy etmək,bučati
1031,lärmen::V,səs-küy etmək,galamiti
1032,läuten::V,çalmaq,zvoniti
1033,klingeln::V,zəng etmək,zvoniti
1034,klirren::V,cingildəmək,zvečati
1035,brausen::V,gurlamaq,hujati
1036,rauschen::V,xışıldamaq,šumiti
1037,rauschen::V,xışıldamaq,šuškati
1038,klingen::V,səslənmək,zvučati
1039,bellen::V,hürmək,lajati
1040,heulen::V,ulamaq,zavijati
1041,blasen::V,üfləmək,puhati
1042,pfeifen::V,fit vermek,fućkati
1043,schreien::V,bağırmaq,vikati
1044,schreien::V,bağırmaq,kričati
1045,schreien::V,qışqırmaq,vikati
1046,schreien::V,qışqırmaq,kričati
1047,stöhnen::V,inləmək,stenjati
1048,zittern::V,titrəmək,drhtati
1049,zittern::V,titrəmək,trepetati
1050,leben::V,yaşamaq,živjeti
1051,geboren werden::V,doğmaq,roditi se
1052,atmen::V,nəfəs almaq,disati
1053,trinken::V,içmek,piti
1054,essen::V,yemək,jesti
1055,schlucken::V,udmaq,gutati
1056,müde werden::V,yorulmaq,umoriti se
1057,einschlafen::V,yuxuya getmək,usnuti
1058,einschlafen::V,yuxuya getmək,zaspati
1059,schlafen::V,uyumaq,spati
1060,aufwachen::V,oyanmaq,probuditi se
1061,aufstehen::V,yuxudan durmaq,ustati
1062,sich erholen::V,dincəlmək,odmoriti se
1063,krank werden::V,xəstə olmaq,oboljeti se
1064,krank werden::V,xəstə olmaq,razboljeti se
1065,krank sein::V,azarlanmaq,bolovati
1066,krank sein::V,xəstələnmək,bolovati
1067,schmerzen::V,ağrimaq,boljeti
1068,husten::V,öksürmək,kašljati
1069,genesen::V,sağalmaq,ozdraviti
1070,genesen::V,sağalmaq,oporaviti se
1071,sterben::V,ölmək,umrijeti
1072,sterben::V,vəfat etmək,umrijeti
1073,umkommen::V,həlak olmaq,skapati
1074,sich bewegen::V,hərəkət etmək,gibati se
1075,sich bewegen::V,hərəkət etmək,kretati se
1076,sich rühren::V,tərpənmək,maknuti se
1077,sich erheben::V,qalxmaq,dići se
1078,sich setzen::V,oturmaq,sjesti
1079,hinfallen::V,yıxılmaq,pasti
1080,laufen::V,yerimək,hodati
1081,schreiten::V,addım atmaq,stupati
1082,spazierengehen::V,gəzmək,šetati se
1083,eilen::V,atılmaq,hitati
1084,sich beeilen::V,tələsmək,požuriti se
1085,sausen::V,çırpmaq,juriti
1086,rennen::V,qaçmaq,trčati
1087,springen::V,sıçramaq,skakati
1088,klettern::V,dırmanmaq,popeti se
1089,klettern::V,dırmanmaq,penjati se
1090,schaukeln::V,sallanmaq,ljuljati se
1091,kriechen::V,sürünmək,puzati
1092,kriechen::V,sürünmək,gmizati
1093,schwimmen::V,üzmek,plivati
1094,tauchen::V,dalmaq,roniti
1095,tauchen::V,dalmaq,gnjuriti
1096,rudern::V,avarlamaq,veslati
1097,fahren::V,sürmək,voziti se
1098,fliegen::V,uçmaq,letjeti
1099,fliegen::V,uçmaq,lijetati
1100,gehen::V,getmək,ići
1101,weggehen::V,getmək,otići
1102,abfahren::V,yola düşmək,krenuti
1103,abfahren::V,yola düşmək,otputovati
1104,anhalten::V,saxlamaq,stati
1105,anhalten::V,saxlamaq,zaustaviti
1106,hineingehen::V,girmək,ulaziti
1107,eintreten::V,girmək,ući
1108,eintreten::V,daxil olmaq,ući
1109,kommen::V,gəlmək,doći
1110,ankommen::V,gəlib çatmaq,stići
1111,zurückkommen::V,qayıtmaq,vratiti se
1112,zurückkommen::V,qayıtmaq,povratiti se
1113,bleiben::V,qalmaq,ostati
1114,warten::V,gözləmək,čekati
1115,erwarten::V,bəkləmək,očekivati
1116,suchen::V,aramaq,tražiti
1117,suchen::V,axtarmaq,tražiti
1118,finden::V,tapmaq,naći
1119,versuchen::V,çalışmaq,pokušati
1120,vorbereiten::V,hazırlamaq,spremiti
1121,vorbereiten::V,hazırlamaq,pripremiti
1122,lieben::V,sevmək,voljeti
