,Concept_ID,is,uk
452,Schuh::N,skór,ботинок
453,Stiefel::N,stígvél,чобіт
454,Ring::N,hringur,кільце
455,Band::N,band,стрічка
456,Kamm::N,greiða,гребінець
457,Spiegel::N,spegill,дзеркало
458,Riemen::N,ól,ремінь
459,Riemen::N,reim,ремінь
460,Schnur::N,snúra,вірьовка
461,Leine::N,band,шворка
462,Decke::N,teppi,ковдра
463,Kissen::N,koddi,подушка
464,Tuch::N,klútur,хустка
465,Handtuch::N,þurrka,рушник
466,Handtuch::N,handklæði,рушник
467,Kraft::N,afl,сила
468,Kraft::N,kraftur,сила
469,Stärke::N,styrkur,сила
470,Gesundheit::N,heilsa,здоров’я
471,Gesundheit::N,heilbrigði,здоров’я
472,Krankheit::N,sjúkdómur,хвороба
473,Schmerz::N,sársauki,біль
474,Wunde::N,sár,рана
475,Fieber::N,hitasótt,гарячка
476,Arznei::N,lyf,ліки
477,Brücke::N,brú,міст
478,Brunnen::N,brunnur,колодязь
479,Weide::N,hagi,пасовище
480,Pfad::N,stígur,стежка
481,Weg::N,vegur,шлях
482,Weg::N,vegur,дорога
483,Straße::N,gata,вулиця
484,Straße::N,stræti,вулиця
485,Dorf::N,þorp,село
486,Stadt::N,borg,місто
487,Brief::N,bréf,лист
488,Buch::N,bók,книга
489,Buch::N,bók,книжка
490,Buchstabe::N,bókstafur,буква
491,Buchstabe::N,bókstafur,літера
492,Zeitung::N,dagblað,газета
493,Leben::N,líf,життя
494,Tod::N,dauði,смерть
495,Grab::N,gröf,могила
496,Kirche::N,kirkja,церква
497,Sünde::N,synd,гріх
498,Gott::N,guð,бог
499,Arbeiter::N,verkamaður,робітник
500,Chef::N,yfirmaður,хазяїн
501,Meister::N,meistari,умілець
502,Arzt::N,læknir,лікар
503,Lehrer::N,kennari,вчитель
504,Geld::N,peningar,гроші
505,Geschäft::N,viðskipti,заняття
506,Laden::N,búð,магазин
507,Laden::N,búð,крамниця
508,Laden::N,verslun,магазин
509,Laden::N,verslun,крамниця
510,Preis::N,verð,ціна
511,Ware::N,vara,товар
512,Nutzen::N,gagn,вигода
513,Nutzen::N,gagn,користь
514,Reichtum::N,auður,багатство
515,Welt::N,veröld,світ
516,Land::N,land,країна
