,Concept_ID,lt,la
1209,zerbrechen::V,sukulti,rumpere
1210,zerbrechen::V,sukulti,frangere
1211,zerbrechen::V,sudaužyti,rumpere
1212,zerbrechen::V,sudaužyti,frangere
1213,zerreißen::V,perplėšti,discindere
1214,zerreißen::V,suplėšyti,discindere
1215,zerstören::V,suardyti,delere
1216,zerstören::V,sugriauti,delere
1217,verbrennen::V,deginti,urere
1218,verbrennen::V,deginti,cremare
1219,verbrennen::V,sudeginti,urere
1220,verbrennen::V,sudeginti,cremare
1221,geben::V,duoti,dare
1222,geben::V,paduoti,dare
1223,reichen::V,paduoti,praebere
1224,schenken::V,dovanoti,donare
1225,schenken::V,dovanoti,largiri
1226,versprechen::V,žadėti,polliceri
1227,versprechen::V,žadėti,promittere
1228,versprechen::V,pažadėti,polliceri
1229,versprechen::V,pažadėti,promittere
1230,wünschen::V,norėti,
1231,wünschen::V,linḱėti,
1232,loben::V,girti,laudare
1233,loben::V,pagirti,laudare
1234,küssen::V,bučiuoti,osculari
1235,wiegen::V,supti,
1236,zudecken::V,užkloti,tegere
1237,zudecken::V,uždengti,tegere
1238,wecken::V,žadinti,excitare
1239,zeigen::V,rodyti,monstrare
1240,führen::V,vesti,ducere
1241,führen::V,vadovauti,ducere
1242,lehren::V,mokyti,docere
1243,lehren::V,išmokyti,docere
1244,unterrichten::V,dėstyti,instituere
1245,aufziehen::V,išauginti,nutrire
1246,leiten::V,valdyti,ducere
1247,leiten::V,vadovauti,ducere
1248,antreiben::V,uiti,incitare
1249,antreiben::V,raginti,incitare
1250,antreiben::V,skubinti,incitare
1251,lassen::V,paliepti,iubere
1252,einladen::V,kviesti,invitare
1253,einladen::V,pakviesti,invitare
1254,vereinigen::V,sujungti,coniungere
1255,vereinigen::V,suvienyti,coniungere
1256,besuchen::V,lankyti,visere
1257,besuchen::V,aplankyti,visere
1258,treffen::V,sutikti,convenire
1259,treffen::V,pasitikti,convenire
1260,sich versammeln::V,susirinkti,convenire
1261,spielen::V,groti,ludere
1262,spielen::V,žaisti,ludere
1263,singen::V,dainuoti,cantare
1264,tanzen::V,šokti,saltare
1265,sich trennen::V,skirtis,digredi
1266,sich trennen::V,skirtis,discedere
1267,sich trennen::V,išsiskirti,digredi
1268,sich trennen::V,išsiskirti,discedere
1269,verlassen::V,palikti,deserere
1270,verlassen::V,palikti,relinquere
1271,retten::V,gelbėti,servare
1272,bewachen::V,sergėti,custodire
1273,schützen::V,ginti,tueri
1274,schützen::V,ginti,tutari
1275,schützen::V,apginti,tueri
1276,schützen::V,apginti,tutari
1277,verteidigen::V,ginti,defendere
1278,verteidigen::V,apginti,defendere
1279,sich schlagen::V,muštis,luctari
1280,schießen::V,šauti,iaculari
1281,schießen::V,šaudyti,iaculari
1282,siegen::V,nugalėti,vincere
1283,ärgern::V,pykinti,irritare
1284,schlagen::V,mušti,ferire
1285,schlagen::V,smogti,ferire
1286,schlagen::V,trenkti,ferire
1287,treten::V,mygti,calcare
1288,stechen::V,gelti,pungere
1289,stechen::V,smeigti,pungere
1290,stoßen::V,stumti,tundere
1291,stoßen::V,pastumti,tundere
1292,stehlen::V,vogti,furari
1293,stören::V,trikdyti,turbare
1294,belästigen::V,apsunkinti,obtundere
1295,verbergen::V,slėpti,celare
1296,verbergen::V,slėpti,occultare
1297,verbergen::V,paslėpti,celare
1298,verbergen::V,paslėpti,occultare
1299,täuschen::V,klaidinti,fallere
1300,betrügen::V,apgauti,fraudare
1301,töten::V,žudyti,necare
1302,töten::V,žudyti,caedere
1303,töten::V,nužudyti,necare
1304,töten::V,nužudyti,caedere
1305,wohnen::V,gyventi,habitare
1306,arbeiten::V,dirbti,laborare
1307,arbeiten::V,triūsti,laborare
1308,sammeln::V,rinkti,colligere
1309,pflücken::V,skinti,carpere
1310,pflücken::V,raškyti,carpere
1311,jagen::V,medžioti,venari
1312,fischen::V,žvejoti,piscari
1313,fassen::V,sučiupti,capere
1314,hüten::V,ganyti,custodire
1315,treiben::V,ginti,agere
1316,anbinden::V,pririšti,alligare
1317,füttern::V,šerti,nutrire
1318,melken::V,melžti,mulgere
1319,hacken::V,kapoti,findere
1320,gießen::V,lieti,rigare
1321,gießen::V,laistyti,rigare
1322,reifen::V,nokti,maturescere
1323,reifen::V,sirpti,maturescere
1324,zubereiten::V,ruošti,apparare
1325,zubereiten::V,gaminti,apparare
1326,kochen::V,virti,coquere
1327,kochen::V,virinti,coquere
1328,backen::V,kepti,coquere
1329,braten::V,kepti,torrere
1330,braten::V,kepinti,torrere
1331,umrühren::V,maišyti,commovere
1332,umrühren::V,pamaišyti,commovere
1333,stricken::V,megzti,texere
1334,nähen::V,siūti,suere
1335,färben::V,dažyti,tingere
1336,färben::V,nudažyti,tingere
1337,reinigen::V,valyti,purgare
1338,reinigen::V,švarinti,purgare
1339,waschen::V,plauti,lavare
1340,waschen::V,mazgoti,lavare
1341,waschen::V,skalbti,lavare
1342,abwischen::V,nušluostyti,abstergere
1343,spülen::V,plauti,perluere
1344,spülen::V,skalauti,perluere
1345,fegen::V,šluoti,verrere
