,Concept_ID,he,tt
641,fleißig::A,חרוץ,тырышучан
642,geizig::A,קמצן,саран
643,klug::A,נבון,акыллы
644,klug::A,פקח,акыллы
645,geschickt::A,מימן,маһир
646,lieb::A,יקר,сөекле
647,lieb::A,אהוב,сөекле
648,lustig::A,עליז,күңелле
649,sanft::A,עדין,басынкы
650,hungrig::A,רעב,ач
651,krank::A,חולה,чирле
652,krank::A,חולה,сырхау
653,nackt::A,ערום,шәрә
654,traurig::A,עצוב,ямансу
655,lebendig::A,חי,тере
656,gut::A,טוב,яхшы
657,schlecht::A,גרוע,начар
658,richtig::A,נכון,дөрес
659,schlimm::A,רע,әшәкә
660,wahr::A,אמתי,чып-чын
661,alt::A,ישן,иске
662,neu::A,חדש,яңа
663,ehemalig::A,לשעבר,элекке
664,alt[Lebewesen]::A,זקן,карт
665,jung::A,צעיר,яшь
666,arm::A,עני,фәкыйрь
667,reich::A,עשיר,бай
668,bekannt::A,ידוע,таныш
669,berühmt::A,מפרסם,атаклы
670,fremd::A,זר,ят
671,verschieden::A,שונה,төрле
672,nah::A,קרוב,якын
673,fern::A,רחוק,ерак
674,linker::A,שמאלי,сул
675,rechter::A,ימין,уң
676,anderer::A,אחר,бүтән
677,erster::A,ראשון,беренче
678,zweiter::A,שני,икенче
679,dritter::A,שלישי,өченче
680,letzter::A,אחרון,ахыргы
681,allein::ADV,לבד,ялгыз
682,auf einmal::ADV,בו-זמנית,бердән
683,zusammen::ADV,ביחד,бергә
684,lange::ADV,הרבה זמן,озак
685,plötzlich::ADV,לפתע,искәрмәстән
686,plötzlich::ADV,פתאום,искәрмәстән
687,sofort::ADV,מיד,хәзер
688,später::ADV,לאחר זמן,соңрак
689,später::ADV,יותר מאחר,соңрак
690,jetzt::ADV,עכשיו,хәзер
691,heute::ADV,היום,бүген
692,morgen::ADV,מחר,иртәгә
693,bald::ADV,בקרוב,тиздән
694,dann::ADV,אחר-כך,аннары
695,gestern::ADV,אתמול,кичә
696,einst::ADV,לפנים,берчак
697,damals::ADV,אז,ул вакытта
698,damals::ADV,אז,ул чакта
699,danach::ADV,אחר-כך,да
700,vorher::ADV,לפני זה,элек
701,zuerst::ADV,קדם,башта
702,einmal::ADV,פעם,бер
703,einmal::ADV,פעם,бер мәртәбә
704,manchmal::ADV,לפעמים,кайчакта
705,oft::ADV,לעתים קרובות,еш
706,immer::ADV,תמיד,һәркайчан
707,niemals::ADV,אף פעם,hичбер вакыт
708,hier::ADV,כאן,монда
709,hier::ADV,כאן,биредә
