,Concept_ID,fi,ja
608,flach::A,litteä,平らな
609,flach::A,tasainen,平らな
610,glatt::A,sileä,滑らかな
611,glatt::A,siloinen,滑らかな
612,hart::A,kova,堅い
613,weich::A,pehmeä,柔らかい
614,rund::A,pyöreä,丸い
615,spitz::A,terävä,尖った
616,scharf::A,terävä,鋭い
617,stumpf::A,tylsä,鈍い
618,schwer::A,raskas,重い
619,schwer::A,painava,重い
620,schön::A,kaunis,綺麗な
621,heiß::A,kuuma,熱い
622,warm::A,lämmin,温かい
623,kalt::A,kylmä,寒い
624,kalt::A,kylmä,冷たい
625,kalt::A,viluinen,寒い
626,kalt::A,viluinen,冷たい
627,kühl::A,viileä,涼しい
628,frisch::A,tuore,ひんやりした
629,feucht::A,kostea,湿った
630,nass::A,märkä,濡れた
631,trocken::A,kuiva,乾いた
632,voll::A,täysi,いっぱいの
633,leer::A,tyhjä,空の
634,offen::A,avonainen,開いた
635,geschlossen::A,suljettu,閉まった
636,sauber::A,puhdas,清潔な
637,schmutzig::A,likainen,汚い
638,roh::A,raaka,生の
639,reif::A,kypsä,熟した
640,lecker::A,herkullinen,美味しい
641,süß::A,makea,甘い
642,bitter::A,karvas,苦い
643,bitter::A,kitkerä,苦い
644,sauer::A,hapan,酸っぱい
645,hell::A,kirkas,明るい
646,hell::A,valoisa,明るい
647,dunkel::A,pimeä,暗い
648,schwarz::A,musta,黒い
649,weiß::A,valkea,白い
650,rot::A,punainen,赤い
651,gelb::A,keltainen,黄色い
652,blau::A,sininen,青い
653,grün::A,vihreä,緑の
654,grau::A,harmaa,灰色の
655,bunt::A,kirjava,色取り取りの
656,billig::A,halpa,安い
657,billig::A,huokea,安い
658,teuer::A,kallis,高い
659,wertvoll::A,arvokas,貴重な
660,blind::A,sokea,盲目の
661,taub::A,kuuro,耳が聞こえない
662,kräftig::A,väkevä,強力な
663,kräftig::A,voimakas,強力な
664,stark::A,vahva,強い
665,schwach::A,heikko,弱い
666,fett::A,lihava,太った
667,schlank::A,hoikka,ほっそりした
668,schlank::A,solakka,ほっそりした
669,hübsch::A,soma,素敵な
670,hübsch::A,sievä,素敵な
671,böse::A,paha,悪い
672,böse::A,häijy,悪い
673,dumm::A,tyhmä,馬鹿な
674,dumm::A,typerä,馬鹿な
675,faul::A,laiska,怠惰な
676,fleißig::A,ahkera,勤勉な
677,geizig::A,saita,けちな
678,klug::A,älykäs,賢い
679,klug::A,älykäs,頭のいい
680,geschickt::A,taitava,器用な
681,lieb::A,rakas,愛らしい
682,lustig::A,hauska,楽しい
683,lustig::A,iloinen,楽しい
684,sanft::A,lauha,温和な
685,sanft::A,lempeä,温和な
686,hungrig::A,nälkäinen,空腹の
687,krank::A,sairas,病気の
688,nackt::A,alaston,裸の
689,traurig::A,surullinen,悲しい
690,traurig::A,murheellinen,悲しい
691,lebendig::A,elävä,生きた
692,gut::A,hyvä,良い
693,schlecht::A,paha,悪い
694,schlecht::A,paha,駄目な
695,schlecht::A,huono,悪い
696,schlecht::A,huono,駄目な
697,richtig::A,oikea,正しい
698,schlimm::A,paha,ひどい
699,wahr::A,tosi,本当の
700,alt::A,vanha,古い
701,neu::A,uusi,新しい
702,ehemalig::A,entinen,以前の
703,ehemalig::A,muinainen,以前の
704,alt[Lebewesen]::A,vanha,年を取った
705,jung::A,nuori,若い
706,arm::A,köyhä,貧乏な
707,reich::A,rikas,裕福な
708,bekannt::A,tuttu,有名な
709,bekannt::A,tunnettu,有名な
710,berühmt::A,kuuluisa,有名な
711,fremd::A,vieras,見知らぬ
712,verschieden::A,eri,色々な
713,verschieden::A,erilainen,色々な
714,nah::A,läheinen,近い
715,fern::A,etäinen,遠い
716,linker::A,vasen,左の
717,rechter::A,oikea,右の
718,anderer::A,muu,別の
719,anderer::A,toinen,別の
720,erster::A,ensimmäinen,一番目
721,zweiter::A,toinen,二番目
722,dritter::A,kolmas,三番目
723,letzter::A,viimeinen,最後の
724,allein::ADV,yksin,一人で
725,auf einmal::ADV,yhdellä kertaa,同時に
726,zusammen::ADV,yhdessä,一緒に
727,lange::ADV,kauan,長い間
728,lange::ADV,pitkään,長い間
729,plötzlich::ADV,äkkiä,急に
730,sofort::ADV,heti,すぐに
731,später::ADV,myöhemmin,後で
732,jetzt::ADV,nyt,今
733,heute::ADV,tänään,今日
734,morgen::ADV,huomenna,明日
735,bald::ADV,pian,間もなく
736,dann::ADV,sitten,それから
737,gestern::ADV,eilen,昨日
738,einst::ADV,aikanaan,過去に
739,damals::ADV,silloin,あの時
740,damals::ADV,siihen aikaan,あの時
741,danach::ADV,sen jälkeen,その後で
742,vorher::ADV,ennen,以前に
743,zuerst::ADV,ensin,まず
744,zuerst::ADV,ensin,最初に
745,zuerst::ADV,ensiksi,まず
746,zuerst::ADV,ensiksi,最初に
747,einmal::ADV,kerran,一回
748,manchmal::ADV,joskus,時々
749,oft::ADV,usein,よく
750,immer::ADV,aina,いつも
751,niemals::ADV,ei koskaan,一度も...ない
752,hier::ADV,tässä,こちら
753,hier::ADV,täällä,こちら
754,hierhin::ADV,tähän,ここへ
755,hierhin::ADV,tähän,こちらへ
756,von hier::ADV,tästä,ここから
757,von hier::ADV,täältä,ここから
758,dort::ADV,siinä,そちら
759,dort::ADV,siellä,そちら
760,dorthin::ADV,sinne,そこへ
761,dorthin::ADV,sinne,そちらへ
762,dorthin::ADV,tuonne,そこへ
763,dorthin::ADV,tuonne,そちらへ
764,geradeaus::ADV,suoraan,真っ直ぐに
765,vorwärts::ADV,eteenpäin,前へ
766,rückwärts::ADV,taaksepäin,後ろへ
767,zurück::ADV,takaisin,後ろへ
768,unten::ADV,alhaalla,下に
769,hinab::ADV,alas,下へ
770,oben::ADV,ylhäällä,上に
771,hinauf::ADV,ylös,上へ
772,überall::ADV,kaikkialla,どこでも
773,nicht::ADV,ei,ない
774,ein wenig::ADV,vähän,少し
775,ein wenig::ADV,vähän,ちょっと
776,kaum::ADV,tuskin,ほとんど～ない
777,sehr::ADV,kovin,とても
778,sehr::ADV,oikein,とても
779,so::ADV,näin,こう
780,noch::ADV,vielä,まだ
781,nur::ADV,vain,～だけ
782,nur::ADV,ainoastaan,～だけ
783,schon::ADV,jo,もう
784,wieder::ADV,taas,再び
785,wieder::ADV,jälleen,再び
786,vergebens::ADV,turhaan,無駄に
787,vor::PRP,edessä,前に
788,hinter::PRP,takana,後ろに
789,unter::PRP,alla,下に
790,durch::PRP,läpi,通して
791,durch::PRP,kautta,通して
792,neben::PRP,vieressä,横に
793,zwischen::PRP,välillä,間に
794,wegen::PRP,takia,為に
795,wegen::PRP,takia,せいで
796,wegen::PRP,vuoksi,為に
797,wegen::PRP,vuoksi,せいで
798,dies::PRN,tämä,これ
799,das::PRN,se,それ
800,alles::PRN,kaikki,全部
801,ich::PRN,minä,私
802,du::PRN,sinä,あなた
803,er::PRN,hän,彼
804,wir::PRN,me,私達
805,ihr::PRN,te,あなた達
806,sie::PRN,he,彼ら
807,was::FPRN,mikä,何
808,wer::FPRN,ken,誰
809,wer::FPRN,ken,どなた
810,wer::FPRN,kuka,誰
811,wer::FPRN,kuka,どなた
812,wo::FADV,missä,どこ
813,wo::FADV,missä,どこに
814,wohin::FADV,mihin,どこへ
815,wie::FADV,miten,どう
816,wie::FADV,kuinka,どう
817,warum::FADV,miksi,何故
818,warum::FADV,miksi,どうして
819,wieviel::FNUM,paljonko,どのくらい
820,wieviel::FNUM,kuinka paljon,どのくらい
821,eins::NUM,yksi,一
822,zwei::NUM,kaksi,二
823,zwei::NUM,kaksi,二つ
824,drei::NUM,kolme,三
825,drei::NUM,kolme,三つ
826,vier::NUM,neljä,四
827,vier::NUM,neljä,四つ
828,fünf::NUM,viisi,五
829,fünf::NUM,viisi,五つ
830,sechs::NUM,kuusi,六
831,sechs::NUM,kuusi,六つ
832,sieben::NUM,seitsemän,七
833,sieben::NUM,seitsemän,七つ
834,acht::NUM,kahdeksan,八
