,Concept_ID,tr,hu
901,nicht::ADV,-mi-,nem
902,nicht::ADV,değil,nem
903,ein wenig::ADV,biraz,egy kicsit
904,kaum::ADV,dar,alig
905,kaum::ADV,hemen hemen değil,alig
906,sehr::ADV,pek,nagyon
907,sehr::ADV,gayet,nagyon
908,so::ADV,öyle,úgy
909,so::ADV,böyle,úgy
910,noch::ADV,hâlâ,még
911,noch::ADV,henüz,még
912,nur::ADV,ancak,csak
913,nur::ADV,ancak,csupán
914,nur::ADV,yalnız,csak
915,nur::ADV,yalnız,csupán
916,schon::ADV,çoktan,már
917,wieder::ADV,tekrar,ismét
918,wieder::ADV,tekrar,megint
919,wieder::ADV,yeniden,ismét
920,wieder::ADV,yeniden,megint
921,vergebens::ADV,boşuna,hiába
922,vor::PRP,önünde,előtt
923,hinter::PRP,arkasında,mögött
924,unter::PRP,altında,alatt
925,durch::PRP,sayesinde,át
926,durch::PRP,sayesinde,keresztül
927,durch::PRP,ortasından,át
928,durch::PRP,ortasından,keresztül
929,neben::PRP,yanında,mellett
930,zwischen::PRP,arasında,között
931,wegen::PRP,dolayı,miatt
932,wegen::PRP,dolayı,végett
933,dies::PRN,bu,ez
934,das::PRN,o,az
935,das::PRN,şu,az
936,alles::PRN,hepsi,minden
937,alles::PRN,her şey,minden
938,ich::PRN,ben,én
939,du::PRN,sen,te
940,er::PRN,o,ő
941,wir::PRN,biz,mi
942,ihr::PRN,siz,ti
943,sie::PRN,onlar,ők
944,was::FPRN,ne,mi
945,wer::FPRN,kim,ki
946,wo::FADV,nerede,hol
947,wohin::FADV,nereye,hova
948,wie::FADV,nasıl,hogy
949,wie::FADV,nasıl,hogyan
950,warum::FADV,neden,miért
951,wieviel::FNUM,kaç,hány
952,wieviel::FNUM,kaç,mennyi
953,wieviel::FNUM,ne kadar,hány
954,wieviel::FNUM,ne kadar,mennyi
955,eins::NUM,bir,egy
956,zwei::NUM,iki,kettő
957,drei::NUM,üç,három
958,vier::NUM,dört,négy
959,fünf::NUM,beş,öt
960,sechs::NUM,altı,hat
961,sieben::NUM,yedi,hét
962,acht::NUM,sekiz,nyolc
963,neun::NUM,dokuz,kilenc
964,zehn::NUM,on,tíz
965,elf::NUM,on bir,tizenegy
966,zwölf::NUM,on iki,tizenkettő
967,zwanzig::NUM,yirmi,húsz
968,dreißig::NUM,otuz,harminc
969,vierzig::NUM,kırk,negyven
970,fünfzig::NUM,elli,ötven
971,sechzig::NUM,altmış,hatvan
972,siebzig::NUM,yetmiş,hetven
973,achtzig::NUM,seksen,nyolcvan
974,neunzig::NUM,doksan,kilencven
975,hundert::NUM,yüz,száz
976,tausend::NUM,bin,ezer
977,und::CNJ,ve,és
978,und::CNJ,ve,meg
979,und::CNJ,ile,és
980,und::CNJ,ile,meg
981,oder::CNJ,ya,vagy
982,oder::CNJ,yahut,vagy
983,stehen::V,durmak,áll
984,sitzen::V,oturmak,ül
985,liegen::V,yatmak,fekszik
986,hängen::V,asılı olmak,függ
987,werden::V,olmak,lesz
988,werden::V,olunmak,lesz
989,passieren::V,olmak,történik
990,beginnen::V,başlamak,kezdődik
991,enden::V,bitmek,végződik
992,enden::V,bitmek,befejeződik
993,enden::V,sona ermek,végződik
994,enden::V,sona ermek,befejeződik
995,wechseln::V,değişmek,változik
996,aufgehen[Sonne]::V,doğmak,kel
997,untergehen[Sonne]::V,batmak,lemegy
998,scheinen[Sonne]::V,parlamak,süt
999,donnern::V,gök gürlemek,dörög
1000,wehen::V,esmek,fúj
1001,strömen::V,akmak,áramlik
1002,fließen::V,akmak,folyik
1003,sich drehen::V,dönmek,forog
1004,schwanken::V,sallanmak,inog
1005,schwanken::V,sallanmak,ingadozik
1006,schwingen::V,titremek,leng
1007,fallen::V,düşmek,esik
1008,brennen::V,yanmak,ég
1009,rauchen::V,tütmek,füstöl
1010,regnen::V,yağmak,esik
1011,gefrieren::V,donmak,megfagy
1012,tauen::V,erimek,olvad
1013,schmelzen::V,erimek,olvad
1014,schmelzen::V,erimek,elolvad
1015,trocknen::V,kurumak,szárad
1016,sieden::V,kaynamak,forr
1017,faulen::V,çürümek,rothad
1018,verfaulen::V,çürümek,elrothad
1019,verfaulen::V,çürümek,megrothad
1020,reißen::V,yırtılmak,szakad
1021,versinken::V,batmak,süllyed
1022,versinken::V,batmak,elsüllyed
1023,vergehen::V,geçmek,múlik
1024,vergehen::V,geçmek,elmúlik
1025,erscheinen::V,görünmek,feltűnik
1026,erscheinen::V,görünmek,megjelenik
