,Concept_ID,es,sk
725,schwach::A,débil,bezvládny
726,fett::A,obeso,tučný
727,schlank::A,esbelto,štíhly
728,hübsch::A,mono,šumný
729,hübsch::A,mono,švárny
730,hübsch::A,guapo,šumný
731,hübsch::A,guapo,švárny
732,böse::A,malo,zlý
733,dumm::A,tonto,hlúpy
734,dumm::A,estúpido,hlúpy
735,faul::A,vago,lenivý
736,faul::A,perezoso,lenivý
737,fleißig::A,aplicado,snaživý
738,fleißig::A,aplicado,usilovný
739,fleißig::A,diligente,snaživý
740,fleißig::A,diligente,usilovný
741,geizig::A,avaro,skupý
742,geizig::A,avaro,lakomý
743,klug::A,sensato,múdry
744,klug::A,sensato,bystrý
745,klug::A,inteligente,múdry
746,klug::A,inteligente,bystrý
747,geschickt::A,hábil,zručný
748,geschickt::A,hábil,šikovný
749,lieb::A,querido,milý
750,lustig::A,alegre,veselý
751,sanft::A,suave,nežný
752,hungrig::A,hambriento,lačný
753,hungrig::A,hambriento,hladný
754,krank::A,enfermo,chorý
755,krank::A,enfermo,nemocný
756,nackt::A,desnudo,nahý
757,traurig::A,triste,smutný
758,lebendig::A,vivo,živý
759,lebendig::A,viviente,živý
760,gut::A,bueno,dobrý
761,schlecht::A,malo,zlý
762,richtig::A,justo,správny
763,richtig::A,correcto,správny
764,schlimm::A,malo,zlý
765,schlimm::A,malo,nepríjemný
766,schlimm::A,grave,zlý
767,schlimm::A,grave,nepríjemný
768,wahr::A,verídico,pravý
769,wahr::A,verídico,pravdivý
770,wahr::A,verdadero,pravý
771,wahr::A,verdadero,pravdivý
772,alt::A,viejo,starý
773,neu::A,nuevo,nový
774,ehemalig::A,antiguo,bývalý
775,alt[Lebewesen]::A,viejo,starý
776,jung::A,joven,mladý
777,arm::A,pobre,chudobný
778,reich::A,rico,bohatý
779,bekannt::A,conocido,známy
780,berühmt::A,famoso,slávny
781,berühmt::A,famoso,povestný
782,berühmt::A,célebre,slávny
783,berühmt::A,célebre,povestný
784,fremd::A,extraño,cudzí
785,verschieden::A,diverso,rôzny
786,verschieden::A,diverso,rozličný
787,verschieden::A,distinto,rôzny
788,verschieden::A,distinto,rozličný
789,verschieden::A,diferente,rôzny
790,verschieden::A,diferente,rozličný
791,nah::A,cercano,blízky
792,fern::A,lejano,ďaleký
793,linker::A,izquierdo,ľavý
794,rechter::A,derecho,pravý
795,anderer::A,otro,iný
796,anderer::A,otro,druhý
797,erster::A,primero,prvý
798,zweiter::A,segundo,druhý
799,dritter::A,tercero,tretí
800,letzter::A,último,ostatný
